sku,comparison,catalog_field,catalog_value,veeqo_field,veeqo_value,disposition
07TT,price,Regular price,1672.12,sales_price,1599.0,review_authority_before_change
07TT-C,price,Regular price,1816.18,sales_price,1780.0,review_authority_before_change
10FBBA,price,Regular price,492.08,sales_price,435.0,review_authority_before_change
10FFB,price,Regular price,400.16,sales_price,375.0,review_authority_before_change
10FFBA,price,Regular price,427.19,sales_price,401.0,review_authority_before_change
12FBBA,price,Regular price,502.90,sales_price,443.0,review_authority_before_change
12FFB,price,Regular price,410.97,sales_price,380.0,review_authority_before_change
12FFBA,price,Regular price,432.60,sales_price,405.0,review_authority_before_change
14FFB,price,Regular price,421.79,sales_price,384.0,review_authority_before_change
14FFBA,price,Regular price,438.01,sales_price,409.0,review_authority_before_change
16TT,price,Regular price,85.43,sales_price,85.0,review_authority_before_change
16TT90,price,Regular price,85.43,sales_price,85.0,review_authority_before_change
17TTE,price,Regular price,184.06,sales_price,179.0,review_authority_before_change
2.5CSF,price,Regular price,167.16,sales_price,163.99,review_authority_before_change
2AH,price,Regular price,410.97,sales_price,358.0,review_authority_before_change
3.5AH,price,Regular price,457.35,sales_price,454.23,review_authority_before_change
3AH,price,Regular price,443.42,sales_price,367.0,review_authority_before_change
3BH,price,Regular price,189.26,sales_price,174.0,review_authority_before_change
3CSF,price,Regular price,172.42,sales_price,150.0,review_authority_before_change
3DF,price,Regular price,133.02,sales_price,98.0,review_authority_before_change
3SF,price,Regular price,122.21,sales_price,92.0,review_authority_before_change
3WTDF,price,Regular price,140.60,sales_price,101.0,review_authority_before_change
3WTSF,price,Regular price,127.62,sales_price,93.0,review_authority_before_change
42BH,price,Regular price,205.49,sales_price,175.0,review_authority_before_change
48XTT,price,Regular price,448.22,sales_price,439.0,review_authority_before_change
4BH,price,Regular price,210.89,sales_price,176.0,review_authority_before_change
4DF,price,Regular price,151.41,sales_price,108.0,review_authority_before_change
4SF,price,Regular price,140.60,sales_price,105.0,review_authority_before_change
5BH,price,Regular price,221.71,sales_price,177.0,review_authority_before_change
6BH,price,Regular price,232.52,sales_price,178.0,review_authority_before_change
7CFB,price,Regular price,313.64,sales_price,299.0,review_authority_before_change
7FFB,price,Regular price,378.53,sales_price,367.0,review_authority_before_change
8134TT,price,Regular price,259.76,sales_price,259.0,review_authority_before_change
8172TT,price,Regular price,291.28,sales_price,289.0,review_authority_before_change
8CFB,price,Regular price,324.82,sales_price,311.0,review_authority_before_change
8FBBA,price,Regular price,481.27,sales_price,431.0,review_authority_before_change
8FFB,price,Regular price,389.34,sales_price,371.0,review_authority_before_change
8FFBA,price,Regular price,421.79,sales_price,397.0,review_authority_before_change
BF,price,Regular price,75.71,sales_price,52.0,review_authority_before_change
BHE,price,Regular price,305.72,sales_price,299.0,review_authority_before_change
C1H,price,Regular price,64.89,sales_price,35.0,review_authority_before_change
C1HEXT,price,Regular price,135.19,sales_price,128.0,review_authority_before_change
C1HS,price,Regular price,49.44,sales_price,40.0,review_authority_before_change
CBNCR,price,Regular price,86.52,sales_price,64.0,review_authority_before_change
CEXT90,price,Regular price,127.62,sales_price,98.0,review_authority_before_change
CFLT,price,Regular price,91.93,sales_price,60.0,review_authority_before_change
CHXL,price,Regular price,173.04,sales_price,150.0,review_authority_before_change
CLT24,price,Regular price,270.95,sales_price,236.0,review_authority_before_change
CLT32,price,Regular price,279.72,sales_price,242.0,review_authority_before_change
CLT42,price,Regular price,297.33,sales_price,256.0,review_authority_before_change
CLT55,price,Regular price,307.89,sales_price,220.0,review_authority_before_change
CMH,price,Regular price,119.76,sales_price,115.0,review_authority_before_change
CMT24,price,Regular price,197.91,sales_price,158.0,review_authority_before_change
CMT32,price,Regular price,208.73,sales_price,167.0,review_authority_before_change
CMT42,price,Regular price,221.71,sales_price,182.0,review_authority_before_change
CMT55,price,Regular price,232.52,sales_price,190.0,review_authority_before_change
COBCR,price,Regular price,86.52,sales_price,60.0,review_authority_before_change
CR,price,Regular price,167.63,sales_price,141.0,review_authority_before_change
CT42TT,price,Regular price,211.09,sales_price,209.0,review_authority_before_change
EZ10TT,price,Regular price,391.69,sales_price,389.0,review_authority_before_change
EZ12TT,price,Regular price,405.72,sales_price,399.0,review_authority_before_change
HMP,price,Regular price,410.97,sales_price,363.0,review_authority_before_change
ICA2-1,price,Regular price,68.13,sales_price,49.0,review_authority_before_change
ICA4-1,price,Regular price,85.44,sales_price,63.0,review_authority_before_change
ICATW,price,Regular price,116.80,sales_price,83.0,review_authority_before_change
NS02TT,price,Regular price,303.66,sales_price,278.0,review_authority_before_change
NS03TT,price,Regular price,313.10,sales_price,289.0,review_authority_before_change
OA90-325,price,Regular price,91.93,sales_price,89.25,review_authority_before_change
PAHC07,price,Regular price,491.26,sales_price,459.0,review_authority_before_change
PAHC10,price,Regular price,494.93,sales_price,469.0,review_authority_before_change
PAHC12,price,Regular price,520.16,sales_price,479.0,review_authority_before_change
PC1H,price,Regular price,95.79,sales_price,62.0,review_authority_before_change
PC1HEXT,price,Regular price,164.85,sales_price,138.0,review_authority_before_change
PCHXL,price,Regular price,216.15,sales_price,168.0,review_authority_before_change
PCLT42,price,Regular price,368.05,sales_price,290.0,review_authority_before_change
PCMT42,price,Regular price,274.93,sales_price,217.0,review_authority_before_change
PHMP,price,Regular price,496.42,sales_price,376.0,review_authority_before_change
QB08-QSX,price,Regular price,180.19,sales_price,174.0,review_authority_before_change
SACS,price,Regular price,1157.93,sales_price,919.0,review_authority_before_change
SAT,price,Regular price,243.34,sales_price,192.0,review_authority_before_change
TBBF,price,Regular price,75.71,sales_price,52.0,review_authority_before_change
TBGN,price,Regular price,146.00,sales_price,124.0,review_authority_before_change
TBMP,price,Regular price,524.60,sales_price,473.0,review_authority_before_change
TCS,price,Regular price,201.88,sales_price,175.0,review_authority_before_change
