brand,taxon_key,owner_product_count
Columbia Tools,automatic_angle_boxes_corner_applicators,1
Columbia Tools,automatic_angle_heads,1
Columbia Tools,automatic_compound_applicators,2
Columbia Tools,automatic_compound_tubes,4
Columbia Tools,automatic_corner_flushers,3
Columbia Tools,automatic_corner_rollers,3
Columbia Tools,automatic_goosenecks_box_fillers,3
Columbia Tools,automatic_handles_extensions,6
Columbia Tools,automatic_loading_pumps,3
Columbia Tools,automatic_nail_spotters,1
Columbia Tools,automatic_tapers,2
Columbia Tools,automatic_tool_sets,1
Columbia Tools,flat_boxes,4
Columbia Tools,replacement_parts,313
Columbia Tools,semi_automatic_tools,1
Columbia Tools,tool_storage_cases,2
Dura-Stilts,stilts,1
LEVEL5,automatic_angle_boxes_corner_applicators,1
LEVEL5,automatic_compound_applicators,1
LEVEL5,automatic_compound_tubes,1
LEVEL5,automatic_corner_finishers,1
LEVEL5,automatic_corner_flushers,1
LEVEL5,automatic_corner_rollers,2
LEVEL5,automatic_goosenecks_box_fillers,2
LEVEL5,automatic_handles_extensions,8
LEVEL5,automatic_loading_pumps,1
LEVEL5,automatic_nail_spotters,1
LEVEL5,automatic_tapers,1
LEVEL5,automatic_tool_sets,3
LEVEL5,flat_boxes,2
LEVEL5,semi_automatic_tools,1
Platinum Drywall Tools,automatic_angle_boxes_corner_applicators,1
Platinum Drywall Tools,automatic_compound_applicators,3
Platinum Drywall Tools,automatic_compound_tubes,1
Platinum Drywall Tools,automatic_corner_finishers,1
Platinum Drywall Tools,automatic_corner_flushers,1
Platinum Drywall Tools,automatic_corner_rollers,1
Platinum Drywall Tools,automatic_goosenecks_box_fillers,2
Platinum Drywall Tools,automatic_handles_extensions,5
Platinum Drywall Tools,automatic_loading_pumps,1
Platinum Drywall Tools,automatic_nail_spotters,1
Platinum Drywall Tools,automatic_tool_sets,1
Platinum Drywall Tools,flat_boxes,1
Platinum Drywall Tools,semi_automatic_tools,1
SurPro,stilts,8
TapeTech,automatic_angle_boxes_corner_applicators,1
TapeTech,automatic_compound_applicators,3
TapeTech,automatic_compound_tubes,1
TapeTech,automatic_corner_finishers,1
TapeTech,automatic_corner_flushers,2
TapeTech,automatic_corner_rollers,1
TapeTech,automatic_goosenecks_box_fillers,4
TapeTech,automatic_handles_extensions,8
TapeTech,automatic_loading_pumps,1
TapeTech,automatic_nail_spotters,1
TapeTech,automatic_tapers,1
TapeTech,automatic_tool_sets,10
TapeTech,flat_boxes,4
TapeTech,replacement_parts,1
