row_number,sku,type,name,parent_sku,current_categories,proposed_categories,disposition,evidence_basis,requires_review,notes
2,COL-180-GRIP-FLAT-BOX-HANDLE,variable,Columbia 180° Grip Flat Box Handle,,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,deterministic_mapping,approved target taxonomy + current functional leaf,0,
3,3BH,variation,Columbia 180° Grip Flat Box Handle - 3',COL-180-GRIP-FLAT-BOX-HANDLE,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,inherited_from_parent,exact parent SKU COL-180-GRIP-FLAT-BOX-HANDLE; approved target taxonomy + current functional leaf,0,
4,42BH,variation,"Columbia 180° Grip Flat Box Handle - 42""",COL-180-GRIP-FLAT-BOX-HANDLE,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,inherited_from_parent,exact parent SKU COL-180-GRIP-FLAT-BOX-HANDLE; approved target taxonomy + current functional leaf,0,
5,4BH,variation,Columbia 180° Grip Flat Box Handle - 4',COL-180-GRIP-FLAT-BOX-HANDLE,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,inherited_from_parent,exact parent SKU COL-180-GRIP-FLAT-BOX-HANDLE; approved target taxonomy + current functional leaf,0,
6,5BH,variation,Columbia 180° Grip Flat Box Handle - 5',COL-180-GRIP-FLAT-BOX-HANDLE,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,inherited_from_parent,exact parent SKU COL-180-GRIP-FLAT-BOX-HANDLE; approved target taxonomy + current functional leaf,0,
7,6BH,variation,Columbia 180° Grip Flat Box Handle - 6',COL-180-GRIP-FLAT-BOX-HANDLE,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,inherited_from_parent,exact parent SKU COL-180-GRIP-FLAT-BOX-HANDLE; approved target taxonomy + current functional leaf,0,
8,COL-ANGLE-HEAD,variable,Columbia Angle Head,,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,deterministic_mapping,approved target taxonomy + current functional leaf,0,
9,2AH,variation,"Columbia Angle Head - 2""",COL-ANGLE-HEAD,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,inherited_from_parent,exact parent SKU COL-ANGLE-HEAD; approved target taxonomy + current functional leaf,0,
10,2.5AH,variation,"Columbia Angle Head - 2.5""",COL-ANGLE-HEAD,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,inherited_from_parent,exact parent SKU COL-ANGLE-HEAD; approved target taxonomy + current functional leaf,0,
11,3AH,variation,"Columbia Angle Head - 3""",COL-ANGLE-HEAD,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,inherited_from_parent,exact parent SKU COL-ANGLE-HEAD; approved target taxonomy + current functional leaf,0,
12,3.5AH,variation,"Columbia Angle Head - 3.5""",COL-ANGLE-HEAD,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,inherited_from_parent,exact parent SKU COL-ANGLE-HEAD; approved target taxonomy + current functional leaf,0,
13,COL-AUTOMATIC-FAT-BOY-BOX,variable,Columbia Automatic Fat Boy Box,,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,deterministic_mapping,approved target taxonomy + current functional leaf,0,
14,8FBBA,variation,"Columbia Automatic Fat Boy Box - 8""",COL-AUTOMATIC-FAT-BOY-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-AUTOMATIC-FAT-BOY-BOX; approved target taxonomy + current functional leaf,0,
15,10FBBA,variation,"Columbia Automatic Fat Boy Box - 10""",COL-AUTOMATIC-FAT-BOY-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-AUTOMATIC-FAT-BOY-BOX; approved target taxonomy + current functional leaf,0,
16,12FBBA,variation,"Columbia Automatic Fat Boy Box - 12""",COL-AUTOMATIC-FAT-BOY-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-AUTOMATIC-FAT-BOY-BOX; approved target taxonomy + current functional leaf,0,
17,COL-AUTOMATIC-FLAT-BOX,variable,Columbia Automatic Flat Box,,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,deterministic_mapping,approved target taxonomy + current functional leaf,0,
18,8FFBA,variation,"Columbia Automatic Flat Box - 8""",COL-AUTOMATIC-FLAT-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-AUTOMATIC-FLAT-BOX; approved target taxonomy + current functional leaf,0,
19,10FFBA,variation,"Columbia Automatic Flat Box - 10""",COL-AUTOMATIC-FLAT-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-AUTOMATIC-FLAT-BOX; approved target taxonomy + current functional leaf,0,
20,12FFBA,variation,"Columbia Automatic Flat Box - 12""",COL-AUTOMATIC-FLAT-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-AUTOMATIC-FLAT-BOX; approved target taxonomy + current functional leaf,0,
21,14FFBA,variation,"Columbia Automatic Flat Box - 14""",COL-AUTOMATIC-FLAT-BOX,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,inherited_from_parent,exact parent SKU COL-AUTOMATIC-FLAT-BOX; approved target taxonomy + current functional leaf,0,
22,COL-AUTOMATIC-TAPER,variable,Columbia Automatic Taper,,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,deterministic_mapping,approved target taxonomy + current functional leaf,0,
23,STAPER,variation,Columbia Automatic Taper - Sawed Off 39 in.,COL-AUTOMATIC-TAPER,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,inherited_from_parent,exact parent SKU COL-AUTOMATIC-TAPER; approved target taxonomy + current functional leaf,0,
24,TAPER,variation,Columbia Automatic Taper - Standard 53 in.,COL-AUTOMATIC-TAPER,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,inherited_from_parent,exact parent SKU COL-AUTOMATIC-TAPER; approved target taxonomy + current functional leaf,0,
25,PTAPER,simple,Columbia One Predator Taper,,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,deterministic_mapping,approved target taxonomy + current functional leaf,0,
26,COL-BILLET-MUD-APPLICATOR,variable,Columbia Billet Mud Applicator,,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,deterministic_mapping,approved target taxonomy + current functional leaf,0,
27,ICA2-1,variation,"Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""",COL-BILLET-MUD-APPLICATOR,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,inherited_from_parent,exact parent SKU COL-BILLET-MUD-APPLICATOR; approved target taxonomy + current functional leaf,0,
28,ICA4-1,variation,"Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1""",COL-BILLET-MUD-APPLICATOR,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,inherited_from_parent,exact parent SKU COL-BILLET-MUD-APPLICATOR; approved target taxonomy + current functional leaf,0,
29,ICATW,variation,Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,COL-BILLET-MUD-APPLICATOR,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,inherited_from_parent,exact parent SKU COL-BILLET-MUD-APPLICATOR; approved target taxonomy + current functional leaf,0,
30,CEXT90,variation,Columbia Billet Mud Applicator - External 90,COL-BILLET-MUD-APPLICATOR,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,inherited_from_parent,exact parent SKU COL-BILLET-MUD-APPLICATOR; approved target taxonomy + current functional leaf,0,
31,CFLT,variation,Columbia Billet Mud Applicator - Flat,COL-BILLET-MUD-APPLICATOR,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,inherited_from_parent,exact parent SKU COL-BILLET-MUD-APPLICATOR; approved target taxonomy + current functional leaf,0,
32,COL-BOX-FILLER,variable,Columbia Box Filler,,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,deterministic_mapping,approved target taxonomy + current functional leaf,0,
33,BF,variation,Columbia Box Filler - Standard,COL-BOX-FILLER,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,inherited_from_parent,exact parent SKU COL-BOX-FILLER; approved target taxonomy + current functional leaf,0,
34,TBBF,variation,Columbia Box Filler - Tall Boy,COL-BOX-FILLER,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,inherited_from_parent,exact parent SKU COL-BOX-FILLER; approved target taxonomy + current functional leaf,0,
35,COL-CAM-LOCK-TUBE,variable,Columbia Cam Lock Tube,,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,deterministic_mapping,approved target taxonomy + current functional leaf,0,
36,CLT24,variation,"Columbia Cam Lock Tube - 24""",COL-CAM-LOCK-TUBE,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,inherited_from_parent,exact parent SKU COL-CAM-LOCK-TUBE; approved target taxonomy + current functional leaf,0,
37,CLT32,variation,"Columbia Cam Lock Tube - 32""",COL-CAM-LOCK-TUBE,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,inherited_from_parent,exact parent SKU COL-CAM-LOCK-TUBE; approved target taxonomy + current functional leaf,0,
