Status,DTB Product,DTB SKU,DTB Brand,Our Price,Competitor,Competitor Product,Competitor SKU,Competitor Price,Price Difference,Price Position,Why It Matched,Match Score
Needs Review,#8 Flat Washer,FA253,Columbia Tools,$1.85,Al's Taping Tools,#8 Flat Washer - FA253,FA253,$1.50,-$0.35,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"1/2"" x 7/8"" Flat Washer",FA3,Columbia Tools,$2.50,Al's Taping Tools,33/64 X 7/8in Flat Washer - FA308,FA-308,$1.79,-$0.71,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"1/4"" X 3/4"" Split Pin",FA288,Columbia Tools,$2.25,Al's Taping Tools,1/4in X 1/2in Split Pin - FA288,FA-288,$2.77,$0.52,DTB is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"1/4-20 x 7/8"" Flat Socket",FA298,Columbia Tools,$2.85,Al's Taping Tools,1/4-20 X 7/8in Flat Socket - FA298,FA-298,$1.55,-$1.30,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"1/4-28 x 1/4"" Set Screw",FA302,Columbia Tools,$3.85,Al's Taping Tools,1/4-28 X 1/4in Set Screw - FA302,FA302,$1.05,-$2.80,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"10-24 x 7/8"" Hex Bolt",FA275,Columbia Tools,$3.15,Al's Taping Tools,39 - Hex Head Bolt 10-24 x 3/4,FA275,$1.40,-$1.75,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,4-40 Nyloc Nut,FA207,Columbia Tools,$2.50,Al's Taping Tools,7 - Nylock Nut 4-40,fa207,$2.50,$0.00,Same price,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"4-40 x 3/4"" Hex Bolt",FA220,Columbia Tools,$2.35,Al's Taping Tools,4-40 X 3/4in Bind Head Screw - FA220,FA220,$0.49,-$1.86,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,"6-32 X 5/8"" Hex Bolt",FA247,Columbia Tools,$2.45,Al's Taping Tools,6-32 X 5/8in Hex Bolt - FA247,fa247,$1.74,-$0.71,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Backing Washer Locator,MP32,Columbia Tools,$18.95,Al's Taping Tools,Mud Pump Pump Flapper Valve - MP3,MP-32,$1.79,-$17.16,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Bearing,CT125A,Columbia Tools,$19.95,Al's Taping Tools,CT125A - Columbia Taper Bearing,CT-125A,$3.04,-$16.91,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Bearing Sleeve,CR-3,Columbia Tools,$19.99,Al's Taping Tools,Marshalltown 3 Inch Corner Roller for Drywall Mud and Paint Application,CR3,$19.99,$0.00,Same price,"Identifier matched, but the competitor brand label looks inconsistent.",92
Needs Review,Bearing Sleeve,CFB16,Columbia Tools,$18.75,Al's Taping Tools,Angle Box Bearing Sleeve - CFB16,CFB16,$5.00,-$13.75,Competitor is lower,"Identifier matched, but the competitor brand label looks inconsistent.",92
