DTB Row,DTB SKU,DTB Identifiers,DTB Name,DTB Brand,DTB Regular Price
12,COL-AUTOMATIC-FLAT-BOX,COL-AUTOMATIC-FLAT-BOX,Columbia Automatic Flat Box,Columbia Tools,
22,COL-BILLET-MUD-APPLICATOR,COL-BILLET-MUD-APPLICATOR,Columbia Billet Mud Applicator,Columbia Tools,
32,COL-CAM-LOCK-TUBE,COL-CAM-LOCK-TUBE,Columbia Cam Lock Tube,Columbia Tools,
42,COL-DIRECT-FLUSHER,COL-DIRECT-FLUSHER,Columbia Direct Flusher,Columbia Tools,
44,3WTCSF,3WTCSF,"Columbia Combo Flusher - 3"" Widetrack",Columbia Tools,196.25
55,4DF,4DF,"Columbia Direct Flusher - 4""",Columbia Tools,151.41
89,COBCRE,COBCRE,Columbia Outside Corner Roller - European,Columbia Tools,79.06
91,COL-PREDATOR-MATRIX-HANDLE,COL-PREDATOR-MATRIX-HANDLE,Columbia Predator Matrix Handle,Columbia Tools,
92,COL-PREDATOR-ONE-HANDLE,COL-PREDATOR-ONE-HANDLE,Columbia Predator One Handle,Columbia Tools,
93,COL-STANDARD-FLUSHER,COL-STANDARD-FLUSHER,Columbia Standard Flusher,Columbia Tools,
94,PMHS,PMHS,"Columbia Predator Matrix Handle - Short 29""-39""",Columbia Tools,384.00
95,PMH,PMH,"Columbia Predator Matrix Handle - 40""-60""",Columbia Tools,418.00
96,PMHL,PMHL,"Columbia Predator Matrix Handle - Long 56""-76""",Columbia Tools,503.00
99,PCHXL,PCHXL,Columbia Predator One Handle - Long Extendable 4'-8',Columbia Tools,216.15
101,COL-THROTTLE-CORNER-FLUSHER-BOX,COL-THROTTLE-CORNER-FLUSHER-BOX,Columbia Throttle Corner Flusher Box,Columbia Tools,
110,COL-UHMW-MUD-APPLICATOR,COL-UHMW-MUD-APPLICATOR,Columbia UHMW Mud Applicator,Columbia Tools,
114,OA90-325,OA90-325,Columbia UHMW Mud Applicator - Outside 90° 325,Columbia Tools,91.93
116,CPFP,CPFP,Columbia PowerFill 3.5 Pro Series Cordless Loading Pump,Columbia Tools,1473.00
117,CPFGN,CPFGN,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube,Columbia Tools,275.00
133,FA379,FA379,"1/4"" SS E-Clip",Columbia Tools,3.25
138,FA313,FA313,1/4-20 X 1/4 Socket Head Set Screw,Columbia Tools,2.00
146,FA320,FA320,"1/4-28-3/8"" Socket Set Screw",Columbia Tools,2.00
151,FFB25,FFB25,Rubber Gasket Retainer,Columbia Tools,
159,FA380,FA380,"1/8"" SS E-Clip",Columbia Tools,2.95
170,FA382,FA382,"10-32 x 1/4"" SS Set Screw",Columbia Tools,1.00
172,FA365,FA365,"3/16 x 1"" Sping Pin SS",Columbia Tools,3.00
191,FFB11,FFB11,Adjuster Spring,Columbia Tools,
218,FA376,FA376,8-32 x 5/16 SS Socket Head,Columbia Tools,2.00
221,FFB5,FFB5,Axle,Columbia Tools,
