Brand,Product Name,SKU,Product Price,Product Description
,"0.5"" to 1"" Adjustable Groove Cutter for GROOVE-90",GRV90-15-25,999.0,"0.5"" to 1"" Adjustable Groove Cutter for GROOVE-90"
,AMES 45° Drywall Cutter for GROOVE-90,GRV90-45DC,850.0,45° Drywall Cutter for GROOVE-90
,AMES Aluminum Composite Cutter for GROOVE-90,GRV90-ALM,850.0,Aluminum Composite Cutter for GROOVE-90
,AMES GROOVE-90 Square Corner Blades 2pk,GRV90-TCT-2,55.0,AMES GROOVE-90 Square Corner Blades 2pk GRV90-TCT-2
,AMES Guide Connection Rail for GROOVE-90,GRV90-GRC,150.0,Guide Connection Rail for GROOVE-90
,Bosch 14 Gallon HEPA Vacuum with AutoClean,VAC140AH,775.0,Bosch 14 Gallon Dust Extractor with Auto Filter Clean and HEPA Filter
,Columbia Cover Plate Assembly for Predator,CTTCPTA87CL,218.99,Columbia Cover Plate Assembly for Predator
,DeWalt Soccer Ball,DEWSOCCER,16.0,"FREE DeWalt Soccer Ball Promotion This soccer ball is a promotional item and is only available as part of the following offer: FREE DeWalt Soccer Ball with any qualifying purchase of $300 or more in DeWalt tools. To receive the free soccer ball, add it to your cart and enter Promo Code: WCDWSB at checkout. Offer cannot be combined with any other offer. Orders that do not meet the $300 minimum DeWalt purchase requirement will have the soccer ball removed prior to processing."
,TapeTech Inside Corner Trowel Set - 4 Piece,VINSET4,65.0,"TapeTech Inside Corner Trowel Set - 4 Piece VINSET4 Improve the quality and performance of your finishing tasks with the TapeTech Inside Corner Trowel Set, which was meticulously handcrafted in Italy. This set of stainless-steel trowels is ideal for completing 90-degree corners - made with precision and durability in mind. Ergonomic soft grip handles reduce strain and provide optimal comfort for prolonged use. This set contains: TapeTech 3"" x 1"" Mini Inside Corner Trowel VIN8025 TapeTech 1.6"" x 1.2"" Mini Inside Corner Trowel VIN4030 TapeTech 4.3"" x 3"" Inside Corner Trowel VIN11075 TapeTech 3"" x 2.4"" Inside Corner Trowel VIN8060. This set contains: TapeTech 4.3"" x 3"" Inside Corner Trowel VIN11075 TapeTech 1.6"" x 1.2"" Mini Inside Corner Trowel VIN4030 TapeTech 3"" x 1"" Mini Inside Corner Trowel VIN8025 TapeTech 3"" x 2.4"" Inside Corner Trowel VIN8060"
,"Trim-Tex 2.75"" Fast Edge® Roll 50'",FE275R50P,28.99,"Trim-Tex 2.75"" Fast Edge® Roll - 50' The Trim-Tex Fast Edge Roll (Model FE275R50) is a 50-foot roll of flexible, paper-covered vinyl corner bead. It measures 2.75 inches wide with a 1.75-inch mud leg and is designed to finish inside, outside, and off-angle drywall corners without using glue or staples. Width - 2.75"" Length - 50' Material - Rigid vinyl core covered in high-quality paper Mud Lock Technology: Features tiny holes along the edges that mechanically lock joint compound directly to the bead. No Fasteners Needed: Eliminates the need for staples or spray adhesive, speeding up installation times."
3M,"3M 1"" X 180' Scotch-Blue Tape",2090-24N,5.99,"Scotch-Blue™ Painter’s Tapes are the most versatile among the Scotch masking tapes and they are the best choice for most painting projects. Removes cleanly in challenging situations. Adhesion Level: medium. Removal Time: up to 14 days. Removes cleanly without adhesive transfer or surface damage for up to 14 days, even in direct sunlight A medium adhesion tape that is ideal for painted walls and trim, woodwork, glass and metal"
3M,"3m 1.5"" X 180' Scotch-Blue Tape",3M209015,7.99,"Scotch-Blue™ Painter’s Tapes are the most versatile among the Scotch masking tapes and they are the best choice for most painting projects. Removes cleanly in challenging situations. Adhesion Level: medium. Removal Time: up to 14 days. Removes cleanly without adhesive transfer or surface damage for up to 14 days, even in direct sunlight A medium adhesion tape that is ideal for painted walls and trim, woodwork, glass and metal"
3M,3M 100 Grit Sanding Sheets,THR10204A,21.99,"3M 100 Grit Sanding Sheets 100/Pack Designed for sanding drywall joints, patching compounds and plaster. Whether a sanding job is heavy or light, these sanding sheets, made with long-lasting and sharp synthetic minerals, cut cleanly and leave a smooth finish. Each sheet is Pre-cut 4 3/16 in x 11 1/4 in and die-cut to fit most drywall sanding tools. Applications: Drywall, Wood, Metal, Plastic and Painted Surfaces Features: Pre-Cut For Easy Attachment. Cuts Cleanly And Leaves A Smooth Finish. Sharp Synthetic Abrasive Mineral Cuts Fast. Long-Lasting Sheets Handle Multiple Materials. Specifications: Sheet size : 4 3/16in x 11 1/4in Contains: 100 Sheets Grit: 100"
3M,3M 120 Grit Sanding Sheets,THR53044A,21.99,"3M 120 Grit Sanding Sheets 100/Pack Designed for sanding drywall joints, patching compounds and plaster. Whether a sanding job is heavy or light, these sanding sheets, made with long-lasting and sharp synthetic minerals, cut cleanly and leave a smooth finish. Each sheet is Pre-cut 4 3/16 in x 11 1/4 in and die-cut to fit most drywall sanding tools. Applications: Drywall, Wood, Metal, Plastic and Painted Surfaces Features: Pre-Cut For Easy Attachment. Cuts Cleanly And Leaves A Smooth Finish. Sharp Synthetic Abrasive Mineral Cuts Fast. Long-Lasting Sheets Handle Multiple Materials. Specifications: Sheet size : 4 3/16in x 11 1/4in Contains: 100 Sheets Grit: 120"
3M,3M 150 Grit Sanding Sheets,THR53046A,21.99,"3M 150 Grit Sanding Sheets 100/Pack Designed for sanding drywall joints, patching compounds and plaster. Whether a sanding job is heavy or light, these sanding sheets, made with long-lasting and sharp synthetic minerals, cut cleanly and leave a smooth finish. Each sheet is Pre-cut 4 3/16 in x 11 1/4 in and die-cut to fit most drywall sanding tools. Applications: Drywall, Wood, Metal, Plastic and Painted Surfaces Features: Pre-Cut For Easy Attachment. Cuts Cleanly And Leaves A Smooth Finish. Sharp Synthetic Abrasive Mineral Cuts Fast. Long-Lasting Sheets Handle Multiple Materials. Specifications: Sheet size : 4 3/16in x 11 1/4in Contains: 100 Sheets Grit: 150"
3M,"3M 2"" X 180' Scotch-Blue Tape",3M209020,10.49,"Scotch-Blue™ Painter’s Tapes are the most versatile among the Scotch masking tapes and they are the best choice for most painting projects. Removes cleanly in challenging situations. Adhesion Level: medium. Removal Time: up to 14 days. Removes cleanly without adhesive transfer or surface damage for up to 14 days, even in direct sunlight A medium adhesion tape that is ideal for painted walls and trim, woodwork, glass and metal"
3M,3M 80 Grit Sanding Sheets 100/Pack,THR10207A,21.99,"3M 80 Grit Sanding Sheets 100/Pack Designed for sanding drywall joints, patching compounds and plaster. Whether a sanding job is heavy or light, these sanding sheets, made with long-lasting and sharp synthetic minerals, cut cleanly and leave a smooth finish. Each sheet is Pre-cut 4 3/16 in x 11 1/4 in and die-cut to fit most drywall sanding tools. Applications: Drywall, Wood, Metal, Plastic and Painted Surfaces Features: Pre-Cut For Easy Attachment. Cuts Cleanly And Leaves A Smooth Finish. Sharp Synthetic Abrasive Mineral Cuts Fast. Long-Lasting Sheets Handle Multiple Materials. Specifications: Sheet size : 4 3/16in x 11 1/4in Contains: 100 Sheets Grit: 80"
3M,3M CP040NA Angled Sanding Sponge Fine Grit 1/ct,CP040,3.99,"3M CP040NA Angled Drywall Sanding Sponge in fine grit is designed to sand corners without effecting the adjacent wall or ""popcorn"" textured ceilings. Ideal for sanding drywall, wood, paint, metal, or plastic. 3M sponges can be used in a wet or dry sanding application. May be rinsed and reused for extended life. Wet or Dry Sanding Capable - Rinse & Reuse Angled on one side to eliminate unintended sanding of adjacent corner Fine Grit for detail and all purpose sanding Sand Wood, Paint, Metal, Plastic or Drywall Sanding Block Size: 4.875"" x 2.875"" x 1"""
3M,3M Hand Masker Film Blade Fb12,3MFB12,27.99,"3M Hand Masker Film Blade Fb12, 12 In 3M™ Hand-Masker™ Film Blades are made from durable stainless steel with a protective plastic blade guard."
3M,3M Hand Masker M3000 Dispenser,M3000,69.99,"3M Hand Masker M3000 Dispenser Applies masking tape to masking film up to 144"" or paper up to 18"" in one continuous application Compact, lightweight, saves time For professional heavy duty use"
3M,3M Hand Masker Paper Blade Pb12,PB12,16.99,"3M Hand Masker Paper Blade Pb12, 12 In 3M™ Hand-Masker™ Paper Blades are durable stainless steel."
3M,3M Hi-Strength 90 Spray Adhesive 14.6oz,THR7100328075,24.99,"3M Hi-Strength 90 Spray Adhesive 14.6oz Fast-Acting, Long Lasting, Unlike any Glue. 3M™ Hi-Strength 90 Spray Adhesive is an extremely versatile, fast-drying spray adhesive that bonds strongly to a wide range of materials. Its permanent bond provides fast results to keep projects moving ahead. The spray formula is easy to dispense, offering a variable-width spray pattern, and applies directly onto surfaces and materials where needed. This spray adhesive offers a high initial grab, sufficient bonding range and fast dry time. The high-solids content provides higher per square foot coverage than competing spray adhesives. The combination of maximum-strength bond and clean appearance make it ideal for projects of all kinds. Features: Provides professional, industrial strength for demanding applications Comes with a variable-width web spray pattern High strength, fast, contact type adhesive Bonds laminate, wood, concrete, metal, plastic and more High temperature and moisture resistance Recommended Applications: General industrial maintenance and repair projects Large surface bonding of wood, laminates, MDF and other substrates Bonding for interior construction applications such as insulation, HVAC, office partitions and more Bonding for tilt-up construction"
3M,"3M Masking Film 48"" X 180'",MF48,19.99,"3M Masking Film 48"" X 180' Pre-folded, high-density, nonporous film for paint masking and paint overspray protection Flake resistant for multiple coat use May be used with lacquers"
3M,"3M Masking Film 72"" X 90'",MF72,15.99,"3M Masking Film 72"" X 90' Pre-folded, high-density, nonporous film for paint masking and paint overspray protection Flake resistant for multiple coat use May be used with lacquers 9"" product unfolds to 72"""
3M,"3M Masking Film 99"" X 90'",MF99,19.99,"3M Masking Film 99"" X 90' Pre-folded, high-density, nonporous film for paint masking and paint overspray protection Flake resistant for multiple coat use May be used with lacquers 12"" product unfolds to 99"""
3M,"3M Masking Tape 1"" X 180'",70-0064-0607-1,2.39,"3M Masking Tape 1"" X 180' General purpose masking tape for light duty bundling, attaching, and labeling. Tape is typically used at room temperature but will function up to 200F (93C) for up to 1 hour."
3M,"3M Masking Tape 1.5"" X 180'",2020-36ER-CSUP,3.69,"3M Masking Tape 1-1/2"" X 180' General purpose masking tape for light duty bundling, attaching, and labeling. Tape is typically used at room temperature but will function up to 200F (93C) for up to 1 hour."
3M,"3M Masking Tape 2"" X 180'",2020-48ER-CSUP,5.19,"3M Masking Tape 2"" X 180' General purpose masking tape for light duty bundling, attaching, and labeling. Tape is typically used at room temperature but will function up to 200F (93C) for up to 1 hour."
3M,3M Sanding Sponges Fine Grit CP001 1/ct,CP001,2.89,"3M™ CP001 Sanding Sponge sanding block is for either dry or wet drywall sanding. Detail Area/Angled Sanding Sponge is ideal for either dry or wet sanding of wood, paint, metal, plastic and drywall. Rinse and reuse. 3M sponges have long been a favorite of drywall contractors for the quality of the sponge and durability of the abrasive. Wet or Dry Sanding Capable - Rinse & Reuse Fine Grit for detail and finish sanding Sand Wood, Paint, Metal, Plastic or Drywall Sanding Block Size: 3-3/4"" x 2-5/8"" x 1"""
