Canonical Brand,Legacy Compact Key,Distinct Strict Identifiers,Raw Identifiers,Competitors,Official Identifier Matches,Repository Mapping Evidence,Repository Mapping Titles,Evidence Strength,Recommended Disposition,Automatic Alias Approval
Columbia Tools,ah12,ah1-2 | ah12,AH1-2 | AH12,All-Wall,ah1-2,,,protected_identifier_present_without_direct_alias_proof,official_anchor_only_review,no
Columbia Tools,ah125,ah-1-2.5 | ah1-2.5,AH-1-2.5 | AH1-2.5,Al's Taping Tools | All-Wall,ah1-2.5,,,protected_identifier_present_without_direct_alias_proof,official_anchor_only_review,no
Columbia Tools,ah32,ah-32 | ah3-2,AH-32 | AH3-2,Al's Taping Tools | All-Wall,ah3-2,,,protected_identifier_present_without_direct_alias_proof,official_anchor_only_review,no
Columbia Tools,ah725,ah7-2.5 | ah7-25,AH7-2.5 | AH7-25,All-Wall | Wall Tools,ah7-2.5,,,protected_identifier_present_without_direct_alias_proof,official_anchor_only_review,no
Columbia Tools,ah735,ah7-3.5 | ah7-35,AH7-3.5 | AH7-35,All-Wall | Wall Tools,ah7-3.5,,,protected_identifier_present_without_direct_alias_proof,official_anchor_only_review,no
Columbia Tools,cf3b,cf-3b | cf3b,CF-3B | CF3B,Al's Taping Tools | All-Wall,,,,none,insufficient_repository_evidence,no
Columbia Tools,cltbf,clt-bf | cltbf,CLT-BF | CLTBF,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,cra2,cra-2 | cra2,CRA-2 | CRA2,All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,ct100,ct-100 | ct100,CT-100 | CT100,Al's Taping Tools | All-Wall,,,,none,insufficient_repository_evidence,no
Columbia Tools,ct118,ct-118 | ct118,CT-118 | CT118,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,ct119,ct-119 | ct119,CT-119 | CT119,Al's Taping Tools | All-Wall | Wall Tools,ct119,CT119 -> CT-119,Columbia Spool Retaining Spring,direct_existing_normalized_mapping,repository_supported_alias_candidate,no
Columbia Tools,ct130,ct-130 | ct130,CT-130 | CT130,Al's Taping Tools | All-Wall | Wall Tools,ct130,CT130 -> CT-130,Columbia CT130 - Taper Extension Shaft,direct_existing_normalized_mapping,repository_supported_alias_candidate,no
Columbia Tools,ct19,ct-19 | ct19,CT-19 | CT19,Al's Taping Tools | All-Wall | Wall Tools,ct19,CT19 -> CT-19,Columbia CT19 - Taper Paper Feed Guide,direct_existing_normalized_mapping,repository_supported_alias_candidate,no
Columbia Tools,ct28,ct-28 | ct28,CT-28 | CT28,Al's Taping Tools | All-Wall | Wall Tools,ct28,CT28 -> CT-28,Columbia CT28 - Taper Roller Bushing,direct_existing_normalized_mapping,repository_supported_alias_candidate,no
Columbia Tools,ct3a,ct-3a | ct3a,CT-3A | CT3A,Al's Taping Tools | All-Wall | Wall Tools,ct3a,CT3A -> CT-3A,Columbia Taper Left Insert Bushing - CT3A,direct_existing_normalized_mapping,repository_supported_alias_candidate,no
