Status,DTB Product,DTB SKU,DTB Product Type,DTB Parent SKU,DTB Brand,DTB Effective Price,DTB Price Basis,Verified Competitors,Distinct Verified Prices,Market Price Status,Market Price,Market Price Evidence Count,Observed Price Spread,DTB vs Market Price,DTB vs Market Price %,Review Candidates,All-Wall Verified,All-Wall SKU,All-Wall Price,All-Wall Product,All-Wall Evidence Quality,Al's Taping Tools Verified,Al's Taping Tools SKU,Al's Taping Tools Price,Al's Taping Tools Product,Al's Taping Tools Evidence Quality,Wall Tools Verified,Wall Tools SKU,Wall Tools Price,Wall Tools Product,Wall Tools Evidence Quality
Verified Market Price - 3/3,TapeTech EasyClean® Automatic Taper - Standard,07TT,variation,TT-EASYCLEAN-AUTOMATIC-TAPER,TapeTech,"$1,672.12",regular_price,3,1,Verified market price — 3/3 competitors,"$1,599.00",3,$0.00,$73.12,+4.57%,0,yes,07TT,"$1,599.00",TapeTech EasyClean Automatic Taper 07TT,verified_exact_identity,yes,07TT,"$1,599.00",TapeTech Easy Clean  Automatic Taper,verified_exact_identity,yes,07TT,"$1,599.00",TapeTech EasyClean Bazooka,verified_exact_identity
Verified Market Price - 3/3,"Columbia Automatic Taper - Sawed Off 39""",STAPER,variation,COL-AUTOMATIC-TAPER,Columbia Tools,"$1,715.43",regular_price,3,1,Verified market price — 3/3 competitors,"$1,649.29",3,$0.00,$66.14,+4.01%,0,yes,STAPER,"$1,649.29","Columbia ""Sawed Off"" Mini Automatic Taper",verified_exact_identity,yes,STAPER,"$1,649.29","Columbia ""Sawed Off"" Mini Automatic Taper",verified_exact_identity,yes,STAPER,"$1,649.29",Columbia Sawed-Off Automatic Taper,verified_exact_identity
Verified Market Price - 3/3,"Columbia Automatic Taper - Standard 53""",TAPER,variation,COL-AUTOMATIC-TAPER,Columbia Tools,"$1,715.43",regular_price,3,1,Verified market price — 3/3 competitors,"$1,649.29",3,$0.00,$66.14,+4.01%,0,yes,TAPER,"$1,649.29",Columbia Automatic Taper,verified_exact_identity,yes,TAPER,"$1,649.29",Columbia Automatic Taper,verified_exact_identity,yes,TAPER,"$1,649.29",Columbia Automatic Taper,verified_exact_identity
Verified Market Price - 2/3,"TapeTech Power Assist® MaxxBox® Finishing Box - 12""",PAHC12,variation,TT-POWER-ASSIST-MAXXBOX-FINISHING-BOX,TapeTech,$520.16,regular_price,2,1,Verified market price — 2/3 competitors,$479.00,2,$0.00,$41.16,+8.59%,0,yes,PAHC12,$479.00,"TapeTech 12"" Power Assist MAXXBOX PAHC12",verified_exact_identity,yes,PAHC12,$479.00,"TapeTech 12"" PowerAssist MaxxBox w/ EasyRoll Wheels - PAHC12",verified_exact_identity,no,,,,
Verified Market Price - 3/3,TapeTech EasyClean® Automatic Taper - Carbon Fiber,07TT-C,variation,TT-EASYCLEAN-AUTOMATIC-TAPER,TapeTech,"$1,816.18",regular_price,3,1,Verified market price — 3/3 competitors,"$1,780.00",3,$0.00,$36.18,+2.03%,0,yes,07TT-C,"$1,780.00",TapeTech Carbon Fiber Automatic Taper 07TT-C,verified_exact_identity,yes,07TT-C,"$1,780.00",TapeTech Carbon Fiber Automatic Taper,verified_exact_identity,yes,07TTC,"$1,780.00",Tape Tech Carbon Fiber Automatic Taper,verified_exact_identity
Verified Market Price - 2/3,"TapeTech Power Assist® MaxxBox® Finishing Box - 7""",PAHC07,variation,TT-POWER-ASSIST-MAXXBOX-FINISHING-BOX,TapeTech,$491.26,regular_price,2,1,Verified market price — 2/3 competitors,$459.00,2,$0.00,$32.26,+7.03%,0,yes,PAHC07,$459.00,"TapeTech 7"" Power Assist MAXXBOX PAHC07",verified_exact_identity,yes,PAHC07,$459.00,"TapeTech 7"" PowerAssist MaxxBox w/ EasyRoll Wheels",verified_exact_identity,no,,,,
Verified Market Price - 2/3,"TapeTech Power Assist® MaxxBox® Finishing Box - 10""",PAHC10,variation,TT-POWER-ASSIST-MAXXBOX-FINISHING-BOX,TapeTech,$494.93,regular_price,2,1,Verified market price — 2/3 competitors,$469.00,2,$0.00,$25.93,+5.53%,0,yes,PAHC10,$469.00,"TapeTech 10"" Power Assist MAXXBOX PAHC10",verified_exact_identity,yes,PAHC10,$469.00,"TapeTech 10"" PowerAssist MaxxBox w/ EasyRoll Wheels - PAHC10",verified_exact_identity,no,,,,
Verified Market Price - 2/3 + Review Candidates,"TapeTech Nail Spotter - 2""",NS02TT,variation,TT-NAIL-SPOTTER,TapeTech,$303.66,regular_price,2,1,Verified market price — 2/3 competitors,$278.00,2,$0.00,$25.66,+9.23%,1,yes,NS02TT,$278.00,"TapeTech 2"" EasyClean Nail Spotter NS02TT",verified_exact_identity,no,NS02TT,,"TapeTech 2"" EasyClean Nail/Screw Spotter Head",review_only,yes,NS02TT,$278.00,TapeTech 2 inch Easyclean Nail Spotter,verified_exact_identity
Verified Market Price - 2/3 + Review Candidates,"TapeTech Nail Spotter - 3""",NS03TT,variation,TT-NAIL-SPOTTER,TapeTech,$313.10,regular_price,2,1,Verified market price — 2/3 competitors,$289.00,2,$0.00,$24.10,+8.34%,1,yes,NS03TT,$289.00,"TapeTech 3"" EasyClean Nail Spotter NS03TT",verified_exact_identity,no,NS03TT,,"TapeTech 3"" EasyClean Nail/Screw Spotter",review_only,yes,NS03TT,$289.00,TapeTech 3 inch Easyclean Nail Spotter,verified_exact_identity
Verified Market Price - 2/3,TapeTech Corner Roller - Flex Tape Outside Corner,17TTE,variation,TT-CORNER-ROLLER,TapeTech,$192.30,regular_price,2,1,Verified market price — 2/3 competitors,$179.00,2,$0.00,$13.30,+7.43%,0,yes,17TTE,$179.00,TapeTech Outside Corner Roller 17TTE,verified_exact_identity,yes,17TTE,$179.00,TapeTech Outside Corner Roller (for Flex Tape) - 17TTE,verified_exact_identity,no,,,,
Verified Market Price - 2/3,"TapeTech Brakeless Box Handle - Extendable 34""-60""",BHE,variation,TT-BRAKELESS-BOX-HANDLE,TapeTech,$305.72,regular_price,2,1,Verified market price — 2/3 competitors,$299.00,2,$0.00,$6.72,+2.25%,0,yes,BHE,$299.00,TapeTech Brakeless Extendable Flat Box Handle BHE,verified_exact_identity,yes,BHE,$299.00,TapeTech Brakeless Extendable Flat Box Handle,verified_exact_identity,no,,,,
Verified Market Price - 3/3,TapeTech EasyClean® Pump - Standard,76TT,variation,TT-EASYCLEAN-PUMP,TapeTech,$401.31,regular_price,3,1,Verified market price — 3/3 competitors,$399.00,3,$0.00,$2.31,+0.58%,0,yes,76TT,$399.00,TapeTech EasyClean® Loading Pump 76TT,verified_exact_identity,yes,76TT,$399.00,TapeTech EasyClean Loading Pump - 76TT,verified_exact_identity,yes,76TT,$399.00,TapeTech EasyClean Pump,verified_exact_identity
Verified Market Price - 2/3,"TapeTech EasyFinish™ Box Handle - 72""",8172TT,variation,TT-EASYFINISH-BOX-HANDLE,TapeTech,$291.28,regular_price,2,1,Verified market price — 2/3 competitors,$289.00,2,$0.00,$2.28,+0.79%,0,yes,8172TT,$289.00,"TapeTech 72"" Easy Finish Bent Flat Box Handle 8172TT",verified_exact_identity,yes,8172TT,$289.00,"TapeTech 72"" EasyFinish Flat Box Handle - 8172TT",verified_exact_identity,no,,,,
Verified Market Price - 2/3,Lower Brake Lever,BH4,simple,,Columbia Tools,$22.53,regular_price,2,1,Verified market price — 2/3 competitors,$24.79,2,$0.00,-$2.26,-9.12%,0,no,,,,,yes,BH4,$24.79,Flat Box Handle Lower Brake Lever - BH4,verified_exact_identity,yes,BH4,$24.79,Columbia Lower Brake Lever for 180 Grip Flat Box Handle (COLM-BH4),verified_exact_identity
Verified Market Price - 2/3,"TapeTech Compound Tube - 42""",CT42TT,variation,TT-COMPOUND-TUBE,TapeTech,$211.09,regular_price,2,1,Verified market price — 2/3 competitors,$209.00,2,$0.00,$2.09,+1.00%,0,yes,CT42TT,$209.00,"TapeTech 42"" Compound Tube CT42TT",verified_exact_identity,yes,CT42TT,$209.00,"Tapetech 42"" Drywall Compound Tube - CT42TT",verified_exact_identity,no,,,,
Verified Market Price - 3/3,"TapeTech Direct Corner Flusher - 2.5""",CF25TT,variation,TT-DIRECT-CORNER-FLUSHER,TapeTech,$115.26,regular_price,3,1,Verified market price — 3/3 competitors,$114.00,3,$0.00,$1.26,+1.11%,0,yes,CF25TT,$114.00,"TapeTech 2.5"" Direct Flusher CF25TT",verified_exact_identity,yes,CF25TT,$114.00,"TapeTech 2.5"" Direct Flusher - CF25TT",verified_exact_identity,yes,CF25TT,$114.00,"Tape Tech 2.5"" Corner Flusher (TAPE-CF25TT)",verified_exact_identity
