Status,DTB Product,DTB SKU,DTB Brand,Our Price,Competitor,Competitor Product,Competitor SKU,Competitor Price,Price Difference,Price Position,Why It Matched,Match Score
Confirmed Match,#10 Belleville Washer,FA280,Columbia Tools,$1.00,All-Wall,FA280 Columbia #10 Belleville Washer,FA280,$1.05,$0.05,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,#10 Flat Washer,FA268,Columbia Tools,$2.25,All-Wall,#10 Flat Washer,FA268,$0.54,-$1.71,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"#10 x 3/4"" Fender Washer",FA270,Columbia Tools,$2.50,All-Wall,FA270 Columbia #10 X 3/4in Fender Washer #6029,FA270,$2.10,-$0.40,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,#6 Flat Washer,FA228,Columbia Tools,$1.00,Wall Tools,Columbia #6 Flat Washer (COLM-FA228),FA228,$0.55,-$0.45,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,#6 Lock Washer,FA229,Columbia Tools,$1.00,Wall Tools,Columbia #6 Lock Washer (COLM-FA229),FA229,$0.55,-$0.45,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,#6 Star Washer,FA230,Columbia Tools,$1.00,Wall Tools,Columbia #6 Star Washer (COLM-FA230),FA230,$0.55,-$0.45,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,#8 Flat Washer,FA253,Columbia Tools,$1.85,All-Wall,FA253 Columbia #8 Flat Washer #6019,FA253,$1.05,-$0.80,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,#8 Star Washer,FA252,Columbia Tools,$2.05,All-Wall,FA252 Columbia #8 Star Washer #10453,FA252,$1.15,-$0.90,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"1/16 X 1/2"" Cotter Pin",FA202,Columbia Tools,$1.00,Wall Tools,Columbia 1/16 x 1/2 in. Cotter Pin (COLM-FA202),FA202,$0.55,-$0.45,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"1/16 x 1/4"" Split Pin",FA200,Columbia Tools,$1.00,All-Wall,"FA200 1/16"" X 1/4"" Split Pin #6001",FA200,$1.05,$0.05,DTB is lower,SKU or manufacturer part number matched exactly.,100
