Identity Key,Canonical Brand,Canonical Identifier,Source Count,Observation Count,Verified Price Source Count,Distinct Verified Prices,Identity Status,Identity Contradictions,Market Price Status,Market Price,Observed Price Spread,All-Wall Price,All-Wall Duplicate Count,All-Wall Observed Duplicate Prices,All-Wall Evidence Quality,All-Wall Product Name,Al's Taping Tools Price,Al's Taping Tools Duplicate Count,Al's Taping Tools Observed Duplicate Prices,Al's Taping Tools Evidence Quality,Al's Taping Tools Product Name,Wall Tools Price,Wall Tools Duplicate Count,Wall Tools Observed Duplicate Prices,Wall Tools Evidence Quality,Wall Tools Product Name
columbia::10fbb,Columbia Tools,10fbb,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['flat box']!=['finishing box'],IDENTITY_CONFLICT,,,454.99,0,454.99,single_observation,"Columbia 10"" Fat Boy Flat Box",454.23,0,454.23,single_observation,"Columbia 10"" Fat Boy Drywall Flat Finishing Box",,0,,,
columbia::10ffb,Columbia Tools,10ffb,3,3,0,0,conflict,all_wall_vs_wall_tools:product_family_mismatch:['finishing box']!=['flat box'] | als_taping_tools_vs_wall_tools:product_family_mismatch:['finishing box']!=['flat box'],IDENTITY_CONFLICT,,,400.99,0,400.99,single_observation,"Columbia 10"" Flat Finishing Box",400.16,0,400.16,single_observation,"Columbia 10"" Drywall Flat Finishing Box",400.16,0,400.16,single_observation,Columbia 10 in. Quick Clean Flat Box
columbia::12fbb,Columbia Tools,12fbb,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['flat box']!=['finishing box'],IDENTITY_CONFLICT,,,465.99,0,465.99,single_observation,"Columbia 12"" Fat Boy Flat Box",465.05,0,465.05,single_observation,"Columbia 12"" Fat Boy Drywall Flat Finishing Box",,0,,,
columbia::12ffb,Columbia Tools,12ffb,3,3,0,0,conflict,all_wall_vs_wall_tools:product_family_mismatch:['finishing box']!=['flat box'] | als_taping_tools_vs_wall_tools:product_family_mismatch:['finishing box']!=['flat box'],IDENTITY_CONFLICT,,,410.99,0,410.99,single_observation,"Columbia 12"" Flat Finishing Box",410.97,0,410.97,single_observation,"Columbia 12"" Drywall Flat Finishing Box",410.97,0,410.97,single_observation,Columbia 12 in. Quick Clean Flat Box
columbia::8fbb,Columbia Tools,8fbb,2,2,0,0,conflict,all_wall_vs_als_taping_tools:product_family_mismatch:['flat box']!=['finishing box'],IDENTITY_CONFLICT,,,443.99,0,443.99,single_observation,"Columbia 8"" Fat Boy Flat Box",443.42,0,443.42,single_observation,"Columbia 8"" Fat Boy Drywall Flat Finishing Box",,0,,,
columbia::ah3-3,Columbia Tools,ah3-3,2,2,0,0,conflict,"all_wall_vs_als_taping_tools:product_family_mismatch:['angle head', 'blade']!=['spring']",IDENTITY_CONFLICT,,,36.34,0,36.34,single_observation,AH3-3 Columbia Angle Head Carbide Blade 3in #5803,36.34,0,36.34,single_observation,13 - Spring Adjustment Pin (AH-33),,0,,,
columbia::ah7-2,Columbia Tools,ah7-2,3,3,0,0,conflict,all_wall_vs_wall_tools:measurement_mismatch:['2']!=['2.5'] | als_taping_tools_vs_wall_tools:measurement_mismatch:['2']!=['2.5'],IDENTITY_CONFLICT,,,1.90,0,1.90,single_observation,AH7-2 Columbia Angle Head Frame Tension Spring 2in #5808,1.47,0,1.47,single_observation,AH7-2 - Angle Head Frame Tension Spring 2in,1.31,0,1.31,single_observation,Columbia Frame Tension Spring for 2 and 2.5 in. Angle Heads (COLM-AH7-2)
columbia::ah7-3,Columbia Tools,ah7-3,2,2,0,0,conflict,all_wall_vs_wall_tools:measurement_mismatch:['3']!=['3.5'],IDENTITY_CONFLICT,,,1.90,0,1.90,single_observation,AH7-3 Columbia Angle Head Tension Spring 3in (Large) #5810,,0,,,,1.31,0,1.31,single_observation,Columbia Frame Tension Spring for 3 and 3.5 in. Angle Heads (COLM-AH7-3)
columbia::cfb4-7,Columbia Tools,cfb4-7,2,2,0,0,conflict,all_wall_vs_wall_tools:measurement_mismatch:['6.125']!=['7'],IDENTITY_CONFLICT,,,14.62,0,14.62,single_observation,"CFB4-7 Pressure Door for 7CFB Angle Box - 6.125""",,0,,,,12.93,0,12.93,single_observation,Columbia 7 in. Corner Box Door (COLM-CFB4-7)
columbia::cfb4-8,Columbia Tools,cfb4-8,2,2,0,0,conflict,all_wall_vs_wall_tools:measurement_mismatch:['7.0625']!=['8'],IDENTITY_CONFLICT,,,14.62,0,14.62,single_observation,"CFB4-8 Pressure Door for 8CFB Angle Box - 7.0625""",,0,,,,12.93,0,12.93,single_observation,Columbia 8 in. Corner Box Door (COLM-CFB4-8)
