Identity Key,Canonical Brand,Canonical Identifier,Conflict Pattern,Probable Cause,Outlier Retailer,Agreed Price,Outlier Price,All-Wall Price,Al's Taping Tools Price,Wall Tools Price,Absolute Spread,Spread % vs Lowest,Possible Pack Factor,All-Wall Evidence Quality,Al's Taping Tools Evidence Quality,Wall Tools Evidence Quality,All-Wall Product,Al's Taping Tools Product,Wall Tools Product
tapetech::pfk40tt,TapeTech,PFK40TT,two_retailers_agree_one_outlier,single_retailer_price_outlier,Al's Taping Tools,99.99,123.00,99.99,123.00,99.99,23.01,23.01,,single_observation,single_observation,single_observation,"TapeTech 40"" Premium Finishing Knife PFK40TT","TapeTech 40"" Premium Finishing Knife","TapeTech 40"" Premium Finishing Knife (TAPE-PFK40TT)"
tapetech::atx01tt,TapeTech,ATX01TT,two_retailers_agree_one_outlier,possible_sale_or_stale_price,Wall Tools,399.00,378.00,399.00,399.00,378.00,21.00,5.56,,single_observation,single_observation,single_observation,TapeTech Automatic Taper Extension ATX01TT,TapeTech Automatic Taper Extension for 07TT Taper,Tape Tech Automatic Taper Extension (TAPE-ATX01TT)
tapetech::pfk32tt,TapeTech,PFK32TT,two_retailers_agree_one_outlier,single_retailer_price_outlier,Al's Taping Tools,74.99,95.00,74.99,95.00,74.99,20.01,26.68,,single_observation,single_observation,single_observation,"TapeTech 32"" Premium Finishing Knife PFK32TT","TapeTech 32"" Premium Finishing Knife","TapeTech 32"" Premium Finishing Knife (TAPE-PFK32TT)"
tapetech::pfk24tt,TapeTech,PFK24TT,two_retailers_agree_one_outlier,single_retailer_price_outlier,Al's Taping Tools,59.99,79.00,59.99,79.00,59.99,19.01,31.69,,single_observation,single_observation,single_observation,"TapeTech 24"" Premium Finishing Knife PFK24TT","TapeTech 24"" Premium Finishing Knife","TapeTech 24"" Premium Finishing Knife (TAPE-PFK24TT)"
tapetech::pfk14tt,TapeTech,PFK14TT,two_retailers_agree_one_outlier,single_retailer_price_outlier,Al's Taping Tools,32.99,51.00,32.99,51.00,32.99,18.01,54.59,,single_observation,single_observation,single_observation,"TapeTech 14"" Premium Finishing Knife PFK14TT","TapeTech 14"" Premium Finishing Knife","TapeTech 14"" Premium Finishing Knife (TAPE-PFK14TT)"
tapetech::pfk48tt,TapeTech,PFK48TT,two_retailers_agree_one_outlier,single_retailer_price_outlier,Al's Taping Tools,129.99,147.00,129.99,147.00,129.99,17.01,13.09,,single_observation,single_observation,single_observation,"TapeTech 48"" Premium Finishing Knife PFK48TT","TapeTech 48"" Premium Finishing Knife","TapeTech 48"" Premium Finishing Knife (TAPE-PFK48TT)"
tapetech::pfk18tt,TapeTech,PFK18TT,two_retailers_agree_one_outlier,single_retailer_price_outlier,Al's Taping Tools,44.99,59.00,44.99,59.00,44.99,14.01,31.14,,single_observation,single_observation,single_observation,"TapeTech 18"" Premium Finishing Knife PFK18TT","TapeTech 18"" Premium Finishing Knife","TapeTech 18"" Premium Finishing Knife (TAPE-PFK18TT)"
columbia::sb240,Columbia Tools,SB2-40,two_retailers_agree_one_outlier,possible_sale_or_stale_price,Wall Tools,70.00,76.49,70.00,70.00,76.49,6.49,9.27,,single_observation,single_observation,single_observation,"Columbia Replacement 40"" Blade for Tomahawk","Columbia Replacement 40"" Blade for Tomahawk",Columbia 40 in. Replacement Blade for Tomahawk Smoothing Blade
tapetech::caatt,TapeTech,CAA-TT,two_retailers_agree_one_outlier,possible_sale_or_stale_price,Al's Taping Tools,45.00,42.00,45.00,42.00,45.00,3.00,7.14,,single_observation,single_observation,single_observation,TapeTech Angle Box Handle Adapter CAA-TT,TapeTech Corner Applicator Adapter -  CAA-TT,TapeTech Corner Applicator Adapter
columbia::ct111,Columbia Tools,CT111,two_retailers_agree_one_outlier,single_retailer_price_outlier,Wall Tools,18.08,15.52,18.08,18.08,15.52,2.56,16.49,,single_observation,single_observation,single_observation,CT111 Columbia Taper Piston Cup #5969,Taper Piston Cup - CT111,Columbia Plunger Cup (COLM-CT111)
columbia::ct3a,Columbia Tools,CT3A,two_retailers_agree_one_outlier,single_retailer_price_outlier,Wall Tools,13.56,11.64,13.56,13.56,11.64,1.92,16.49,,single_observation,single_observation,single_observation,CT3A Columbia Taper Left Insert Bushing #5573,Columbia Taper Left Insert Bushing - CT3A,Columbia Left Insert Bushing (Includes CT4) (COLM-CT3A)
