metric,value,count
two_source_conflicts,all,763
retailer_pair,Al's Taping Tools vs Wall Tools,29
retailer_pair,All-Wall vs Al's Taping Tools,265
retailer_pair,All-Wall vs Wall Tools,469
missing_retailer,Al's Taping Tools,469
missing_retailer,All-Wall,29
missing_retailer,Wall Tools,265
lower_priced_retailer,Al's Taping Tools,156
lower_priced_retailer,All-Wall,341
lower_priced_retailer,Wall Tools,266
relative_spread_bucket,0.25-1%,27
relative_spread_bucket,1-5%,159
relative_spread_bucket,10-25%,242
relative_spread_bucket,5-10%,56
relative_spread_bucket,<=0.25%,34
relative_spread_bucket,>25%,245
absolute_spread_bucket,0.06-0.25,117
absolute_spread_bucket,0.26-1.00,194
absolute_spread_bucket,1.01-5.00,255
absolute_spread_bucket,5.01-25.00,136
absolute_spread_bucket,<=0.05,16
absolute_spread_bucket,>25.00,45
canonical_brand,Columbia Tools,320
canonical_brand,SurPro,8
canonical_brand,TapeTech,385
canonical_brand,USG Sheetrock Tools,50
