Brand,Product Name,SKU,Product Price,Product Description,Matched DTB Brand,DTB Brand Match Method,DTB Brand Match Confidence,Strict Identifier,Canonical Identifier,Identifier Alias Applied,Description Quality
,"Columbia 1.5"" PUTTY KNIFE",NPK1.5,10.83,Columbia 1.5 Inch Joint/Putty Knife,Columbia Tools,canonical_brand_evidence,1.00,npk1.5,npk1.5,no,product_specific
,"Columbia 10"" Bead Wheel Conversion Kit",FFBR40-10,55.61,,Columbia Tools,canonical_brand_evidence,1.00,ffbr40-10,ffbr40-10,no,quarantined_storefront_boilerplate
,"Columbia 12"" Bead Wheel Conversion Kit",FFBR40-12,55.61,,Columbia Tools,canonical_brand_evidence,1.00,ffbr40-12,ffbr40-12,no,quarantined_storefront_boilerplate
,"Columbia 12"" Mud Pan w/ Grip",C12MPX6,25.82,Columbia 12 Inch Mud Pan with Grip,Columbia Tools,canonical_brand_evidence,1.00,c12mpx6,c12mpx6,no,product_specific
,"Columbia 14"" Mud Pan with Magnetic Grip",C14MPX6,26.65,Columbia 14 Inch Mud Pan with Magnetic Grip,Columbia Tools,canonical_brand_evidence,1.00,c14mpx6,c14mpx6,no,product_specific
,"Columbia 16"" Mud Pan with Magnetic Grip",C16MPX6,27.48,Columbia 16 Inch Mud Pan with Magnetic Grip,Columbia Tools,canonical_brand_evidence,1.00,c16mpx6,c16mpx6,no,product_specific
,"Columbia 2"" Angle Head Rebuild Kit",COL2 KIT,69.99,,Columbia Tools,canonical_brand_evidence,1.00,col2kit,col2kit,no,quarantined_storefront_boilerplate
,"Columbia 2"" PUTTY KNIFE",NPK2,11.25,Columbia 2 Inch Joint/Putty Knife,Columbia Tools,canonical_brand_evidence,1.00,npk2,npk2,no,product_specific
,"Columbia 24"" Fat Boy Smoothing Blade",FSB24,68.5,,Columbia Tools,canonical_brand_evidence,1.00,fsb24,fsb24,no,quarantined_storefront_boilerplate
,"Columbia 3"" PUTTY KNIFE",NPK3,11.67,Columbia 3 Inch Joint/Putty Knife,Columbia Tools,canonical_brand_evidence,1.00,npk3,npk3,no,product_specific
