DTB Row,DTB Product Type,DTB Parent SKU,DTB SKU,DTB Brand,DTB Product,DTB Effective Price,DTB Price Basis,DTB Price Warnings,Verified Competitor Count,Distinct Verified Prices,Market Price Status,Market Price,Market Price Evidence Count,Observed Price Spread,DTB vs Market Price,DTB vs Market Price %,Review Candidate Count,Recommended Review Status,Approved Alias Evidence Count,All-Wall Verified,All-Wall Identity,All-Wall SKU,All-Wall Product,All-Wall Price,All-Wall Duplicate Count,All-Wall Observed Duplicate Prices,All-Wall Evidence Quality,Al's Taping Tools Verified,Al's Taping Tools Identity,Al's Taping Tools SKU,Al's Taping Tools Product,Al's Taping Tools Price,Al's Taping Tools Duplicate Count,Al's Taping Tools Observed Duplicate Prices,Al's Taping Tools Evidence Quality,Wall Tools Verified,Wall Tools Identity,Wall Tools SKU,Wall Tools Product,Wall Tools Price,Wall Tools Duplicate Count,Wall Tools Observed Duplicate Prices,Wall Tools Evidence Quality
3,variation,COL-180-GRIP-FLAT-BOX-HANDLE,3BH,Columbia Tools,Columbia 180° Grip Flat Box Handle - 3',189.26,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.73,,,6,Price Conflict - Review Required,0,yes,columbia::3bh,3BH,"Columbia 36"" 180-Grip Flat Box Handle",189.99,4,189.99,verified_exact_identity,yes,columbia::3bh,3BH,"Columbia 36"" 180-Grip Featherweight Flat Box Handle",189.26,0,189.26,verified_exact_identity,no,,BH,Columbia 180 Grip Flat Box Handle,,1,,review_only
4,variation,COL-180-GRIP-FLAT-BOX-HANDLE,42BH,Columbia Tools,"Columbia 180° Grip Flat Box Handle - 42""",205.49,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.50,,,2,Price Conflict - Review Required,0,yes,columbia::42bh,42BH,"Columbia 42"" 180-Grip Flat Box Handle",205.99,0,205.99,verified_exact_identity,yes,columbia::42bh,42BH,"Columbia 42"" 180-Grip Featherweight Flat Box Handle",205.49,0,205.49,verified_exact_identity,no,,BH,Columbia 180 Grip Flat Box Handle,,1,,review_only
5,variation,COL-180-GRIP-FLAT-BOX-HANDLE,4BH,Columbia Tools,Columbia 180° Grip Flat Box Handle - 4',210.89,regular_price,,3,2,MARKET_PRICE_CONFLICT,,0,0.10,,,5,Price Conflict - Review Required,0,yes,columbia::4bh,4BH,"Columbia 48"" 180-Grip Flat Box Handle",210.99,4,210.99,verified_exact_identity,yes,columbia::4bh,4BH,"Columbia 48"" 180-Grip Featherweight Flat Box Handle",210.89,0,210.89,verified_exact_identity,yes,columbia::4bh,4BH,Columbia Taping Tools 4 ft. 180 Grip Flat Box Handle,210.89,1,210.89,verified_exact_identity
6,variation,COL-180-GRIP-FLAT-BOX-HANDLE,5BH,Columbia Tools,Columbia 180° Grip Flat Box Handle - 5',221.71,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.28,,,6,Price Conflict - Review Required,0,yes,columbia::5bh,5BH,"Columbia 60"" 180-Grip Flat Box Handle",221.99,4,221.99,verified_exact_identity,yes,columbia::5bh,5BH,"Columbia 60"" 180-Grip Featherweight Flat Box Handle",221.71,0,221.71,verified_exact_identity,no,,BH,Columbia 180 Grip Flat Box Handle,,1,,review_only
7,variation,COL-180-GRIP-FLAT-BOX-HANDLE,6BH,Columbia Tools,Columbia 180° Grip Flat Box Handle - 6',232.52,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.47,,,6,Price Conflict - Review Required,0,yes,columbia::6bh,6BH,"Columbia 72"" 180-Grip Flat Box Handle",232.99,4,232.99,verified_exact_identity,yes,columbia::6bh,6BH,"Columbia 72"" 180-Grip Featherweight Flat Box Handle",232.52,0,232.52,verified_exact_identity,no,,BH,Columbia 180 Grip Flat Box Handle,,1,,review_only
8,variation,COL-ANGLE-HEAD,2AH,Columbia Tools,"Columbia Angle Head - 2""",410.97,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.02,,,1,Price Conflict - Review Required,0,yes,columbia::2ah,2AH,"Columbia 2"" Angle Head",410.99,0,410.99,verified_exact_identity,yes,columbia::2ah,2AH,"Columbia 2"" Angle Head w/ Wheels",410.97,0,410.97,verified_exact_identity,no,,CF,Columbia Angle Head,,0,,review_only
9,variation,COL-ANGLE-HEAD,2.5AH,Columbia Tools,"Columbia Angle Head - 2.5""",421.79,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.20,,,0,Price Conflict - Review Required,0,yes,columbia::2.5ah,2.5AH,"Columbia 2.5"" Angle Head",421.99,0,421.99,verified_exact_identity,yes,columbia::2.5ah,2.5AH,"Columbia 2.5"" Angle Head w/ Wheels",421.79,0,421.79,verified_exact_identity,no,,,,,0,,
10,variation,COL-ANGLE-HEAD,3AH,Columbia Tools,"Columbia Angle Head - 3""",443.42,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.57,,,1,Price Conflict - Review Required,0,yes,columbia::3ah,3AH,"Columbia 3"" Angle Head",443.99,0,443.99,verified_exact_identity,yes,columbia::3ah,3AH,"Columbia 3"" Angle Head w/ Wheels",443.42,0,443.42,verified_exact_identity,no,,CF,Columbia Angle Head,,0,,review_only
13,variation,COL-ANGLE-HEAD,3.5AH,Columbia Tools,"Columbia Angle Head - 3.5""",470.80,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.76,,,0,Price Conflict - Review Required,0,yes,columbia::3.5ah,3.5AH,"Columbia 3.5"" Angle Head",454.99,0,454.99,verified_exact_identity,yes,columbia::3.5ah,3.5AH,"Columbia 3.5"" Angle Head w/ Wheels",454.23,0,454.23,verified_exact_identity,no,,,,,0,,
14,variation,COL-AUTOMATIC-FAT-BOY-BOX,8FBBA,Columbia Tools,"Columbia Automatic Fat Boy Box - 8""",481.27,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.72,,,0,Price Conflict - Review Required,0,yes,columbia::8fbba,8FBBA,"Columbia 8"" Fat Boy Automatic Assist Drywall Flat Box",481.99,0,481.99,verified_exact_identity,yes,columbia::8fbba,8FBBA,"Columbia 8"" Fat Boy Automatic Assist Drywall Flat Box",481.27,0,481.27,verified_exact_identity,no,,,,,0,,
15,variation,COL-AUTOMATIC-FAT-BOY-BOX,10FBBA,Columbia Tools,"Columbia Automatic Fat Boy Box - 10""",492.08,regular_price,,3,2,MARKET_PRICE_CONFLICT,,0,0.91,,,0,Price Conflict - Review Required,0,yes,columbia::10fbba,10FBBA,"Columbia 10"" Fat Boy Automatic Assist Drywall Flat Box",492.99,0,492.99,verified_exact_identity,yes,columbia::10fbba,10FBBA,"Columbia 10""  Automatic Assist Drywall Tool Flat Box",492.08,0,492.08,verified_exact_identity,yes,columbia::10fbba,10FBBA,Columbia 10 in. Automatic Fat Boy Flat Box,492.08,0,492.08,verified_exact_identity
16,variation,COL-AUTOMATIC-FAT-BOY-BOX,12FBBA,Columbia Tools,"Columbia Automatic Fat Boy Box - 12""",502.90,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,0.09,,,0,Price Conflict - Review Required,0,yes,columbia::12fbba,12FBBA,"Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box",502.99,0,502.99,verified_exact_identity,yes,columbia::12fbba,12FBBA,"Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box",502.90,0,502.90,verified_exact_identity,no,,,,,0,,
17,variation,COL-AUTOMATIC-FLAT-BOX,8FFBA,Columbia Tools,"Columbia Automatic Flat Box - 8""",421.79,regular_price,,2,2,MARKET_PRICE_CONFLICT,,0,9.94,,,0,Price Conflict - Review Required,0,yes,columbia::8ffba,8FFBA,"Columbia 8"" Automatic Assist Drywall Flat Box",421.99,0,421.99,verified_exact_identity,no,,,,,0,,,yes,columbia::8ffba,8FFBA,Columbia 8 in. Automatic Assist Flat Box,431.93,0,431.93,verified_exact_identity
