DTB Row,DTB SKU,DTB Brand,DTB Product,DTB Effective Price,DTB Price Basis,Recommended Review Status
12,COL-AUTOMATIC-FLAT-BOX,Columbia Tools,Columbia Automatic Flat Box,,missing_price,No Match Found
22,COL-BILLET-MUD-APPLICATOR,Columbia Tools,Columbia Billet Mud Applicator,,missing_price,No Match Found
32,COL-CAM-LOCK-TUBE,Columbia Tools,Columbia Cam Lock Tube,,missing_price,No Match Found
42,COL-DIRECT-FLUSHER,Columbia Tools,Columbia Direct Flusher,,missing_price,No Match Found
44,3WTCSF,Columbia Tools,"Columbia Combo Flusher - 3"" Widetrack",196.25,regular_price,No Match Found
55,4DF,Columbia Tools,"Columbia Direct Flusher - 4""",151.41,regular_price,No Match Found
56,5.5FBB,Columbia Tools,"Columbia Fat Boy Flat Box - 5.5""",384.39,regular_price,No Match Found
89,COBCRE,Columbia Tools,Columbia Outside Corner Roller - European,79.06,regular_price,No Match Found
91,COL-PREDATOR-MATRIX-HANDLE,Columbia Tools,Columbia Predator Matrix Handle,,missing_price,No Match Found
92,COL-PREDATOR-ONE-HANDLE,Columbia Tools,Columbia Predator One Handle,,missing_price,No Match Found
93,COL-STANDARD-FLUSHER,Columbia Tools,Columbia Standard Flusher,,missing_price,No Match Found
94,PMHS,Columbia Tools,"Columbia Predator Matrix Handle - Short 29""-39""",384.00,regular_price,No Match Found
95,PMH,Columbia Tools,"Columbia Predator Matrix Handle - 40""-60""",418.00,regular_price,No Match Found
96,PMHL,Columbia Tools,"Columbia Predator Matrix Handle - Long 56""-76""",503.00,regular_price,No Match Found
99,PCHXL,Columbia Tools,Columbia Predator One Handle - Long Extendable 4'-8',216.15,regular_price,No Match Found
101,COL-THROTTLE-CORNER-FLUSHER-BOX,Columbia Tools,Columbia Throttle Corner Flusher Box,,missing_price,No Match Found
110,COL-UHMW-MUD-APPLICATOR,Columbia Tools,Columbia UHMW Mud Applicator,,missing_price,No Match Found
114,OA90-325,Columbia Tools,Columbia UHMW Mud Applicator - Outside 90° 325,91.93,regular_price,No Match Found
116,CPFP,Columbia Tools,Columbia PowerFill 3.5 Pro Series Cordless Loading Pump,1473.00,regular_price,No Match Found
117,CPFGN,Columbia Tools,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube,275.00,regular_price,No Match Found
133,FA379,Columbia Tools,"1/4"" SS E-Clip",3.25,regular_price,No Match Found
138,FA313,Columbia Tools,1/4-20 X 1/4 Socket Head Set Screw,2.00,regular_price,No Match Found
146,FA320,Columbia Tools,"1/4-28-3/8"" Socket Set Screw",2.00,regular_price,No Match Found
151,FFB25,Columbia Tools,Rubber Gasket Retainer,,missing_price,No Match Found
159,FA380,Columbia Tools,"1/8"" SS E-Clip",2.95,regular_price,No Match Found
170,FA382,Columbia Tools,"10-32 x 1/4"" SS Set Screw",1.00,regular_price,No Match Found
172,FA365,Columbia Tools,"3/16 x 1"" Sping Pin SS",3.00,regular_price,No Match Found
191,FFB11,Columbia Tools,Adjuster Spring,,missing_price,No Match Found
218,FA376,Columbia Tools,8-32 x 5/16 SS Socket Head,2.00,regular_price,No Match Found
221,FFB5,Columbia Tools,Axle,,missing_price,No Match Found
224,FFB5-7,Columbia Tools,"Axle - 7""",44.00,regular_price,No Match Found
225,FFB5-8,Columbia Tools,"Axle - 8""",44.00,regular_price,No Match Found
226,FFB5-10,Columbia Tools,"Axle - 10""",44.00,regular_price,No Match Found
227,FFB5-12,Columbia Tools,"Axle - 12""",44.00,regular_price,No Match Found
228,FFB5-14,Columbia Tools,"Axle - 14""",44.00,regular_price,No Match Found
241,HNS8,Columbia Tools,Blade Holder,,missing_price,No Match Found
251,BH9,Columbia Tools,Brake Connecting Strap,,missing_price,No Match Found
261,FFB36,Columbia Tools,Box Wheel,5.00,regular_price,No Match Found
264,MH9A,Columbia Tools,Brake Activation Rod,24.00,regular_price,No Match Found
268,MH8,Columbia Tools,Brake Rod Bushing,8.00,regular_price,No Match Found
270,HH-BRASS-CONNECTOR,Columbia Tools,Brass Connector,,missing_price,No Match Found
277,HH19,Columbia Tools,Cap,17.00,regular_price,No Match Found
291,HNS4,Columbia Tools,Door,,missing_price,No Match Found
301,PCLT42,Columbia Tools,Columbia Predator Camlock Tube,368.05,regular_price,No Match Found
302,PCMT42,Columbia Tools,"Columbia Predator Compound Tube 42""",274.93,regular_price,No Match Found
307,MH7,Columbia Tools,Connecting Link Fork,29.00,regular_price,No Match Found
308,MH5,Columbia Tools,Connecting Link Pin,5.00,regular_price,No Match Found
310,MH16,Columbia Tools,Connecting Rod Housing,8.00,regular_price,No Match Found
320,CFB4,Columbia Tools,Door,,missing_price,No Match Found
321,HNS15,Columbia Tools,Door Gasket,,missing_price,No Match Found
322,CFB7,Columbia Tools,Door Gasket,,missing_price,No Match Found
323,HNS-DOOR-SPRING,Columbia Tools,Door Spring,,missing_price,No Match Found
343,CT87,Columbia Tools,Engraved Cover Plate Cap,42.00,regular_price,No Match Found
358,MH21,Columbia Tools,Grip Adjuster Housing,21.95,regular_price,No Match Found
359,MH23,Columbia Tools,Grip Adjusting Fastener,11.00,regular_price,No Match Found
360,MH22,Columbia Tools,Grip Adjustment Pin,11.00,regular_price,No Match Found
370,MH11,Columbia Tools,Handle Grip Bushing,6.00,regular_price,No Match Found
371,AH1,Columbia Tools,Head Casting,,missing_price,No Match Found
375,AH1-3,Columbia Tools,"Head Casting - 3""",153.00,regular_price,No Match Found
381,MH1,Columbia Tools,Handle Mount Plate,75.00,regular_price,No Match Found
384,HH8,Columbia Tools,Handle Tube,45.00,regular_price,No Match Found
387,FFB39,Columbia Tools,Hex Bolt,3.00,regular_price,No Match Found
391,CT-WAFER-BUSHING,Columbia Tools,Wafer Bushing,,missing_price,No Match Found
392,MH6,Columbia Tools,Hinge Pin,4.00,regular_price,No Match Found
396,MH13,Columbia Tools,Large Nyliner Bushing,5.00,regular_price,No Match Found
407,MH2,Columbia Tools,Matrix Handle Head,4.00,regular_price,No Match Found
409,MH3A,Columbia Tools,Mounting Bracket Stem,4.00,regular_price,No Match Found
421,MP-PISTON-BACKING-WASHER,Columbia Tools,Piston Backing Washer,,missing_price,No Match Found
429,FFB38,Columbia Tools,Nyliner Bearing,2.00,regular_price,No Match Found
433,MH10,Columbia Tools,Octagon,36.00,regular_price,No Match Found
435,MH17,Columbia Tools,Pinch Brake,24.50,regular_price,No Match Found
436,MH15,Columbia Tools,Pinch Brake Activator,22.00,regular_price,No Match Found
437,MH24,Columbia Tools,Pinch Brake Bushing,12.75,regular_price,No Match Found
438,MH18,Columbia Tools,Pinch Brake Housing,20.00,regular_price,No Match Found
439,MH19,Columbia Tools,Pinch Brake Sleeve,28.00,regular_price,No Match Found
440,MH25,Columbia Tools,Pinch Brake Stem,14.95,regular_price,No Match Found
441,CT-INSERT-BUSHING,Columbia Tools,Insert Bushing,,missing_price,No Match Found
442,CT-NYLATRON-CHAIN-ROLLER,Columbia Tools,Nylatron Chain Roller,,missing_price,No Match Found
443,MH12,Columbia Tools,PinchBrake Spring,4.00,regular_price,No Match Found
454,HNS18,Columbia Tools,Pivot,4.00,regular_price,No Match Found
