sku,field,before,after,protected_field
03TT,Categories,Drywall Finishing Tools > Automatic Taping Tools > Automatic Tapers,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,false
03TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
03TT,Meta: _dtb_category_key,taping,automatic_taping_tools,false
07TT,Categories,Drywall Finishing Tools > Automatic Taping Tools > Automatic Tapers,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,false
07TT,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
07TT,Meta: _dtb_category_key,taping,automatic_taping_tools,false
07TT,Meta: _dtb_schematic_url,/schematics?brand=tapetech&amp;category=Automatic+Tapers&amp;schematic=tapetech-07tt,/schematics?brand=tapetech&category=Automatic+Tapers&schematic=tapetech-07tt,false
07TT-C,Categories,Drywall Finishing Tools > Automatic Taping Tools > Automatic Tapers,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,false
07TT-C,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
07TT-C,Meta: _dtb_category_key,taping,automatic_taping_tools,false
10FBB,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
10FBB,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
10FBB,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
10FBB,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
10FBBA,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
10FBBA,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
10FBBA,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
10FBBA,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
10FBBA,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-fat-boy-box,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-fat-boy-box,false
10FFB,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
10FFB,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
10FFB,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
10FFB,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
10FFB,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-flat-box&amp;variant=10,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-flat-box&variant=10,false
10FFBA,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
10FFBA,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
10FFBA,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
10FFBA,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
10FFBA,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-automatic-flat-box&amp;variant=10,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-automatic-flat-box&variant=10,false
12FBB,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
12FBB,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
12FBB,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
12FBB,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
12FBBA,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
12FBBA,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
12FBBA,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
12FBBA,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
12FBBA,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-fat-boy-box,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-fat-boy-box,false
12FFB,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
12FFB,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
12FFB,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
12FFB,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
12FFB,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-flat-box&amp;variant=12,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-flat-box&variant=12,false
12FFBA,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
