catalog_sku,catalog_product_name,catalog_product_type,csr_source_rows,csr_sale_price_usd,old_sale_price,new_sale_price,old_regular_price,new_regular_price,status,applied_at
AH1,Head Casting,variable,4,151.00,,151.00,,166.10,UPDATED,2026-09-17T09:17:51Z
AH18,Socket Wear Cap,simple,1,9.00,10.16,9.00,11.18,9.90,UPDATED,2026-09-17T09:17:51Z
AH1A,Spring Housing,simple,1,8.00,12.18,8.00,13.40,8.80,UPDATED,2026-09-17T09:17:51Z
AH1B,Return Spring,simple,1,3.00,3.00,3.00,3.30,3.30,ALREADY_CURRENT,2026-09-17T09:17:51Z
AH4,Side Blade,simple,1,4.00,29.50,4.00,32.45,4.40,UPDATED,2026-09-17T09:17:51Z
AH5,Frame Retainer Clip,simple,1,2.00,2.28,2.00,2.51,2.20,UPDATED,2026-09-17T09:17:51Z
AH6A,Funnel Retainer Clip,simple,1,19.00,23.36,19.00,25.70,20.90,UPDATED,2026-09-17T09:17:51Z
AH7,Frame Tension Spring,variable,4,2.00,,2.00,,2.20,UPDATED,2026-09-17T09:17:51Z
AH8,Top Retainer Corner Clip - Standard,variation,1,7.00,6.78,7.00,7.46,7.70,UPDATED,2026-09-17T09:17:51Z
AH8A,"Top Retainer Corner Clip - 3.5""",variation,1,7.00,9.75,7.00,10.73,7.70,UPDATED,2026-09-17T09:17:51Z
AH9,Bottom Retainer Corner Clip - Standard,variation,1,10.00,12.25,10.00,13.48,11.00,UPDATED,2026-09-17T09:17:51Z
AH9A,"Bottom Retainer Corner Clip - 3.5""",variation,1,10.00,11.32,10.00,12.45,11.00,UPDATED,2026-09-17T09:17:51Z
BH1,Mounting Plate,simple,2,30.00,54.64,30.00,60.10,33.00,UPDATED,2026-09-17T09:17:51Z
BH11,Strap Connecting Pin,simple,1,3.00,7.95,3.00,8.75,3.30,UPDATED,2026-09-17T09:17:51Z
BH2,Plate,simple,1,40.00,45.84,40.00,50.42,44.00,UPDATED,2026-09-17T09:17:51Z
BH24A,Bearing Sleeve,simple,1,4.00,4.00,4.00,4.40,4.40,ALREADY_CURRENT,2026-09-17T09:17:51Z
BH26,Cam,simple,1,9.00,12.38,9.00,13.62,9.90,UPDATED,2026-09-17T09:17:51Z
BH3,Lower Mounting Bracket,simple,1,32.00,32.00,32.00,35.20,35.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
BH4,Lower Brake Lever,simple,1,26.00,22.53,26.00,24.78,28.60,UPDATED,2026-09-17T09:17:51Z
BH5,Upper Mounting Bracket,simple,2,10.00,10.54,10.00,11.59,11.00,UPDATED,2026-09-17T09:17:51Z
BH6,Hinge Pin,simple,2,10.00,11.25,10.00,12.38,11.00,UPDATED,2026-09-17T09:17:51Z
BH7,Cam Follower,simple,1,14.00,15.00,14.00,16.50,15.40,UPDATED,2026-09-17T09:17:51Z
CFB10,"5/16-18 x 3/4"" Thumb Screw",simple,1,6.00,7.3,6.00,8.03,6.60,UPDATED,2026-09-17T09:17:51Z
CFB11A,Door Stop,simple,1,3.00,3.68,3.00,4.05,3.30,UPDATED,2026-09-17T09:17:51Z
CFB15,Door Hinge,simple,1,26.00,30.1,26.00,33.11,28.60,UPDATED,2026-09-17T09:17:51Z
CFB15A,Hinge Bushing (Plastic Washer),simple,1,3.00,2.75,3.00,3.03,3.30,UPDATED,2026-09-17T09:17:51Z
CFB16,Bearing Sleeve,simple,1,5.00,7.28,5.00,8.01,5.50,UPDATED,2026-09-17T09:17:51Z
CFB3,Side Plate,variable,2,39.00,,39.00,,42.90,UPDATED,2026-09-17T09:17:51Z
CFB4,Door,variable,2,13.00,,13.00,,14.30,UPDATED,2026-09-17T09:17:51Z
CFB5B,Cone Ball,simple,1,16.00,19.46,16.00,21.41,17.60,UPDATED,2026-09-17T09:17:51Z
CFB6,Mud Supply Valve Unit,simple,1,28.00,32.18,28.00,35.40,30.80,UPDATED,2026-09-17T09:17:51Z
CFB7,Door Gasket,variable,2,39.00,,39.00,,42.90,UPDATED,2026-09-17T09:17:51Z
CFB8,Box Mount,simple,1,43.00,52.72,43.00,57.99,47.30,UPDATED,2026-09-17T09:17:51Z
CR1,Head Casting,simple,1,39.00,58.5,39.00,64.35,42.90,UPDATED,2026-09-17T09:17:51Z
CR11,Handle Connecting Link,simple,1,26.00,30.1,26.00,33.11,28.60,UPDATED,2026-09-17T09:17:51Z
CR12,Swivel Coupling Pin,simple,1,4.00,5.38,4.00,5.92,4.40,UPDATED,2026-09-17T09:17:51Z
CR2,Roller,simple,1,12.00,20.64,12.00,22.70,13.20,UPDATED,2026-09-17T09:17:51Z
CR4,Cut Washer,simple,1,3.00,5.4,3.00,5.94,3.30,UPDATED,2026-09-17T09:17:51Z
CR6,Handle Mounting Swivel,simple,1,16.00,17.68,16.00,19.45,17.60,UPDATED,2026-09-17T09:17:51Z
CT101,Return Spring,simple,1,3.00,4.15,3.00,4.57,3.30,UPDATED,2026-09-17T09:17:51Z
CT103,Barrel- Main Body,simple,1,129.00,150.64,129.00,165.70,141.90,UPDATED,2026-09-17T09:17:51Z
CT104,Connection Strap,simple,1,12.00,18.95,12.00,20.85,13.20,UPDATED,2026-09-17T09:17:51Z
CT105,Crimper Lever,simple,1,30.00,34.62,30.00,38.08,33.00,UPDATED,2026-09-17T09:17:51Z
CT107,Piston Body,simple,1,26.00,30.1,26.00,33.11,28.60,UPDATED,2026-09-17T09:17:51Z
CT109,1/4 - 20 Hex Nut,simple,1,6.00,6.4,6.00,7.04,6.60,UPDATED,2026-09-17T09:17:51Z
CT10A,Crimping Arm Shaft Bushing - L,simple,1,5.00,7.08,5.00,7.79,5.50,UPDATED,2026-09-17T09:17:51Z
CT111,Piston Cup,simple,1,15.00,18.08,15.00,19.89,16.50,UPDATED,2026-09-17T09:17:51Z
CT112,Connecting Stud,simple,1,10.00,12.64,10.00,13.90,11.00,UPDATED,2026-09-17T09:17:51Z
CT115,Guard Ring,simple,1,19.00,22.6,19.00,24.86,20.90,UPDATED,2026-09-17T09:17:51Z
CT116A,Strap,simple,1,18.00,21.94,18.00,24.13,19.80,UPDATED,2026-09-17T09:17:51Z
CT119,Spool Retaining Spring,simple,1,6.00,7.25,6.00,7.98,6.60,UPDATED,2026-09-17T09:17:51Z
CT120,Tape Spool,simple,1,27.00,22.81,27.00,25.09,29.70,UPDATED,2026-09-17T09:17:51Z
CT121A,O-Ring,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
CT124,Hand Grip Guard Ring,simple,1,19.00,20.00,19.00,22.00,20.90,UPDATED,2026-09-17T09:17:51Z
CT125,Rollers,simple,1,4.00,4.7,4.00,5.17,4.40,UPDATED,2026-09-17T09:17:51Z
CT125A,Bearing,simple,1,4.00,4.58,4.00,5.04,4.40,UPDATED,2026-09-17T09:17:51Z
CT126,Hand Grip Body,simple,1,65.00,66.00,65.00,72.60,71.50,UPDATED,2026-09-17T09:17:51Z
CT127,Extension Shaft Bracket,simple,1,32.00,36.56,32.00,40.22,35.20,UPDATED,2026-09-17T09:17:51Z
CT13,Dog Base Bracket,simple,1,16.00,14.46,16.00,15.91,17.60,UPDATED,2026-09-17T09:17:51Z
CT130,Extension Shaft,simple,1,23.00,27.14,23.00,29.85,25.30,UPDATED,2026-09-17T09:17:51Z
CT132,Connecting Link,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
CT14A,Taper Adjustable Brake,simple,1,6.00,8.73,6.00,9.60,6.60,UPDATED,2026-09-17T09:17:51Z
CT15,Ratchet Rod for Adjustable Brake,simple,1,6.00,6.00,6.00,6.60,6.60,ALREADY_CURRENT,2026-09-17T09:17:51Z
CT16,Brake Dog,simple,1,15.00,15.00,15.00,16.50,16.50,ALREADY_CURRENT,2026-09-17T09:17:51Z
CT19,Paper Feed Guide,simple,1,34.00,40.7,34.00,44.77,37.40,UPDATED,2026-09-17T09:17:51Z
CT2,Insert Bushing for CT#7A,simple,1,5.00,5.65,5.00,6.22,5.50,UPDATED,2026-09-17T09:17:51Z
CT20,Hinge Block,simple,1,11.00,11.72,11.00,12.89,12.10,UPDATED,2026-09-17T09:17:51Z
CT28,Roller Bushing,simple,1,4.00,5.65,4.00,6.22,4.40,UPDATED,2026-09-17T09:17:51Z
CT29,Nylatron Chain Roller - Right (Small),variation,1,4.00,4.7,4.00,5.17,4.40,UPDATED,2026-09-17T09:17:51Z
CT29A,Nylatron Chain Roller - Left (Large),variation,1,4.00,4.7,4.00,5.17,4.40,UPDATED,2026-09-17T09:17:51Z
CT3,Insert Bushing - Right,variation,1,12.00,13.56,12.00,14.92,13.20,UPDATED,2026-09-17T09:17:51Z
CT31,Chain Tension & Guide Bracket,simple,1,6.00,8.23,6.00,9.05,6.60,UPDATED,2026-09-17T09:17:51Z
CT35,Cap Reinforcing Tab,simple,1,4.00,4.58,4.00,5.04,4.40,UPDATED,2026-09-17T09:17:51Z
CT36,Return Spring Tube,simple,1,33.00,39.16,33.00,43.08,36.30,UPDATED,2026-09-17T09:17:51Z
CT3A,Insert Bushing - Left,variation,1,12.00,13.56,12.00,14.92,13.20,UPDATED,2026-09-17T09:17:51Z
CT4,Wafer Bushing - Left,variation,1,2.00,1.88,2.00,2.07,2.20,UPDATED,2026-09-17T09:17:51Z
CT40,Return Spring Ring,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
CT42A,Diamond Blade,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
CT43,Micro Chain,simple,1,43.00,37.66,43.00,41.43,47.30,UPDATED,2026-09-17T09:17:51Z
CT45,Connecting Rod,simple,1,17.00,20.34,17.00,22.37,18.70,UPDATED,2026-09-17T09:17:51Z
CT47,Crimping Wheel,simple,1,13.00,15.06,13.00,16.57,14.30,UPDATED,2026-09-17T09:17:51Z
CT5,Wafer Bushing - Right,variation,1,2.00,1.88,2.00,2.07,2.20,UPDATED,2026-09-17T09:17:51Z
CT50,Crimping Wheel Bushing,simple,1,6.00,8.23,6.00,9.05,6.60,UPDATED,2026-09-17T09:17:51Z
CT53,Toe Kicker,simple,1,23.00,26.38,23.00,29.02,25.30,UPDATED,2026-09-17T09:17:51Z
CT54,Return Spring,simple,1,3.00,3.00,3.00,3.30,3.30,ALREADY_CURRENT,2026-09-17T09:17:51Z
CT55,Carriage Guide Rod,simple,1,12.00,15.06,12.00,16.57,13.20,UPDATED,2026-09-17T09:17:51Z
CT56,Carriage Guide Rod Stop,simple,1,7.00,9.18,7.00,10.10,7.70,UPDATED,2026-09-17T09:17:51Z
CT57,Tape Advance Carriage,simple,1,81.00,102.4,81.00,112.64,89.10,UPDATED,2026-09-17T09:17:51Z
CT58,Guide Rod Bushing,simple,1,8.00,10.98,8.00,12.08,8.80,UPDATED,2026-09-17T09:17:51Z
CT62,Needle Holding Shaft,simple,1,16.00,19.56,16.00,21.52,17.60,UPDATED,2026-09-17T09:17:51Z
CT63,Needle,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
CT64,Needle Return Shaft,simple,1,6.00,7.53,6.00,8.28,6.60,UPDATED,2026-09-17T09:17:51Z
CT65,Needle Return Spring,simple,1,4.00,5.2,4.00,5.72,4.40,UPDATED,2026-09-17T09:17:51Z
CT67,Ratchet Gear,simple,1,6.00,7.53,6.00,8.28,6.60,UPDATED,2026-09-17T09:17:51Z
CT68,Hub,simple,1,15.00,18.08,15.00,19.89,16.50,UPDATED,2026-09-17T09:17:51Z
CT6A,Stainless Steel Side Plate - Left,simple,1,37.00,43.34,37.00,47.67,40.70,UPDATED,2026-09-17T09:17:51Z
CT70,Drive Shaft,simple,1,33.00,37.64,33.00,41.40,36.30,UPDATED,2026-09-17T09:17:51Z
CT71,Drive Sprocket - Small,variation,1,15.00,22.63,15.00,24.89,16.50,UPDATED,2026-09-17T09:17:51Z
CT72,Cable,simple,2,10.00,10.00,10.00,11.00,11.00,ALREADY_CURRENT,2026-09-17T09:17:51Z
CT73,Cable Drum,simple,1,39.00,45.16,39.00,49.68,42.90,UPDATED,2026-09-17T09:17:51Z
