"row_index","sku","name","brand"
"25","PTAPER","Columbia Automatic Taper - Predator Carbon Fiber 53""","Columbia Tools"
"44","2.5CSF","Columbia Combo Flusher - 2.5""","Columbia Tools"
"46","3WTCSF","Columbia Combo Flusher - 3"" Widetrack","Columbia Tools"
"47","3.5CSF","Columbia Combo Flusher - 3.5""","Columbia Tools"
"79","HMP-C","Columbia Hot Mud Pump - CDN","Columbia Tools"
"98","COBCRE","Columbia Outside Corner Roller - European","Columbia Tools"
"100","PDDM","Columbia Phantom DDM Sander","Columbia Tools"
"134","TCS","Columbia Tool Case - Gun Case","Columbia Tools"
"141","TL-3-8","Columbia Twist Lock Handle w PHA","Columbia Tools"
"146","OA90-325","Columbia UHMW Mud Applicator - Outside 90° 325","Columbia Tools"
"189","EEX125135","TapeTech 135° Outside Corner Edger - 1.25""","TapeTech"
"190","EEX200135","TapeTech 135° Outside Corner Edger - 2""","TapeTech"
"191","EEX275135","TapeTech 135° Outside Corner Edger - 2.75""","TapeTech"
"192","NS02WX1HDL","TapeTech 2"" Nail Spotter with X1 Extension Handle","TapeTech"
"194","CA07XHTT","TapeTech 7"" Angle Box with Extendable XHTT Handle","TapeTech"
"195","CA08TTXHTT","TapeTech 8"" Angle Box with XHTT Extendable Handle","TapeTech"
"197","EIN5090","TapeTech 90° Inside Corner Edger - 0.5""","TapeTech"
"198","EIN7590","TapeTech 90° Inside Corner Edger - 0.75""","TapeTech"
"199","EIN10090","TapeTech 90° Inside Corner Edger - 1""","TapeTech"
"200","EIN15090","TapeTech 90° Inside Corner Edger - 1.5""","TapeTech"
"201","EIN20090","TapeTech 90° Inside Corner Edger - 2""","TapeTech"
"203","EEX5090","TapeTech 90° Outside Corner Edger - 0.5""","TapeTech"
"204","EEX7590","TapeTech 90° Outside Corner Edger - 0.75""","TapeTech"
"205","EEX10090","TapeTech 90° Outside Corner Edger - 1""","TapeTech"
"206","EEX15090","TapeTech 90° Outside Corner Edger - 1.5""","TapeTech"
"207","EEX20090","TapeTech 90° Outside Corner Edger - 2""","TapeTech"
"225","FBH2642TT-CF","TapeTech Carbon Fiber Box Handle - 26""-42""","TapeTech"
"226","FBH4272TT-CF","TapeTech Carbon Fiber Box Handle - 42""-72""","TapeTech"
"242","CA07FHTT","TapeTech Corner Applicator with FHTT Fiberglass Handle - 7""","TapeTech"
"243","CA08FHTT","TapeTech Corner Applicator with FHTT Fiberglass Handle - 8""","TapeTech"
"254","15TTEXHTT","TapeTech Corner Roller with Extendable XHTT Handle","TapeTech"
"255","15TTEWHANDLE","TapeTech Corner Roller with Handle","TapeTech"
"277","NS02FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 2""","TapeTech"
