"row_index","sku","name","brand","old_regular_price","new_regular_price","source","matched_query","source_sku","source_url","match_type"
"10","2.5AH","Columbia Angle Head - 2.5""","Columbia Tools","","421.79","alstapingtools.com","2.5AH","2.5AH","https://www.alstapingtools.com/columbia-2-5-angle-head-w-wheels/","exact_sku_normalized"
"12","3.5AH","Columbia Angle Head - 3.5""","Columbia Tools","","454.23","alstapingtools.com","3.5AH","3.5AH","https://www.alstapingtools.com/columbia-3-5-angle-head-w-wheels/","exact_sku_normalized"
"13","AHA","Columbia Angle Head Adapter","Columbia Tools","","24.87","alstapingtools.com","AHA","AHA","https://www.alstapingtools.com/columbia-angle-head-ball-adapter/","exact_sku_normalized"
"56","2.5DF","Columbia Direct Flusher - 2.5""","Columbia Tools","","127.62","alstapingtools.com","2.5DF","2.5DF","https://www.alstapingtools.com/columbia-taping-tools-2-5-direct-drywall-corner-flusher/","exact_sku_normalized"
"59","3.5DF","Columbia Direct Flusher - 3.5""","Columbia Tools","","146.00","alstapingtools.com","3.5DF","3.5DF","https://www.alstapingtools.com/columbia-taping-tools-3-5-direct-drywall-corner-flusher-with-wheels/","exact_sku_normalized"
"63","8FBB","Columbia Fat Boy Flat Box - 8""","Columbia Tools","","443.42","alstapingtools.com","8FBB","8FBB","https://www.alstapingtools.com/columbia-8-fat-boy-drywall-flat-finishing-box/","exact_sku_normalized"
"64","10FBB","Columbia Fat Boy Flat Box - 10""","Columbia Tools","","454.23","alstapingtools.com","10FBB","10FBB","https://www.alstapingtools.com/columbia-10-fat-boy-drywall-flat-finishing-box/","exact_sku_normalized"
"65","12FBB","Columbia Fat Boy Flat Box - 12""","Columbia Tools","","465.05","alstapingtools.com","12FBB","12FBB","https://www.alstapingtools.com/columbia-12-fat-boy-drywall-flat-finishing-box/","exact_sku_normalized"
"67","5.5FFB","Columbia Flat Finisher Box - 5.5""","Columbia Tools","","367.71","alstapingtools.com","5.5FFB","5.5FFB","https://www.alstapingtools.com/columbia-5-5-drywall-flat-finisher-box/","exact_sku_normalized"
"99","COBCRW","Columbia Outside Corner Roller - Wide","Columbia Tools","","86.52","alstapingtools.com","COBCRW","COBCRW","https://www.alstapingtools.com/columbia-taping-tools-superwide-outside-90-corner-bead-roller/","exact_sku_normalized"
"114","2.5SF","Columbia Standard Flusher - 2.5""","Columbia Tools","","116.80","alstapingtools.com","2.5SF","2.5SF","https://www.alstapingtools.com/columbia-taping-tools-2-5-standard-drywall-corner-flusher-with-wheels/","exact_sku_normalized"
"117","3.5SF","Columbia Standard Flusher - 3.5""","Columbia Tools","","133.02","alstapingtools.com","3.5SF","3.5SF","https://www.alstapingtools.com/columbia-taping-tools-3-5-standard-drywall-corner-flusher-with-wheels/","exact_sku_normalized"
"124","TSB-10","Columbia Tomahawk Smoothing Blade - 10""","Columbia Tools","","56.24","alstapingtools.com","TSB-10","TSB-10","https://www.alstapingtools.com/columbia-10-tomahawk-smoothing-blade/","exact_sku_normalized"
"135","RC","Columbia Tool Case - Road Case","Columbia Tools","","1020.16","alstapingtools.com","RC","RC","https://www.alstapingtools.com/columbia-road-case/","exact_sku_normalized"
"234","CT24TT","TapeTech Compound Tube - 24""","TapeTech","","189.00","alstapingtools.com","CT24TT","CT24TT","https://www.alstapingtools.com/tapetech-24-drywall-compound-tube-ct24tt/","exact_sku_normalized"
"235","CT36TT","TapeTech Compound Tube - 36""","TapeTech","","199.00","alstapingtools.com","CT36TT","CT36TT","https://www.alstapingtools.com/tapetech-36-drywall-compound-tube-ct36tt/","exact_sku_normalized"
"236","CT42TT","TapeTech Compound Tube - 42""","TapeTech","","209.00","alstapingtools.com","CT42TT","CT42TT","https://www.alstapingtools.com/tapetech-42-drywall-compound-tube-ct42tt/","exact_sku_normalized"
"237","CTA01TT","TapeTech Compound Tube Filler Adapter","TapeTech","","19.99","alstapingtools.com","CTA01TT","CTA01TT","https://www.alstapingtools.com/tapetech-compound-tube-filler-adapter-cta01tt/","exact_sku_normalized"
"304","804003F","TapeTech Grip Assembly For Box Handle","TapeTech","","73.91","alstapingtools.com","804003F","804003F","https://www.alstapingtools.com/804003-handle-lever-assembly/","exact_sku_normalized"
"471","FA207","4-40 Nyloc Nut","Columbia Tools","","2.50","alstapingtools.com","FA207","fa207","https://www.alstapingtools.com/7-nylock-nut-4-40/","exact_sku_normalized"
"495","AH1-2.5","Head Casting- 2.5""","Columbia Tools","","173.85","alstapingtools.com","AH1-2.5","AH-1-2.5","https://www.alstapingtools.com/1-2-5-body-ah-1-2-5/","exact_sku_normalized"
"702","CR-3","Bearing Sleeve","Columbia Tools","","19.99","alstapingtools.com","CR3","CR3","https://www.alstapingtools.com/marshalltown-3-inch-corner-roller-for-drywall-mud-and-paint-application/","exact_sku_normalized"
