"row_index","sku","name","brand","old_regular_price","new_regular_price","source","source_variant_sku","source_variant_title","source_product_title","source_url","match_score","match_type"
"100","PDDM","Columbia Phantom DDM Sander","Columbia Tools","","525.00","csrbuilding.com","08PDDM","Default Title","Columbia The Phantom Sander","https://csrbuilding.com/en-us/products/columbia-the-phantom-sander","98","normalized_sku_or_variant_part_token"
"134","TCS","Columbia Tool Case - Gun Case","Columbia Tools","","225.00","csrbuilding.com","08TCS","Default Title","Columbia Semi-Auto Tool Case By Flambeau","https://csrbuilding.com/en-us/products/columbia-semi-auto-tool-case","98","normalized_sku_or_variant_part_token"
"141","TL-3-8","Columbia Twist Lock Handle w PHA","Columbia Tools","","91.93","csrbuilding.com","08TL3-8","Default Title","Columbia Twist and Lock Handle 3' - 8'","https://csrbuilding.com/en-us/products/columbia-twist-and-lock-handle-3-8","98","normalized_sku_or_variant_part_token"
"351","FA216","4-40 X 3/8” Fillister Slot","Columbia Tools","","2.00","csrbuilding.com","08FA216","FA216 - 4-40 X 3/8” Fillister Slot","Columbia Flat Finishing Box Repair Parts","https://csrbuilding.com/en-us/products/columbia-flat-finishing-box-repair-parts","190","normalized_sku_or_variant_part_token"
"354","FA233","6-32 Nyloc Nut","Columbia Tools","","1.78","csrbuilding.com","08FA233","FA233 - 6-32 Nyloc Nut","Columbia Flat Finishing Box Repair Parts","https://csrbuilding.com/en-us/products/columbia-flat-finishing-box-repair-parts","190","normalized_sku_or_variant_part_token"
"355","FA238","6-32 X 3/16"" Fillister Slot","Columbia Tools","","1.40","csrbuilding.com","08FA238","FA238 - 6-32 X 3/16"" Fillister Slot","Columbia Flat Finishing Box Repair Parts","https://csrbuilding.com/en-us/products/columbia-flat-finishing-box-repair-parts","190","normalized_sku_or_variant_part_token"
"356","FA239","6-32 X 1/4"" Binder Slot","Columbia Tools","","0.64","csrbuilding.com","08FA239","FA239 - 6-32 X 1/4"" Binder Slot","Columbia Flat Finishing Box Repair Parts","https://csrbuilding.com/en-us/products/columbia-flat-finishing-box-repair-parts","190","normalized_sku_or_variant_part_token"
"357","FA241","6-32 X 3/8"" Binder Slot","Columbia Tools","","0.64","csrbuilding.com","08FA241","FA241 - 6-32 X 3/8"" Binder Slot","Columbia Flat Finishing Box Repair Parts","https://csrbuilding.com/en-us/products/columbia-flat-finishing-box-repair-parts","190","normalized_sku_or_variant_part_token"
"359","FA258","8-32X 1/4 Half Dog Set","Columbia Tools","","1.78","csrbuilding.com","08FA258","FA258 - 8-32 x 1/4"" Half Dog Set","Columbia Matrix Handle Repair Parts","https://csrbuilding.com/en-us/products/columbia-matrix-handle-repair-parts","190","normalized_sku_or_variant_part_token"
"361","FA271","10-24 Nyloc Nut","Columbia Tools","","1.78","csrbuilding.com","08FA271","FA271 - 10-24 Nyloc Nut","Columbia Flat Finishing Box Repair Parts","https://csrbuilding.com/en-us/products/columbia-flat-finishing-box-repair-parts","190","normalized_sku_or_variant_part_token"
