Model,Description,UPC Code,Ship Box Length (in),Ship Box Width (in),Ship Box Height (in),Ship Package Weight (lbs),Ship Box Length (cm),Ship Box Width (cm),Ship Box Height (cm),Ship Package Weight (kg)
07TT,EasyClean Automatic Taper,873876002146,55,7,7,9.25,140,18,18,4.1957294225
14TT,MudRunner,873876000371,65,6.5,6.5,8.75,166,17,17,3.9689332375
15TTE,Inside Corner Roller,873876000388,8,4,4,1.9,21,11,11,0.861825503
16TT,Mud Head for Outside Corner (90 Degrees),873876000395,6.5,4.5,4.5,0.6,17,12,12,0.272155422
16TT90,Mud Head for Inside Corner (90 Degrees),873876000401,6.5,4.5,4.5,0.55,17,12,12,0.2494758035
17TT,Outside Corner Roller,873876000418,6.5,4.5,4.5,1.65,17,12,12,0.7484274105
17TTE,Outside Corner Roller (for Flex Tape),873876000425,6.5,4.5,4.5,1.65,17,12,12,0.7484274105
20TTX,"7"" EasyClean Finishing Box",873876000432,10,6,4,2.75,26,16,11,1.2473790175
EZ07TT,"7"" EasyClean® Finishing Box with EasyRoll™ Wheels",873876002603,10,6,4,2.75,26,16,11,1.2473790175
PA07H,"7"" Power Assist Finishing Box",873876001774,9,8,6,4.1,23,21,16,1.859728717
PAHC07,"7"" Power Assist MAXXBOX Extra High Capacity Finishing Box",873876002306,9,8,6,4.2,23,21,16,1.905087954
EHC07,"7"" MAXXBOX™ Extra High Capacity Finishing Box",873876002115,9,8,6,4,23,21,16,1.81
25TTX,"10"" EasyClean Finishing Box",873876000463,12,6,4,3.3,31,16,11,1.496854821
EZ10TT,"10"" EasyClean® Finishing Box with EasyRoll™ Wheels",873876002610,12,6,4,3.3,31,16,11,1.496854821
PA10H,"10"" Power Assist Finishing Box",873876001798,12,8,6,4.7,31,21,16,2.131884139
PAHC10,"10"" Power Assist MAXXBOX Extra High Capacity Finishing Box",873876002313,12,8,6,4.8,31,21,16,2.177243376
EHC10,"10"" MAXXBOX™ Extra High Capacity Finishing Box",873876002122,12,8,6,4.5,31,21,16,2.04
30TTX,"12"" EasyClean Finishing Box",873876000494,14,6,4,3.85,36,16,11,1.7463306245
EZ12TT,"12"" EasyClean® Finishing Box with EasyRoll™ Wheels",873876002627,14,6,4,3.85,36,16,11,1.7463306245
PA12H,"12"" Power Assist Finishing Box",873876000517,14,8,6,5.15,36,21,16,2.3360007055
PAHC12,"12"" Power Assist MAXXBOX Extra High Capacity Finishing Box",873876002320,14,8,6,5.2,36,21,16,2.358680324
EHC12,"12"" MAXXBOX™ Extra High Capacity Finishing Box",873876002139,14,8,6,5,36,21,16,2.27
35TT,"8"" Corner Applicator",873876000524,9,9,4,2.8,23,23,11,1.270058636
CA07TT,"7"" Corner Applicator",873876002788,8,8,4,2.5,21,21,11,1.13
CA08TT,"8"" Corner Applicator",873876002795,9,9,4,2.8,23,23,11,1.27
40TT,"2"" Corner Finisher",873876000548,6,4,4,0.7,16,11,11,0.317514659
42TT,"2.5"" Corner Finisher",873876002290,5,5,6,1,12.7,12.7,15.24,0.45
45TT,"3"" Corner Finisher",873876000555,6,4,4,0.9,16,11,11,0.408233133
48TT,"3"" Easy Roll Adjustable Corner Finisher",873876000562,6,4,4,1.05,16,11,11,0.4762719885
48XTT,"3.5"" Easy Roll Adjustable Corner Finisher",873876000579,6,4,5,1.15,16,11,13,0.5216312255
50TT,"7"" Corner Applicator",873876000531,8,8,4,2.5,21,21,11,1.133980925
63TT,"2"" EasyClean Nail Spotter",873876000586,6,4,4,1.3,16,11,11,0.589670081
68TT,"3"" EasyClean Nail Spotter",873876000593,6,4,4,1.8,16,11,11,0.816466266
NS02TT,"2"" EasyClean Nail Spotter",873876002801,6,4,4,1.3,16,11,11,0.6
