"brand","name","sku","weight","length","width","height","supplier_sku","category"
"Columbia Tools","COLUMBIA 10"" FINISHER FAT BOY FLAT BOX","10FBB","5","","","","CTT10FBB","AUTOMATIC TAPING TOOLS"
"Columbia Tools","10"" FAT BOY AUTOMATIC FLAT BOX COLUMBIA","10FBBA","4.5275","14","9","8","CTT10FBBA","AUTOMATIC TAPING TOOLS"
"Columbia Tools","COLUMBIA 10"" FINISHER FLAT BOX","10FFB","3.313","5","13","7","CTT10FFB","AUTOMATIC TAPING TOOLS"
"Columbia Tools","10"" AUTOMATIC FLAT BOX COLUMBIA","10FFBA","4.3","","","","CTT10FFBA","AUTOMATIC TAPING TOOLS"
"Columbia Tools","COLUMBIA 10"" INSIDE TRACK FAT BOY FLAT BOX","10ITFB","3.6515","13","6","8","CTT10ITFB","AUTOMATIC TAPING TOOLS"
"Columbia Tools","COLUMBIA 12"" FINISHER FAT BOY FLAT BOX","12FBB","4.174","13","6","8","CTT12FBB","AUTOMATIC TAPING TOOLS"
"Columbia Tools","12"" FAT BOY AUTOMATIC FLAT BOX COLUMBIA","12FBBA","5.3705","14","8","9","CTT12FBBA","AUTOMATIC TAPING TOOLS"
"Columbia Tools","COLUMBIA 12"" FINISHER FLAT BOX","12FFB","3.814","13","5","7","CTT12FFB","AUTOMATIC TAPING TOOLS"
"Columbia Tools","12"" AUTOMATIC FLAT BOX COLUMBIA","12FFBA","4.9","","","","CTT12FFBA","AUTOMATIC TAPING TOOLS"
"Columbia Tools","COLUMBIA 12"" INSIDE TRACK FAT BOY FLAT BOX","12ITFB","4.105","13","7","6","CTT12ITFB","AUTOMATIC TAPING TOOLS"
"Columbia Tools","COLUMBIA 13"" X 13"" HAWK ","13HS","1.924","13.5","13","2","CTT13HS","TROWEL, FINISHING"
"Columbia Tools","COLUMBIA 14"" FINISHER FLAT BOX","14FFB","4.3685","16","5.25","8","CTT14FFB","AUTOMATIC TAPING TOOLS"
"Columbia Tools","14"" AUTOMATIC FLAT BOX COLUMBIA","14FFBA","5.3","","","","CTT14FFBA","AUTOMATIC TAPING TOOLS"
"Columbia Tools","COLUMBIA 2-1/2"" ANGLE HEAD WITH WHEELS","25AH","0.9125","4","4","4","CTT25AH","AUTOMATIC TAPING TOOLS"
"Columbia Tools","COLUMBIA 2.5"" COMBO FLUSHER","25CSF","0.6415","5","4","3","CTT25CSF","AUTOMATIC TAPING TOOLS"
"Columbia Tools","COLUMBIA 2"" ANGLE HEAD WITH WHEELS","2AH","0.858","5","5","4","CTT2AH","AUTOMATIC TAPING TOOLS"
