source_excel_row,brand,inferred_brand_method,tsw_supplier_sku,manufacturer_part_number,Categaory,prod,countryoforigin,tariffcd,eccnclasscd,Prod Description,Stocking Unit,Selling Unit,Selling_Conv,weight,Length,Width,Height,Pack Qty,BOX Qty,CASE Qty,CTN Qty,PLT Qty,All_Barcodes,UPC_List
4634,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT010249,010249,AUTOMATIC TT PARTS,TTT010249,,,,BUCKET BRUSH TAPETECH,EACH,EACH,1,0.6,,,,,,,,,,
4635,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT03TT,03TT,AUTOMATIC TT PARTS,TTT03TT,US,8205595560,,TAPETECH EZ CLEAN MINI TAPER BAZOOKA,EACH,EACH,1,9.58,55,7,7,,,,,,873876003723,873876003723
4636,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT0500036,0500036,AUTOMATIC TT PARTS,TTT0500036,US,8205595560,,CONTROL VALVE WIPER,PCS,PACK,1,0.0035,0.1,0.9,2.5,6,,,,,,
4637,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050004,050004,AUTOMATIC TT PARTS,TTT050004,US,8205595560,,WIPER RETAINER,EACH,EACH,1,0.015,2,0.6,0.1,,,,,,,
4638,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050017,050017,AUTOMATIC TT PARTS,TTT050017,,,,AUTOMATIC TAPER COLLAR BUSHING,EACH,EACH,1,0.01,,,,,,,,,,
4639,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050019,050019,AUTOMATIC TT PARTS,TTT050019,US,8205595560,,DISENGAGING CAM,EACH,EACH,1,0.015,0.75,1.5,0.25,,,,,,,
4640,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050023F,050023F,AUTOMATIC TT PARTS,TTT050023F,US,8205595560,,SPACER BAR,EACH,EACH,1,0.0025,2.5,0.2,0.2,,,,,,,
4641,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050027,050027,AUTOMATIC TT PARTS,TTT050027,US,8205595560,,NEEDLE HOLDER LOCK,EACH,EACH,1,0.01,0.8,0.1,0.1,,,,,,,
4642,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050030,050030,AUTOMATIC TT PARTS,TTT050030,US,8205595560,,MAGNET MAGNET,EACH,EACH,1,0.025,2,0.25,0.25,,,,,,,
4643,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050031,050031,AUTOMATIC TT PARTS,TTT050031,US,8205595560,,GOOSER BUSHING (REPAIR ONLY),EACH,EACH,1,0.01,1,0.2,0.2,,,,,,,
