"brand","sku","product_name","supplier_cost","product_description_html"
"Columbia Tools","10FBB","Columbia 10"" Fat Boy Flat Box",294.51,"<p>Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5″ Fat Boy to our 12″, they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push, and now they’re also the highest capacity on the market. We are very proud to get this feedback and will make sure that every Fat Boy box we make exceeds your expectations.</p> <p>Features:</p> <ul> <li>Available in 5.5″, 8″, 10″, 12″ sizes</li> <li>Bead wheel protects axel from wear while running box on bead</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","10FBBA","Columbia 10"" Fat Boy Automatic Assist Drywall Flat Box",317.93,"<p>Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamber requiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations.</p> <p>Features:</p> <ul> <li>Available in 8″, 10″, 12″ &amp; 14″ regular and 8″, 10″ &amp; 12″ Fat Boy sizes</li> <li>Engaging axel creates pressure on mud release</li> <li>Over 50% easier to push</li> <li>Great for vertical flats</li> <li>Bead wheel protects axel from wear while running box on bead</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","10FFB","Columbia 10"" Flat Finishing Box",257.82,"<p>Columbia Taping Tools 10"" Hinged Drywall Flat Finisher Box&nbsp;features precision joint compound metering adjustment for top quality finish surfaces on drywall butt joints and flat seams. Integrated door axle and pressure plate system allows smooth, easy operation and quick access for easy cleanup! New, ultra-reliable door plate wiper resists expansion or deterioration, for long-term ease of operation and greater reliability.</p> <p>10"" Hinged Drywall Flat Finisher Box by Columbia Taping Tools has a new improved wiper on the pressure plate, combined with a smooth pivoting hinge axle, making this one of the easiest drywall flat finisher boxes to operate when finishing drywall butt joints and flat seams. 10"" Hinged Flat Box by Columbia Taping Tools is an excellent choice for base or finish coating tape seams.</p> <p>Features:</p> <ul> <li>Hinged pressure plate and quick release tabs for extremely easy cleanup!</li> <li>10"" Columbia Hinged Flat Box is excellent for applying base coat or finish coat on drywall flat seams.</li> <li>""Commercial Grade"" pressure plate wiper resists expansion or corrosion for easy operation and long service life.</li> <li>Aluminum wheels with o-ring tires are long lasting and smooth running.</li> <li>Compatible with all leading brands of flat box handles (except Tapeworm)</li> <li>Can be operated with or without pressure plate springs</li> <li>Smooth operation without door springs is possible due to reduced drag of Integrated Pressure Door Axle.</li> </ul>"
"Columbia Tools","10FFBA","Columbia 10"" Automatic Flat Box",283.0,"<p>Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamber requiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations.</p> <p>Features:</p> <ul> <li>Available in 8″, 10″, 12″ &amp; 14″ regular and 8″, 10″ &amp; 12″ Fat Boy sizes</li> <li>Engaging axel creates pressure on mud release</li> <li>Over 50% easier to push</li> <li>Great for vertical flats</li> <li>Bead wheel protects axel from wear while running box on bead</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","10ITFB","Columbia 10"" Inside Track Fat Boy Flat Box",294.51,"<p>High capacity Inside Track FatBoy box holds 30% more mud compound than standard flat box, for less trips back to the loading pump. Compatible with all leading brands of drywall flat box finisher brake handles, and quick clean feature allows convenient access to clean without removing pressure plate. 10"" box is excellent for applying the base coat of mud to drywall flat seams and is super effective when finishing butt joints.</p> <p>Columbia Inside Track Fat Boy boxes can be run with or without springs, due to combined axle and door plate design. ""Commercial Grade"" rubber wiper resists corrosion or expansion for long, reliable service life. Columbia Fat Boys are extremely popular high capacity, top performance drywall flat finishers, and are a great choice for professional drywallers or contractors who prefer the high volume style.</p> <p>Features:</p> <ul> <li>Columbia 10"" Inside Track Fat Boy box is excellent for first coats on drywall flat seams and butt joints.</li> <li>Wheels mounted inside side plates makes butt joint finishing easier</li> <li>Perfect for the Premier/Blue user looking for a box with better quality and a similar feel</li> <li>Quick, easy cleanup is possible without disassembly- no more disconnected door plates to re-position after cleaning!</li> <li>Increase production and profits due additional 30% capacity for fewer trips to the pump for refilling.</li> <li>Operate smoothly with or without springs, due to new combined pivot axle and door plate design.</li> <li>Fits all leading drywall flat finisher box handles.</li> <li>Top quality anodized finish aluminum avoids corrosion and increases reliable service time.</li> </ul>"
"Columbia Tools","12FBB","Columbia 12"" Fat Boy Flat Box",303.46,"<p>Columbia offers the widest range of high quality, high capacity finishing boxes in the world. From our 5.5″ Fat Boy to our 12″, they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push, and now they’re also the highest capacity on the market. We are very proud to get this feedback and will make sure that every Fat Boy box we make exceeds your expectations.</p> <p>Features:</p> <ul> <li>Available in 5.5″, 8″, 10″, 12″ sizes</li> <li>Bead wheel protects axel from wear while running box on bead</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","12FBBA","Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box",324.25,"<p>Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamber requiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations.</p> <p>Features:</p> <ul> <li>Available in 8″, 10″, 12″ &amp; 14″ regular and 8″, 10″ &amp; 12″ Fat Boy sizes</li> <li>Engaging axel creates pressure on mud release</li> <li>Over 50% easier to push</li> <li>Great for vertical flats</li> <li>Bead wheel protects axel from wear while running box on bead</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","12FFB","Columbia 12"" Flat Finishing Box",262.08,"<p>Columbia Taping Tools 12"" Hinged Drywall Flat Finisher Box&nbsp;features precision joint compound metering adjustment for top quality finish surfaces on drywall butt joints and flat seams. Integrated door axle and pressure plate system allows smooth, easy operation and quick access for easy cleanup! New, ultra-reliable door plate wiper resists expansion or deterioration, for long-term ease of operation and greater reliability.</p> <p>12"" Hinged Drywall Flat Finisher Box by Columbia Taping Tools has a new improved wiper on the pressure plate, combined with a smooth pivoting hinge axle, making this one of the easiest drywall flat finisher boxes to operate when finishing drywall butt joints and flat seams. 12"" Hinged Flat Box by Columbia Taping Tools is an excellent choice for finish coating tape seams.</p> <p>Features:</p> <ul> <li>Hinged pressure plate and quick release tabs for extremely easy cleanup!</li> <li>12"" Columbia Hinged Flat Box is excellent for applying finish coat on drywall flat seams.</li> <li>""Commercial Grade"" pressure plate wiper resists expansion or corrosion for easy operation and long service life.</li> <li>Aluminum wheels with o-ring tires are long lasting and smooth running.</li> <li>Compatible with all leading brands of flat box handles (except Tapeworm)</li> <li>Can be operated with or without pressure plate springs</li> <li>Smooth operation without door springs is possible due to reduced drag of Integrated Pressure Door Axle.</li> </ul>"
"Columbia Tools","12FFBA","Columbia 12"" Automatic Flat Box",287.07,"<p>Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamber requiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations.</p> <p>Features:</p> <ul> <li>Available in 8″, 10″, 12″ &amp; 14″ regular and 8″, 10″ &amp; 12″ Fat Boy sizes</li> <li>Engaging axel creates pressure on mud release</li> <li>Over 50% easier to push</li> <li>Great for vertical flats</li> <li>Bead wheel protects axel from wear while running box on bead</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","12ITFB","Columbia 12"" Inside Track Fat Boy Flat Box",303.46,"<p>Premier/Blue flat box users have long known the advantage of inside wheels for quickly finishing butt joints. The inside wheels allow for quick multi-coating of butts because the wheels do not track into the split finish. The Inside Track boxes are ideal for any contractor looking for an advantage on butt joints, or anyone converting from Premier/Blue style tools.</p> <p>High capacity Inside Track FatBoy box holds 30% more mud compound than standard flat box, for less trips back to the loading pump. Compatible with all leading brands of drywall flat box finisher brake handles, and quick clean feature allows convenient access to clean without removing pressure plate. 12"" box is excellent for applying finish coat of mud to drywall flat seams and is super effective when finishing butt joints.</p> <p>Columbia Inside Track Fat Boy boxes can be run with or without springs, due to combined axle and door plate design. ""Commercial Grade"" rubber wiper resists corrosion or expansion for long, reliable service life. Columbia Fat Boys are extremely popular high capacity, top performance drywall flat finishers, and are a great choice for professional drywallers or contractors who prefer the high volume style.</p> <p>Features:</p> <ul> <li>Columbia 12"" Inside Track Fat Boy box is excellent for finish coats on drywall flat seams and butt joints.</li> <li>Increase production and profits due additional 30% capacity for fewer trips to the pump for refilling.</li> <li>Wheels mounted inside side plates make finishing butt joints quicker and easier</li> <li>Fits all leading drywall flat finisher box handles.</li> <li>Quick, easy cleanup is possible without disassembly- no more disconnected door plates to re-position after cleaning!</li> <li>Operate smoothly with or without springs, due to new combined pivot axle and door plate design.</li> <li>Top quality anodized finish aluminum avoids corrosion and increases reliable service time.</li> <li>5-Year Columbia Taping Tool Manufacturer's Warranty</li> </ul>"
"Columbia Tools","13HS","Columbia Finishing 13"" X 13"" Hawk",27.99,"<h3 data-ogsc="""">Finishing Hawk</h3> <p data-start=""0"" data-end=""251"">Introducing the Columbia Finishing Hawk—crafted for professional drywall finishers who demand precision, comfort, and control. Designed for smooth gliding while working with a trowel or knife, this 13” hawk is built to elevate your finishing workflow.</p> <p data-start=""253"" data-end=""532"">Made from high-quality aluminum with milled grooves for enhanced grip and material control, it features round corners for safety and smoother handling. The ergonomic, replaceable cork handle and rubber cover offer superior comfort and reduced fatigue during long days on the job.</p> <p data-start=""534"" data-end=""632"" data-is-last-node="""" data-is-only-node="""">Proudly 100% made in Poland, the Columbia Finishing Hawk is a trusted tool for flawless finishing.</p> <p data-ogsc=""""><strong>Available Size:</strong></p> <ul> <li> <p data-ogsc="""">13”</p> </li> </ul> <p data-ogsc=""""><strong>Key Features:</strong></p> <ul class=""last-child""> <li> <p data-ogsc="""">Round Corners</p> </li> <li> <p data-ogsc="""">High-Quality Aluminum Plate</p> </li> <li> <p data-ogsc="""">Milled Grooves</p> </li> <li> <p data-ogsc="""">Ergonomic &amp; Replaceable Cork Handle</p> </li> <li> <p data-ogsc="""">Rubber Cover</p> </li> <li> <p data-ogsc="""">100% Made in Poland</p> </li> </ul>"
"Columbia Tools","14FFB","Columbia 14"" Flat Box",264.05,"<p>Columbia offers the widest range of high quality Flat Boxes in the world. From our 5.5” specialty box to our 14” they are all star performers. Well-built and fine-tuned to offer great flat joints for years. We have been being told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Flat Box we make exceeds your expectations.</p> <p>Features:</p> <ul> <li>Available in 5.5″, 7″, 8″, 10″, 12″ and now 14″ sizes</li> <li>Manual sweeping grip for tight spaces when you cannot actuate the box handle (not on the 5.5″ box)</li> <li>Bead wheel protects axel from wear while running box on bead</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
"Columbia Tools","14FFBA","Columbia 14"" Automatic Flat Box",289.14,"<p>Columbia offers the widest range of high quality Finishing Boxes in the world. The Automatic Flat Boxes reduce the need to push the compound on to the wall. By engaging, the box springs put pressure on the compound chamber requiring only a light push to operate the box. Well-built and fine-tuned to offer great flat joints for years. We have been told for years that our boxes are the smoothest finishing and easiest to push. We are very proud to get this feedback and will make sure that every Finishing Box we make exceeds your expectations.</p> <p>Features:</p> <ul> <li>Available in 8″, 10″, 12″ &amp; 14″ regular and 8″, 10″ &amp; 12″ Fat Boy sizes</li> <li>Engaging axel creates pressure on mud release</li> <li>Over 50% easier to push</li> <li>Great for vertical flats</li> <li>Bead wheel protects axel from wear while running box on bead</li> <li>Hand made from U.S. billet aluminum and steel components</li> <li>Machined in our state of the art facility in Canada</li> </ul>"
