sku,brand,name,dtb_regular_price,competitor_price,match_confidence,source,retrieved
4-764,LEVEL5,"LEVEL5 Flat Box (Standard) - 7""",379.52,379.52,exact_match,https://www.level5tools.com/automatic-finishing/flat-boxes/,2026-08-09
4-765,LEVEL5,"LEVEL5 Flat Box (Standard) - 10""",388.87,388.87,exact_match,https://www.level5tools.com/automatic-finishing/flat-boxes/,2026-08-09
4-766,LEVEL5,"LEVEL5 Flat Box (Standard) - 12""",398.64,398.64,exact_match,https://www.level5tools.com/automatic-finishing/flat-boxes/,2026-08-09
4-770,LEVEL5,"LEVEL5 Flat Box (Standard) - 14""",412.67,412.67,exact_match,https://www.level5tools.com/automatic-finishing/flat-boxes/,2026-08-09
4-767,LEVEL5,"LEVEL5 Flat Box (MEGA) - 7""",398.64,398.64,exact_match,https://www.level5tools.com/automatic-finishing/flat-boxes/,2026-08-09
4-768,LEVEL5,"LEVEL5 Flat Box (MEGA) - 10""",407.99,407.99,exact_match,https://www.level5tools.com/automatic-finishing/flat-boxes/,2026-08-09
4-769,LEVEL5,"LEVEL5 Flat Box (MEGA) - 12""",422.02,422.02,exact_match,https://www.level5tools.com/automatic-finishing/flat-boxes/,2026-08-09
4-759,LEVEL5,"LEVEL5 Flat Box Handle (Ext) - 48""-78""",313.22,313.22,exact_match,https://www.level5tools.com/automatic-finishing/flat-boxes/,2026-08-09
4-780,LEVEL5,"LEVEL5 Flat Box Handle (Ext) - 40""-62""",303.87,303.87,exact_match,https://www.level5tools.com/automatic-finishing/flat-boxes/,2026-08-09
4-781,LEVEL5,"LEVEL5 Flat Box Handle (Ext) - 30""-42""",294.52,294.52,exact_match,https://www.level5tools.com/automatic-finishing/flat-boxes/,2026-08-09
4-782,LEVEL5,"LEVEL5 Flat Box Handle (Ext) - 23""-32""",276.24,276.24,exact_match,https://www.level5tools.com/automatic-finishing/flat-boxes/,2026-08-09
4-711,LEVEL5,"LEVEL5 Flat Box Handle (Fixed) - 34""",175.09,175.09,exact_match,https://www.level5tools.com/automatic-finishing/flat-boxes/,2026-08-09
4-712,LEVEL5,"LEVEL5 Flat Box Handle (Fixed) - 42""",184.02,184.02,exact_match,https://www.level5tools.com/automatic-finishing/flat-boxes/,2026-08-09
4-740,LEVEL5,"LEVEL5 Flat Box Handle (Fixed) - 54""",202.72,202.72,exact_match,https://www.level5tools.com/automatic-finishing/flat-boxes/,2026-08-09
4-732,LEVEL5,"LEVEL5 Corner Finisher - 2.5""",397.37,397.37,exact_match,https://www.level5tools.com/automatic-finishing/corner-finishers/,2026-08-09
4-733,LEVEL5,"LEVEL5 Corner Finisher - 3""",406.72,406.72,exact_match,https://www.level5tools.com/automatic-finishing/corner-finishers/,2026-08-09
