Brands,Name,SKU,Description,Images,Match Status,Matched Identifier Field,Production SKU,Production Product Name,Production Type,Production Brand,Production Published,Production Category,Production Product Kind,Production MPN
Columbia,Columbia 4' Extendable One Handle,C1H,"The Columbia One Handle is designed to work with your Columbia products universally. From the Nail Spotters and Angleheads, to the Rollers and the Corner Boxes, the One system allows you to lighten your load and still utilize all the finishing tools you love. Add a Tomalock adaptor and you can even use this handle with Flat Boxes if necessary.  This One handle is all you’ll need. Features: Comes in two fixed lengths (4′ and 18″) and a 3 – 5′ extendible version AHA Adaptor needed to use with Angleheads Handmade from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada Hard anodized tube Comfort grips Thickest, strongest and lightest handle on the market There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTC1HEXT_M.jpg,Exact identifier match,SKU,C1H,Columbia One Handle - Fixed,variation,Columbia Tools,1,,drywall-finishing-tool,C1H
Columbia,Columbia 3'-5' Extendable One Handle,C1HEXT,"The Columbia One Handle is designed to work with your Columbia products universally. From the Nail Spotters and Angleheads, to the Rollers and the Corner Boxes, the One system allows you to lighten your load and still utilize all the finishing tools you love. Add a Tomalock adaptor and you can even use this handle with Flat Boxes if necessary.  This One handle is all you’ll need. Features: Comes in two fixed lengths (4′ and 18″) and a 3 – 5′ extendible version AHA Adaptor needed to use with Angleheads Handmade from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada Hard anodized tube Comfort grips Thickest, strongest and lightest handle on the market There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTC1HEXT_M.jpg,Exact identifier match,SKU,C1HEXT,Columbia One Handle - Extendible 3'-5',variation,Columbia Tools,1,,drywall-finishing-tool,C1HEXT
Columbia,Columbia Inside Corner Roller,CR,Our Inside Corner Roller offers the easiest roll in the industry. With our split wheel design tapes do not drag upon initial contact. The tape immediately imbeds in the corner with all unneeded compound being pushed out from behind. Features: Innovative split wheel design Cast aluminum body Hand made from U.S. aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.,https://s3.amazonaws.com/tswfastcomfiles/product/CTTCR_M.jpg,Exact identifier match,SKU,CR,Columbia Corner Roller,simple,Columbia Tools,1,Drywall Finishing Tools > Columbia Tools > Corner Tools,drywall-finishing-tool,CR
Columbia,Columbia Outside Corner Roller,COBCR,"Offering four different profiles, Columbia Outside Corner Rollers will be sure to make your tape on bead setting job faster. COBCR – Standard = 1.750” Features: Available in Standard, Bullnose, Wide and Micro (European) Hand made from U.S. aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTCOBCR_M.jpg,Exact identifier match,SKU,COBCR,Columbia Outside Corner Roller - Standard,variation,Columbia Tools,1,,drywall-finishing-tool,COBCR
Columbia,Columbia Mud Pump (Top Disconnect),HMP,"What a workhorse this tool is. Built to perform in the toughest environment, our pump smoothly and quickly fills your tools. With a 20 degree angle, the handle acts as a lever and keeps the operator from having to reach as far as other models on the market. Features: 20 degree angled handle makes pumping easier and more comfortable Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTHMP_M.jpg,Exact identifier match,SKU,HMP,Columbia Hot Mud Pump - Standard,variation,Columbia Tools,1,,drywall-finishing-tool,HMP
Columbia,Columbia Box Filler,BF,"Available for both our regular and Tallboy pumps, these aluminum and stainless steel attachments are tough and effective. The Box Filler makes filling your Flat Boxes, Nail Spotters and Corner Boxes a dream. Features: Attaches to either Columbia Mud Pump to fill boxes Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTBF_M.jpg,Exact identifier match,SKU,BF,Columbia Box Filler - Standard,variation,Columbia Tools,1,,drywall-finishing-tool,BF
Columbia,Columbia Matrix Extendable Flat Box Handle,MH,"The Columbia Matrix Flat Box Handle is lightweight and all mechanical. With a 90 degree grip, the Matrix gives you increased control over your box. These handles are durable and extremely long lasting, all while maintaining the comfort and ease of use that you’re used to with the Columbia brand of tools. The Columbia Matrix mechanical flat box handle is made of all billet aluminum, ensuring a long life. Features: Now available in 3 sizes! Fully mechanical brake 90 degree grip allows for better control over the box First Flat Box Handle handmade solely from U.S. billet aluminum Sizes extend: 29″ to 39″ (MHS), 40″ to 60″ (MH), and 56″ to 76″ (MHL) Machined in our state of the art facility in Canada Ergonomic handle grip for easy brake pressure Fits all Flat Box brands There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/CTTMHS_M.jpg,Exact identifier match,SKU,MH,"Columbia Matrix Flat Box Handle - 40""-60""",variation,Columbia Tools,1,,drywall-finishing-tool,MH
Columbia,"Columbia 10"" Flat Finishing Box",10FFB,"Columbia Taping Tools 10"" Hinged Drywall Flat Finisher Box features precision joint compound metering adjustment for top quality finish surfaces on drywall butt joints and flat seams. Integrated door axle and pressure plate system allows smooth, easy operation and quick access for easy cleanup! New, ultra-reliable door plate wiper resists expansion or deterioration, for long-term ease of operation and greater reliability. 10"" Hinged Drywall Flat Finisher Box by Columbia Taping Tools has a new improved wiper on the pressure plate, combined with a smooth pivoting hinge axle, making this one of the easiest drywall flat finisher boxes to operate when finishing drywall butt joints and flat seams. 10"" Hinged Flat Box by Columbia Taping Tools is an excellent choice for base or finish coating tape seams. Features: Hinged pressure plate and quick release tabs for extremely easy cleanup! 10"" Columbia Hinged Flat Box is excellent for applying base coat or finish coat on drywall flat seams. ""Commercial Grade"" pressure plate wiper resists expansion or corrosion for easy operation and long service life. Aluminum wheels with o-ring tires are long lasting and smooth running. Compatible with all leading brands of flat box handles (except Tapeworm) Can be operated with or without pressure plate springs Smooth operation without door springs is possible due to reduced drag of Integrated Pressure Door Axle. There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/10FFB_M.jpg,Exact identifier match,SKU,10FFB,"Columbia Flat Finisher Box - 10""",variation,Columbia Tools,1,,drywall-finishing-tool,10FFB
Columbia,"Columbia 12"" Flat Finishing Box",12FFB,"Columbia Taping Tools 12"" Hinged Drywall Flat Finisher Box features precision joint compound metering adjustment for top quality finish surfaces on drywall butt joints and flat seams. Integrated door axle and pressure plate system allows smooth, easy operation and quick access for easy cleanup! New, ultra-reliable door plate wiper resists expansion or deterioration, for long-term ease of operation and greater reliability. 12"" Hinged Drywall Flat Finisher Box by Columbia Taping Tools has a new improved wiper on the pressure plate, combined with a smooth pivoting hinge axle, making this one of the easiest drywall flat finisher boxes to operate when finishing drywall butt joints and flat seams. 12"" Hinged Flat Box by Columbia Taping Tools is an excellent choice for finish coating tape seams. Features: Hinged pressure plate and quick release tabs for extremely easy cleanup! 12"" Columbia Hinged Flat Box is excellent for applying finish coat on drywall flat seams. ""Commercial Grade"" pressure plate wiper resists expansion or corrosion for easy operation and long service life. Aluminum wheels with o-ring tires are long lasting and smooth running. Compatible with all leading brands of flat box handles (except Tapeworm) Can be operated with or without pressure plate springs Smooth operation without door springs is possible due to reduced drag of Integrated Pressure Door Axle. There are currently no resources for this product.",https://s3.amazonaws.com/tswfastcomfiles/product/12FFB_M.jpg,Exact identifier match,SKU,12FFB,"Columbia Flat Finisher Box - 12""",variation,Columbia Tools,1,,drywall-finishing-tool,12FFB
Columbia,Columbia 2″ Nailspotter,2NS,The Columbia 2″ Nailspotter is a big improvement in screw finishing. It has the option of having wheels or the traditional skid plate. It is light weight and has an easy to adjust thumb screw for swivel tension. By far the best Nailspotter on the market. Features: Available in 2″ and 3″ sizes Hand made from U.S. billet aluminum and steel components Machined in our state of the art facility in Canada There are currently no resources for this product.,https://s3.amazonaws.com/tswfastcomfiles/product/2NS_M.jpg,Exact identifier match,SKU,2NS,"Columbia Nail Spotter - 2""",variation,Columbia Tools,1,,drywall-finishing-tool,2NS
