sku_code,product_title,variant_title,sales_price,cost_price,brand,upc_code,image_url,country_origin_code,weight,weight_unit,product_id,min_reorder_level,quantity_to_reorder,max_reorder_level,width,depth,height,dimensions_unit,tax_rate,estimated_delivery,tags,product_properties,variant_options,tariff_code,hazmat,qty_on_hand,total_qty,total_stock_value
FA280,#10 Belleville Washer,Standard,1.0,0.0,Columbia Tools,"",https://thumbnails.veeqo.com/RF9QSZJvq-PBHjgLyy9pJQg_hTDt-1lmeoPBTwW31h8/rs:fit:1000:1000/aHR0cHM6Ly9kcnl3/YWxsdG9vbGJveC5j/b20vd3AtY29udGVu/dC91cGxvYWRzLzIw/MjYvbWVkaWEvY29s/dW1iaWFfdG9vbHNf/ZmEyODBfMDEud2Vi/cA,US,0.0,oz,716869984,0,0,0,0.0,0.0,0.0,inches,6.875,,"Columbia Tools,Corner Flusher Box,FA280,Flat Finishing Box,Hinged Nailspotter,Repair Parts",{},{},,,100,100,0.0
FA268,#10 Flat Washer,Standard,2.25,0.0,Columbia Tools,"",https://thumbnails.veeqo.com/K3MdZ5MtwuEum4mqVR73lwP7IjN3vbCjySx1q-Y6mC8/rs:fit:1000:1000/aHR0cHM6Ly9kcnl3/YWxsdG9vbGJveC5j/b20vd3AtY29udGVu/dC91cGxvYWRzLzIw/MjYvbWVkaWEvY29s/dW1iaWFfdG9vbHNf/ZmEyNjhfMDEud2Vi/cA,US,0.0,oz,716869992,0,0,0,0.0,0.0,0.0,inches,6.875,,"Columbia Tools,Flat Finishing Box,Repair Parts,180 Grip Box Handle,FA268",{},{},,,100,100,0.0
FA270,"#10 x 3/4"" Fender Washer",Standard,2.5,0.0,Columbia Tools,"",https://thumbnails.veeqo.com/aqtIilKUjoie9TwVrMZk-JxNF0HnvOKtcK4mCufIB6w/rs:fit:1000:1000/aHR0cHM6Ly9kcnl3/YWxsdG9vbGJveC5j/b20vd3AtY29udGVu/dC91cGxvYWRzLzIw/MjYvbWVkaWEvY29s/dW1iaWFfdG9vbHNf/ZmEyNzBfMDEud2Vi/cA,US,0.0,oz,716869999,0,0,0,0.0,0.0,0.0,inches,6.875,,"Columbia Tools,Repair Parts,FA270,Hot Mud Pump",{},{},,,100,100,0.0
FA228,#6 Flat Washer,Standard,1.0,0.0,Columbia Tools,"",https://thumbnails.veeqo.com/rIdiJkPpl0XoXSFWggM3SCzoAub8yXWHqE-95x5s-E4/rs:fit:1000:1000/aHR0cHM6Ly9kcnl3/YWxsdG9vbGJveC5j/b20vd3AtY29udGVu/dC91cGxvYWRzLzIw/MjYvbWVkaWEvY29s/dW1iaWFfdG9vbHNf/ZmEyMjhfMDEud2Vi/cA,US,0.0,oz,716870000,0,0,0,0.0,0.0,0.0,inches,6.875,,"Columbia Tools,Corner Flusher Box,Hinged Nailspotter,Repair Parts,Automatic Taper Head,FA228",{},{},,,100,100,0.0
FA229,#6 Lock Washer,Standard,1.0,0.0,Columbia Tools,"",https://thumbnails.veeqo.com/b5Yad5-qwxC8FV-MCeTfPWt53mDvsNEjFfSxqriC-2s/rs:fit:1000:1000/aHR0cHM6Ly9kcnl3/YWxsdG9vbGJveC5j/b20vd3AtY29udGVu/dC91cGxvYWRzLzIw/MjYvbWVkaWEvY29s/dW1iaWFfdG9vbHNf/ZmEyMjlfMDEud2Vi/cA,US,0.0,oz,716870006,0,0,0,0.0,0.0,0.0,inches,6.875,,"Columbia Tools,Repair Parts,Automatic Taper Head,FA229,Matrix Handle",{},{},,,100,100,0.0
FA230,#6 Star Washer,Standard,1.0,0.0,Columbia Tools,"",https://thumbnails.veeqo.com/s-mfdTbb5BXpWK5NHaSwfqcwj9-CbmgLnmay5cdtC7w/rs:fit:1000:1000/aHR0cHM6Ly9kcnl3/YWxsdG9vbGJveC5j/b20vd3AtY29udGVu/dC91cGxvYWRzLzIw/MjYvbWVkaWEvY29s/dW1iaWFfdG9vbHNf/ZmEyMzBfMDEud2Vi/cA,US,0.0,oz,716870012,0,0,0,0.0,0.0,0.0,inches,6.875,,"Columbia Tools,Repair Parts,Automatic Taper Head,FA230",{},{},,,100,100,0.0
FA253,#8 Flat Washer,Standard,1.85,0.0,Columbia Tools,"",https://thumbnails.veeqo.com/Przt0vIu1CCDSL3j77IVlKe-_Uk_PNJJJa5zPG67mjQ/rs:fit:1000:1000/aHR0cHM6Ly9kcnl3/YWxsdG9vbGJveC5j/b20vd3AtY29udGVu/dC91cGxvYWRzLzIw/MjYvbWVkaWEvY29s/dW1iaWFfdG9vbHNf/ZmEyNTNfMDEud2Vi/cA,US,0.0,oz,716870016,0,0,0,0.0,0.0,0.0,inches,6.875,,"Columbia Tools,Corner Flusher Box,Repair Parts,Automatic Taper Head,FA253",{},{},,,100,100,0.0
FA252,#8 Star Washer,Standard,2.05,0.0,Columbia Tools,"",https://thumbnails.veeqo.com/rbng452hbnIMV49ewUrFYjos9eX9aUzWKJb-i6g7JuA/rs:fit:1000:1000/aHR0cHM6Ly9kcnl3/YWxsdG9vbGJveC5j/b20vd3AtY29udGVu/dC91cGxvYWRzLzIw/MjYvbWVkaWEvY29s/dW1iaWFfdG9vbHNf/ZmEyNTJfMDEud2Vi/cA,US,0.0,oz,716870022,0,0,0,0.0,0.0,0.0,inches,6.875,,"Columbia Tools,Hinged Nailspotter,Repair Parts,FA252,Hydra-Reach Box Handle",{},{},,,100,100,0.0
FA202,"1/16 X 1/2"" Cotter Pin",Standard,1.0,0.0,Columbia Tools,"",https://thumbnails.veeqo.com/Tdx7v9Vcu3KMLMr5z1kOenznblrK8EWo_PlWX6v7DiE/rs:fit:1000:1000/aHR0cHM6Ly9kcnl3/YWxsdG9vbGJveC5j/b20vd3AtY29udGVu/dC91cGxvYWRzLzIw/MjYvbWVkaWEvY29s/dW1iaWFfdG9vbHNf/ZmEyMDJfMDEud2Vi/cA,US,0.0,oz,716870034,0,0,0,0.0,0.0,0.0,inches,6.875,,"Columbia Tools,Repair Parts,180 Grip Box Handle,FA202",{},{},,,100,100,0.0
FA200,"1/16 x 1/4"" Split Pin",Standard,1.0,0.0,Columbia Tools,"",https://thumbnails.veeqo.com/5bQc-2oSkC4R7LB3I7t0V878idldFBhdNzMoJwoJU84/rs:fit:1000:1000/aHR0cHM6Ly9kcnl3/YWxsdG9vbGJveC5j/b20vd3AtY29udGVu/dC91cGxvYWRzLzIw/MjYvbWVkaWEvY29s/dW1iaWFfdG9vbHNf/ZmEyMDBfMDEud2Vi/cA,US,0.0,oz,716870042,0,0,0,0.0,0.0,0.0,inches,6.875,,"Columbia Tools,Repair Parts,Automatic Taper Head,FA200",{},{},,,100,100,0.0
