part_number,sku,description,product_type,msrp,mapp,your_price
449384,4-600P,Taping Finishing Set w/Fixed Hndls-P,Auto Tool Sets,4813.38,3850.7,2695.49
449386,4-601P,Taping Finishing Set w/Ext Hndls-P,Auto Tool Sets,5265.85,4212.68,2948.88
449387,4-602,Finishing Set with Standard Handles,Auto Tool Sets,2994.4,2395.52,1676.86
449390,4-604,"Flat Bx Set 10""/12""w/42""Fixed Hndl",Auto Tool Sets,1675.46,1340.37,938.26
449391,4-605,"Flat Box Set 10""/12""wExt Hndl",Auto Tool Sets,1816.46,1453.17,1017.22
449410,4-617P,Ultimate Pro Taping and Finishing Set W/ Bonus Items,Auto Tool Sets,7370.28,5896.22,4127.35
449429,4-630,Starter Taping Set,Auto Tool Sets,2638.95,2111.16,1477.81
449432,4-650,Starter Set w/Banjo,Banjo Sets,1959.91,1665.92,1166.14
449433,4-660P,Taping Finishing Set + MiniShot,Auto Tool Sets,5468.89,4375.11,3062.58
449447,4-677P,Ultimate Taping Set + MiniShot,Auto Tool Sets,7928.3,6342.64,4439.85
449457,4-701,"7""Corner Applicator (2G)",Applicator Boxes,335.99,285.59,199.91
449461,4-702,"8""Corner Applicator (2G)",Applicator Boxes,346.49,294.52,206.16
449465,4-707,Corner Roller (2G),Inside Corner Rollers,178.99,152.14,106.5
449468,4-711,"34""Flat Box Fixed Hndl",Handles,205.99,175.09,122.56
449470,4-712,"42""Flat Box Fixed Hndl",Handles,216.49,184.02,128.81
449472,4-714,Gooseneck,Gooseneck,118.99,101.14,70.8
449474,4-715,Flat Box Filler,Compound Pumps,79.49,67.57,47.3
449477,4-732,"2.5""Corner Finisher",Corner Finishers,467.49,397.37,278.16
449481,4-733,"3""Corner Finisher",Corner Finishers,478.49,406.72,284.7
449485,4-734,"3.5""Corner Finisher",Corner Finishers,489.49,416.07,291.25
449488,4-735,"4""Corner Finisher",Corner Finishers,500.49,425.42,297.79
449491,4-740,"54""Fixed Flat Box Hndl",Handles,238.49,202.72,141.9
449493,4-741,"Comound Tube 42""",Compound Dispensers,226.49,203.84,142.69
449495,4-743,"3""Direct Corner Flusher w/Wheels",Flushers,142.99,128.69,90.08
449496,4-744,"3.5""Direct Corner Flusher w/Wheels",Flushers,147.49,132.74,92.92
450718,4-746,Outside Corner Bead Mud Applicator,Outside Applicator Head,86.99,73.94,51.76
449500,4-749,CT Box Filler Attachment,Compound Dispensers,31.99,27.19,19.03
449501,4-754,"2""Nail Spotter (2G)",Nail Spotters,318.99,271.14,189.8
449505,4-755,"3""Nail Spotter (2G)",Nail Spotters,340.99,289.84,202.89
449515,4-759,"48""- 78""Flat Box Ext Hndl",Handles,368.49,313.22,219.25
449517,4-760,Automatic Drywall Taper (2G),Auto Tapers,1699.99,1444.99,1011.49
449520,4-764,"7""Standard Flat Box (2G)",Flat Boxes,446.49,379.52,265.66
449523,4-765,"10""Standard Flat Box (2G)",Flat Boxes,457.49,388.87,272.21
449526,4-766,"12""Standard Flat Box (2G)",Flat Boxes,468.99,398.64,279.05
449529,4-767,"7""MEGA Flat Box (2G)",Flat Boxes,468.99,398.64,279.05
449532,4-768,"10""MEGA Flat Box (2G)",Flat Boxes,479.99,407.99,285.59
449535,4-769,"12""MEGA Flat Box (2G)",Flat Boxes,496.49,422.02,295.41
449538,4-770,"14""Standard Flat Box (2G)",Flat Boxes,485.49,412.67,288.87
449541,4-771,Compound Pump w/Filler (2G),Compound Pumps,532.49,452.62,316.83
449544,4-772,Mini-Shot Compound Dispenser,Compound Dispensers,1099.99,934.99,654.49
449546,4-773,"Mini-Shot 18"" Ext Hndl",Handles,86.99,73.94,51.76
449549,4-777,"50""Corner Roller Fixed Hndl",Handles,108.49,92.22,64.55
449553,4-778,"50""Corner Applicator Fixed Hndl",Handles,108.49,92.22,64.55
449557,4-779,"54""Corner Finisher Hndl",Handles,108.49,92.22,64.55
449559,4-780,"40""-62""Flat Box Ext Hndl",Handles,357.49,303.87,212.71
449561,4-781,"30""-42""Flat Box Ext Hndl",Handles,346.49,294.52,206.16
449563,4-782,"23""-32""Flat Box Ext Hndl",Handles,324.99,276.24,193.37
449566,4-792,"36""-52""Corner Roller Ext Hndl",Handles,210.98,179.33,125.53
449568,4-794,"40""-58""Corner Applicator Ext Hndl",Handles,205.98,175.08,122.56
449570,4-795,"39""-57""Corner Finisher Ext Hndl",Handles,219.98,186.98,130.89
449572,4-796,"47""-77""Corner Roller Ext Hndl",Handles,232.98,198.03,138.62
449574,4-798,"47""-77""Corner Applicator Ext Hndl",Handles,227.98,193.78,135.65
449576,4-799,"50""-80""Corner Finisher Ext Hndl",Handles,241.98,205.68,143.98
449609,4-877,Corner Roller Head,Handles,48.49,41.22,28.85
449611,4-878,Corner Applicator Head,Handles,43.49,36.97,25.88
449612,4-879,Corner Finisher Head,Handles,57.49,48.87,34.21
449613,4-880,"39""-57""Ext Hndl-no head",Handles,162.49,138.12,96.68
449615,4-881,"47""-77""Ext Hndl-no head",Handles,184.49,156.82,109.77
449767,5-311,Banjo,Banjos,166.99,150.29,105.2
