Brand,Product Name,SKU,Product Price,Product Description
,1 - (10520) Pump Handle,10520,44.66,1 - (10520) Pump Handle
,"10"" BOX BLADE 10 PACK",250001-10,34.95,"10"" BOX BLADE 10 PACK - 250001-10"
,"10"" Easy Clean Standard Axle Flat Finishing Box",DM-10DMFF,350,"Drywall Master 10” Flat Box The Drywall Master 10” standard flat finisher box features a quick release door latch for easier cleaning. Extra Strong Stainless Tie Rods hold the body together Other Available Box Sizes5”, 7”, 12” and 14”"
,10768 - Back Up Rubber Washer,10768,1.55,10768 - Back Up Rubber Washer
,10924 - FLAT SPRING FOR TAPER,10924,3.96,10924 - FLAT SPRING FOR TAPER
,11 - Center Clip Assembly,CF-11,4.9,Al's Taping Tools is the leading supplier of drywall tools worldwide. Get the job done with our drywall taping tools and drywall finishing tools.
,11 - Front Bracket,FFH-04,54.22,11 - Front Bracket
,12 - Pinch Brake Spring,FFH-12,2.25,12 - Pinch Brake Spring
,"12"" Easy Clean Standard Axle Flat Finishing Box",DM-12DMFF,360,"Drywall Master 12” Flat Box The Drywall Master 12” standard flat finisher box features a quick release door latch for easier cleaning. Extra Strong Stainless Tie Rods hold the body together Other Available Box Sizes5”, 7”, 10” and 14”"
,"12"" Pressure Plate - 330027G",330027G,96.83,"12"" Pressure Plate - 330027G"
,"12"" Stainless Steel Drywall Flat Box Blades - 10 Pack",300001-10,34.95,"12"" Stainless Steel Drywall Flat Box Blades - 10 Pack - 300001-10"
,124 - Retaining Ring,PC684179,1.98,124 - Retaining Ring Retaining Ring For Porter Cable Drywall Sander PC7800 #684179
,140003 - Tube Cap,140003,31.32,140003 - TapeTech Mudrunner Tube Cap TapeTech Mudrunner replacement tube cap. #140003
,140038 - Mudrunner Lockblock,140038,7.03,140038 - Mudrunner Lockblock Lockblock for TapeTech Mudrunner #140038
,140039 - Rotary Latch,140039,94.13,140039 - Rotary Latch Mudrunner Rotary Latch #140039
,147 - Screw,PC882703,2.42,147 - Screw For Porter Cable Drywall Sander PC7800 #882703 Screw For Porter Cable Drywall Sander PC7800 #882703 (7064)
,18 - 4L4-F Nyliner,SHW-010,2.49,18 - 4L4-F Nyliner
,19 - Connection Rod,FFH-13,34.22,19 - Connection Rod
,2 - (10522QC) Pump Head,10522QC,41.36,2 - (10522QC) Pump Head
,2 - Pinch Brake,FFH-03,46.8,2 - Pinch Brake
