sku,taxon_key,position,evidence,review_status
COL-180-GRIP-FLAT-BOX-HANDLE,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
COL-ANGLE-HEAD,automatic_angle_heads_corner_finishers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,approved
COL-AUTOMATIC-FAT-BOY-BOX,flat_boxes,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,approved
COL-AUTOMATIC-FLAT-BOX,flat_boxes,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,approved
COL-AUTOMATIC-TAPER,automatic_tapers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,approved
PTAPER,automatic_tapers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,approved
COL-BILLET-MUD-APPLICATOR,semi_compound_applicators,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,approved
COL-BOX-FILLER,automatic_goosenecks_box_fillers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,approved
COL-CAM-LOCK-TUBE,semi_compound_tubes,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,approved
COL-COMBO-FLUSHER,semi_corner_flushers,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,approved
COL-COMPOUND-TUBE,semi_compound_tubes,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Tubes,approved
COL-DIRECT-FLUSHER,semi_corner_flushers,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,approved
COL-FAT-BOY-FLAT-BOX,flat_boxes,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,approved
COL-FLAT-FINISHER-BOX,flat_boxes,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,approved
COL-GOOSENECK,automatic_goosenecks_box_fillers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,approved
COL-HOT-MUD-PUMP,automatic_loading_pumps,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Loading Pumps,approved
COL-MATRIX-FLAT-BOX-HANDLE,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
COL-NAIL-SPOTTER,automatic_nail_spotters,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Nail Spotters,approved
COL-ONE-HANDLE,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
COL-OUTSIDE-CORNER-ROLLER,automatic_corner_rollers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,approved
COL-PREDATOR-MATRIX-HANDLE,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
COL-PREDATOR-ONE-HANDLE,automatic_handles_extensions,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,approved
COL-STANDARD-FLUSHER,semi_corner_flushers,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Corner Flushers,approved
COL-THROTTLE-CORNER-FLUSHER-BOX,automatic_angle_boxes_corner_applicators,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Angle Boxes & Corner Applicators,approved
TCS,tool_storage_cases,10,approved migration from exact path: Taping & Finishing Tools > Tool Storage & Cases,approved
RC,tool_storage_cases,10,approved migration from exact path: Taping & Finishing Tools > Tool Storage & Cases,approved
COL-UHMW-MUD-APPLICATOR,semi_compound_applicators,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,approved
SACS,semi_tool_sets,10,approved migration from exact path: Taping & Finishing Tools > Semi-Automatic Taping Tools > Tool Sets,approved
CPFP,automatic_loading_pumps,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Loading Pumps,approved
CPFGN,automatic_goosenecks_box_fillers,10,approved migration from exact path: Taping & Finishing Tools > Automatic Taping Tools > Goosenecks & Box Fillers,approved
FA280,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA268,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA270,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA228,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA229,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA230,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA253,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA252,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA202,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA200,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA203,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA3,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
CT109,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA296,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA295,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA379,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
