sku,name,brand,category,mpn,gtin,regular_price,parent_sku,variation_label,product_url,key_specs,competitor_price,match_confidence
3BH,Columbia 180° Grip Flat Box Handle - 3',Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,3BH,,174.00,COL-180-GRIP-FLAT-BOX-HANDLE,3',https://drywalltoolbox.com/product/columbia-180-grip-flat-box-handle-3ft,Brand:Columbia Tools; Part Number:3BH; Model:3BH; Handle Length:3',,
42BH,"Columbia 180° Grip Flat Box Handle - 42""",Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,42BH,,175.00,COL-180-GRIP-FLAT-BOX-HANDLE,"42""",https://drywalltoolbox.com/product/columbia-180-grip-flat-box-handle-42,"Brand:Columbia Tools; Part Number:42BH; Model:42BH; Handle Length:42""",,
4BH,Columbia 180° Grip Flat Box Handle - 4',Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,4BH,,176.00,COL-180-GRIP-FLAT-BOX-HANDLE,4',https://drywalltoolbox.com/product/columbia-180-grip-flat-box-handle-4ft,Brand:Columbia Tools; Part Number:4BH; Model:4BH; Handle Length:4',,
5BH,Columbia 180° Grip Flat Box Handle - 5',Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,5BH,,177.00,COL-180-GRIP-FLAT-BOX-HANDLE,5',https://drywalltoolbox.com/product/columbia-180-grip-flat-box-handle-5ft-5bh,Brand:Columbia Tools; Part Number:5BH; Model:5BH; Handle Length:5',,
6BH,Columbia 180° Grip Flat Box Handle - 6',Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,6BH,,178.00,COL-180-GRIP-FLAT-BOX-HANDLE,6',https://drywalltoolbox.com/product/columbia-180-grip-flat-box-handle-6ft,Brand:Columbia Tools; Part Number:6BH; Model:6BH; Handle Length:6',,
2AH,"Columbia Angle Head - 2""",Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,2AH,,358.00,COL-ANGLE-HEAD,"2""",https://drywalltoolbox.com/product/columbia-angle-head-2-inch,"Brand:Columbia Tools; Part Number:2AH; Model:2AH; Size:2""",,
2.5AH,"Columbia Angle Head - 2.5""",Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,2.5AH,,421.79,COL-ANGLE-HEAD,"2.5""",https://drywalltoolbox.com/product/columbia-angle-head-2-5-inch,"Brand:Columbia Tools; Part Number:2.5AH; Model:2.5AH; Size:2.5""",,
3AH,"Columbia Angle Head - 3""",Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,3AH,,367.00,COL-ANGLE-HEAD,"3""",https://drywalltoolbox.com/product/columbia-angle-head-3-inch,"Brand:Columbia Tools; Part Number:3AH; Model:3AH; Size:3""",,
3.5AH,"Columbia Angle Head - 3.5""",Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,3.5AH,,454.23,COL-ANGLE-HEAD,"3.5""",https://drywalltoolbox.com/product/columbia-angle-head-3-5-inch,"Brand:Columbia Tools; Part Number:3.5AH; Model:3.5AH; Size:3.5""",,
8FBBA,"Columbia Automatic Fat Boy Box - 8""",Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,8FBBA,,431.00,COL-AUTOMATIC-FAT-BOY-BOX,"8""",https://drywalltoolbox.com/product/columbia-8-inch-automatic-fat-boy-box-8fbba,"Brand:Columbia Tools; Part Number:8FBBA; Model:8FBBA; Size:8""",,
