part_key,canonical_name,part_type,brand,occurrence_count,catalog_skus,example_titles
bolt 1/4-20 x 1,bolt 1/4-20 x 1,bolt,Columbia,13,FA323; FA32S,"1/4 - 20 X 1"" Hex Bolt; 1/4 - 20 X 1"" Hex Bolt (FA323); 1/4-20 X 1"" Hex Bolt (FA323)"
bolt 1/4-20 x 1-3/4,bolt 1/4-20 x 1-3/4,bolt,Columbia,5,FA341,1/4 - 20 x 1 - 3/4 Hex Bolt; 1/4-20 x 1-3/4 Hex Bolt (FA341)
bolt 1/4-20 x 1/2,bolt 1/4-20 x 1/2,bolt,Columbia,5,FA296,"1/4 - 20 x 1/2"" Hex Bolt; 1/4-20 X 1/2"" Hex Bolt (FA296)"
bolt 1/4-20 x 2,bolt 1/4-20 x 2,bolt,Columbia,10,FA300; FA301,"1/4 - 20 x 2"" Hex Bolt; 1/4 - 20 x 2 1/4"" Hex Bolt; 1/4-20 X 2"" Hex Bolt (FA300)"
bolt 1/4-20 x 2-1/2,bolt 1/4-20 x 2-1/2,bolt,Columbia,9,,1/4-20 x 2-1/2 Hex Bolt (FA301)
bolt 1/4-20 x 3/4,bolt 1/4-20 x 3/4,bolt,Columbia,5,FA342,1/4 - 20 x 3/4 Hex Bolt; 1/4-20 x 3/4 Hex Bolt (FA342)
bolt 1/4-20 x 3/4 hex head,bolt 1/4-20 x 3/4 hex head,bolt,TapeTech,2,050205,"Hex Head Cup Bolt 1/4-20X3 /4"""
bolt 1/4-20 x 7/8 hex head,bolt 1/4-20 x 7/8 hex head,bolt,TapeTech,3,,"Cup Bolt, 1/4-20 X 7/8 Hex Head"
bolt 10-24 x 1,bolt 10-24 x 1,bolt,Columbia,16,FA279; FA273,"10 - 24 X 1 - 1/4in Hex Bolt; 10 - 24 x 1"" Hex Bolt; 10-24 X 1"" Hex Bolt (FA273); 10-24 X 1-1/4in Hex Bolt (FA279)"
bolt 10-24 x 3/4,bolt 10-24 x 3/4,bolt,Columbia,9,,"10-24 X 3/4"" Hex Bolt (FA275)"
bolt 10-24 x 7/8,bolt 10-24 x 7/8,bolt,Columbia,7,FA275; FA371,"10 - 24 x 7/8"" Hex Bolt; 10 - 24 x 7/8 Hex Bolt; 10-24 x 7/8 Hex Bolt (FA371)"
bolt 3/8-16 x 1,bolt 3/8-16 x 1,bolt,Columbia,5,FA526,3/8 - 16 x 1 Hex Bolt; 3/8-16 x 1 Hex Bolt (FA526)
