universal_part_key,canonical_name,part_type,confidence,brand_count,brands,occurrence_count,catalog_skus,schematic_ids,example_titles,materials_seen,source_files
bolt 1/4-20 x 1-1/2,bolt 1/4-20 x 1-1/2,bolt,medium,2,Columbia; Platinum,7,,columbia-corner-roller-sch; columbia-outside-corner-roller-sch; platinum-outside-corner-roller,1/4-20 x 1-1/2 Hex Bolt (FA299); 1/4-20 x 1-1/2 Hex Bolt,,products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Columbia\Schematics\CornerRollers\InsideCornerRoller\schematic_data.json; frontend\public\brands\Columbia\Schematics\CornerRollers\StandardOutsideCornerRoller\schematic_data.json; frontend\public\brands\Platinum\Schematics\CornerRollers\OutsideCornerRoller\schematic_data.json
nut 1/4-20 hex,nut 1/4-20 hex,nut,high,2,Columbia; TapeTech,15,CT109; FA291,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-body-sch; tapetech-tapetech-lock-block-for-07tt-050212f-sch,"1/4 - 20 Hex Nut; ¼ - 20 Hex Nut (FA291); ¼ -20 Hex Nut (Castle Nut) (CT109); Nut 1/4 - 20 Heavy Hex. S.S 303; 1/4-20 Hex Nut, Slotted",stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Columbia\Schematics\AutomaticTapers\PredatorTaper\Body\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json
nut 1/4-20 nylon lock,nut 1/4-20 nylon lock,nut,high,2,Columbia; Platinum,21,FA347; FA290,columbia-cam-lock-tube-sch; columbia-mud-pump-sch; columbia-outside-corner-roller-sch; columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch; columbia-mud-pump-sch-2; platinum-outside-corner-roller,1/4 - 20 Nyloc Nut; 1/4-20 Nyloc Nut (FA347); 1/4-20 Nyloc Nut (FA290); 1/4-20 Nyloc Nut,nylon,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json; frontend\public\brands\Columbia\Schematics\CompoundTubes\CamLockTube\schematic_data.json; frontend\public\brands\Columbia\Schematics\CornerRollers\StandardOutsideCornerRoller\schematic_data.json; frontend\public\brands\Columbia\Schematics\Pumps\MudPump\schematic_data.json; frontend\public\brands\Columbia\Schematics\Pumps\TallBoyMudPump\schematic_data.json; frontend\public\brands\Platinum\Schematics\CornerRollers\OutsideCornerRoller\schematic_data.json
nut 10-24,nut 10-24,nut,high,3,Asgard; Columbia; TapeTech,9,FA272,asgard-loading-pump-lp01-ad-sch; 1777935057956; 1777935057957; 1777936233843; 1777936233844; 1777936233845; 1777936233846,10 - 24 Wing Nut; 709056 - 10-24 Sst Nut; Wing Nut: 10-24,stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; frontend\public\brands\Asgard\Schematics\Pumps\LP01-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC12\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC07\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC12\schematic_data.json; frontend\public\brands\TapeTech\Schematics\QB06-QSX\schematic_data.json
nut 10-24 nylon lock,nut 10-24 nylon lock,nut,high,2,Asgard; Columbia,8,FA271,asgard-maxxbox-finishing-box-7-ehc07-ad-sch; asgard-10-inch-maxxbox-finishing-box-ehc10-ad-sch; asgard-maxxbox-finishing-box-12-ehc12-ad-sch; asgard-finishing-box-7-ez07-ad-sch; asgard-power-assist-maxxbox-10-pa10-ad-sch; asgard-power-assist-maxxbox-12-pa12-ad-sch,10 - 24 Nyloc Nut; 209017 - 10-24 Nylock Nut,nylon,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EZ07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json
nut 10-32 lock,nut 10-32 lock,nut,medium,2,Level5; Platinum,8,,level5-10-inch-flat-box-4-765; level5-10-inch-mega-flat-box-4-768; level5-12-inch-flat-box-4-766; level5-12-inch-mega-box-4-769; level5-14-inch-flat-box-4-770; level5-7-inch-flat-box-4-764; level5-7-inch-mega-flat-box-4-767; platinum-flat-box,#10-32 Lock Nut,,frontend\public\brands\Level5\Schematics\FinishingBoxes\10-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\10-inch-Mega-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\12-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\12-inch-Mega-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\14-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\7-inch-Flat-Box\schematic_data.json; frontend\public\brands\Level5\Schematics\FinishingBoxes\7-inch-Mega-Flat-Box\schematic_data.json; frontend\public\brands\Platinum\Schematics\FinishingBoxes\FlatBox\schematic_data.json
nut 3/8-16 nylon lock,nut 3/8-16 nylon lock,nut,high,2,Asgard; Columbia,6,FA358,columbia-corner-cobra-sch; asgard-loading-pump-lp01-ad-sch,3/8 - 16 Nyloc Nut; 3/8-16 Nyloc Nut (FA358); 709027 - 3/8-16 Thin Nylock Nut,nylon,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Asgard\Schematics\Pumps\LP01-AD\schematic_data.json; frontend\public\brands\Columbia\Schematics\CornerRollers\CornerCobra\schematic_data.json
nut 4-40 hex,nut 4-40 hex,nut,high,2,Columbia; TapeTech,6,FA206; 059005,tapetech-tapetech-lock-block-for-07tt-050212f-sch,4 - 40 Hex Nut; 4-40 Hex S.S. Nut; Nut 4-40 Hex S.S.,stainless,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json
nut 6-32 brass,nut 6-32 brass,nut,high,2,Asgard; TapeTech,22,209058,tapetech-tapetech-lock-block-for-07tt-050212f-sch; tapetech-90-inside-corner-edger-tapetech-20ttx-sch; tapetech-90-inside-corner-edger-tapetech-25ttx-sch; tapetech-90-inside-corner-edger-tapetech-30ttx-sch; asgard-10-inch-maxxbox-finishing-box-ehc10-ad-sch; asgard-maxxbox-finishing-box-12-ehc12-ad-sch; asgard-finishing-box-7-ez07-ad-sch; asgard-power-assist-maxxbox-7-pa07-ad-sch; asgard-power-assist-maxxbox-10-pa10-ad-sch; asgard-power-assist-maxxbox-12-pa12-ad-sch; 1777935057956; 1777935057957; 1777936233843; 1777936233844; 1777936233845,6-32 Brass Nut; #6-32 Brass Nut; 209058 - 6-32 Brass Nut,brass,products\Production\launch\dtb_parts_catalog.csv; products\Production\launch\dtb_schematics_parts_flattened.csv; products\Production\launch\extra\dtb_parts_manager_import_parts.csv; products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EHC12-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\EZ07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA07-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA10-AD\schematic_data.json; frontend\public\brands\Asgard\Schematics\FinishingBoxes\PA12-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\EHC12\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC07\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC10\schematic_data.json; frontend\public\brands\TapeTech\Schematics\PAHC12\schematic_data.json
o-ring 5/32 id; 9/16 od,o-ring 5/32 id; 9/16 od,o-ring,medium,2,Asgard; TapeTech,3,,tapetech-tapetech-lock-block-for-07tt-050212f-sch; asgard-hammer-automatic-taper-at01-ad-sch,O Ring - 5/32 ID x 9/16 OD x 1/16 Wide,,products\Production\launch\dtb_schematics_parts_flattened.csv; frontend\public\brands\Asgard\Schematics\Tapers\AT01-AD\schematic_data.json; frontend\public\brands\TapeTech\Schematics\07TT\schematic_data.json
