source_file,source_type,brand,schematic_id,sku,source_sku,part_id,title,canonical_key,canonical_name,part_type,thread,length,dimensions,material
products\Production\launch\dtb_parts_catalog.csv,catalog,Columbia,,FA323,,,"1/4 - 20 X 1"" Hex Bolt",bolt 1/4-20 x 1,bolt 1/4-20 x 1,bolt,1/4-20,1,20 x 1,
products\Production\launch\extra\dtb_parts_manager_import_parts.csv,catalog,Columbia,,FA323,,,"1/4 - 20 X 1"" Hex Bolt",bolt 1/4-20 x 1,bolt 1/4-20 x 1,bolt,1/4-20,1,20 x 1,
products\Production\launch\dtb_parts_catalog.csv,catalog,Columbia,,FA32S,,,"1/4 - 20 X 1"" Hex Bolt (FA323)",bolt 1/4-20 x 1,bolt 1/4-20 x 1,bolt,1/4-20,1,20 x 1,
products\Production\launch\extra\dtb_parts_manager_import_parts.csv,catalog,Columbia,,FA32S,,,"1/4 - 20 X 1"" Hex Bolt (FA323)",bolt 1/4-20 x 1,bolt 1/4-20 x 1,bolt,1/4-20,1,20 x 1,
products\Production\launch\dtb_schematics_parts_flattened.csv,schematic_map,Columbia,columbia-cam-lock-tube-sch,,FA323,FA 323,"1/4-20 X 1"" Hex Bolt (FA323)",bolt 1/4-20 x 1,bolt 1/4-20 x 1,bolt,1/4-20,1,20 x 1,
products\Production\launch\dtb_schematics_parts_flattened.csv,schematic_map,Columbia,columbia-compound-tube-sch,,FA323,FA323,"1/4-20 X 1"" Hex Bolt (FA323)",bolt 1/4-20 x 1,bolt 1/4-20 x 1,bolt,1/4-20,1,20 x 1,
products\Production\launch\dtb_schematics_parts_flattened.csv,schematic_map,Columbia,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch,,FA32S,FA32S,"1/4-20 X 1"" Hex Bolt (FA323)",bolt 1/4-20 x 1,bolt 1/4-20 x 1,bolt,1/4-20,1,20 x 1,
products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv,schematic_map,Columbia,columbia-cam-lock-tube-sch,,FA323,FA 323,"1/4-20 X 1"" Hex Bolt (FA323)",bolt 1/4-20 x 1,bolt 1/4-20 x 1,bolt,1/4-20,1,20 x 1,
products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv,schematic_map,Columbia,columbia-compound-tube-sch,,FA323,FA323,"1/4-20 X 1"" Hex Bolt (FA323)",bolt 1/4-20 x 1,bolt 1/4-20 x 1,bolt,1/4-20,1,20 x 1,
products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv,schematic_map,Columbia,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch,,FA32S,FA32S,"1/4-20 X 1"" Hex Bolt (FA323)",bolt 1/4-20 x 1,bolt 1/4-20 x 1,bolt,1/4-20,1,20 x 1,
frontend\public\brands\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json,frontend_schematic_json,Columbia,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch,FA32S,,FA32S,"1/4-20 X 1"" Hex Bolt (FA323)",bolt 1/4-20 x 1,bolt 1/4-20 x 1,bolt,1/4-20,1,20 x 1,
frontend\public\brands\Columbia\Schematics\CompoundTubes\CamLockTube\schematic_data.json,frontend_schematic_json,Columbia,columbia-cam-lock-tube-sch,FA323,,FA 323,"1/4-20 X 1"" Hex Bolt (FA323)",bolt 1/4-20 x 1,bolt 1/4-20 x 1,bolt,1/4-20,1,20 x 1,
frontend\public\brands\Columbia\Schematics\CompoundTubes\CompoundTube\schematic_data.json,frontend_schematic_json,Columbia,columbia-compound-tube-sch,FA323,,FA323,"1/4-20 X 1"" Hex Bolt (FA323)",bolt 1/4-20 x 1,bolt 1/4-20 x 1,bolt,1/4-20,1,20 x 1,
products\Production\launch\dtb_schematics_parts_flattened.csv,schematic_map,Columbia,columbia-corner-roller-sch,,FA299,FA 299,1/4-20 x 1-1/2 Hex Bolt (FA299),bolt 1/4-20 x 1-1/2,bolt 1/4-20 x 1-1/2,bolt,1/4-20,1-1/2,20 x 1,
products\Production\launch\dtb_schematics_parts_flattened.csv,schematic_map,Columbia,columbia-outside-corner-roller-sch,,FA299,FA 299,1/4-20 x 1-1/2 Hex Bolt (FA299),bolt 1/4-20 x 1-1/2,bolt 1/4-20 x 1-1/2,bolt,1/4-20,1-1/2,20 x 1,
products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv,schematic_map,Columbia,columbia-corner-roller-sch,,FA299,FA 299,1/4-20 x 1-1/2 Hex Bolt (FA299),bolt 1/4-20 x 1-1/2,bolt 1/4-20 x 1-1/2,bolt,1/4-20,1-1/2,20 x 1,
products\Production\launch\extra\dtb_parts_manager_import_schematic_map.csv,schematic_map,Columbia,columbia-outside-corner-roller-sch,,FA299,FA 299,1/4-20 x 1-1/2 Hex Bolt (FA299),bolt 1/4-20 x 1-1/2,bolt 1/4-20 x 1-1/2,bolt,1/4-20,1-1/2,20 x 1,
frontend\public\brands\Columbia\Schematics\CornerRollers\InsideCornerRoller\schematic_data.json,frontend_schematic_json,Columbia,columbia-corner-roller-sch,FA299,,FA 299,1/4-20 x 1-1/2 Hex Bolt (FA299),bolt 1/4-20 x 1-1/2,bolt 1/4-20 x 1-1/2,bolt,1/4-20,1-1/2,20 x 1,
