sku,name,brand,dtb_price,map_price,competitor_count,site_count,market_low,market_high,market_mean,market_median,market_spread_pct,dtb_vs_market_median,dtb_vs_market_median_pct,market_position,map_floor_status,lowest_competitor,lowest_competitor_url
10FBB,"Columbia Fat Boy Flat Box - 10""",Columbia Tools,454.23,454.23,2,2,448.99,454.23,451.61,451.61,1.17,2.62,0.58,market_aligned,at_or_above_map,All-Wall,https://www.all-wall.com/Columbia-FatBox-InsideTrack-10
10FBBA,"Columbia Automatic Fat Boy Box - 10""",Columbia Tools,492.08,492.08,2,2,492.08,492.08,492.08,492.08,0.00,0.00,0.00,market_aligned,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-10-automatic-assist-drywall-tool-flat-box/
10FFB,"Columbia Flat Finisher Box - 10""",Columbia Tools,400.16,400.16,1,1,400.16,400.16,400.16,400.16,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-10-drywall-flat-finishing-box/
10FFBA,"Columbia Automatic Flat Box - 10""",Columbia Tools,427.19,427.19,1,1,427.99,427.99,427.99,427.99,0.00,-0.80,-0.19,single_source_only,at_or_above_map,All-Wall,https://www.all-wall.com/Columbia-10in-Automatic-Assist-Flat-Box
12FBB,"Columbia Fat Boy Flat Box - 12""",Columbia Tools,465.05,465.05,2,2,459.99,465.05,462.52,462.52,1.10,2.53,0.55,market_aligned,at_or_above_map,All-Wall,https://www.all-wall.com/Columbia-FatBox-InsideTrack-12
12FBBA,"Columbia Automatic Fat Boy Box - 12""",Columbia Tools,502.90,502.90,1,1,502.90,502.90,502.90,502.90,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-12-fat-boy-automatic-assist-drywall-flat-box/
12FFB,"Columbia Flat Finisher Box - 12""",Columbia Tools,410.97,410.97,1,1,410.97,410.97,410.97,410.97,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-12-drywall-flat-finishing-box/
12FFBA,"Columbia Automatic Flat Box - 12""",Columbia Tools,432.60,432.60,1,1,432.99,432.99,432.99,432.99,0.00,-0.39,-0.09,single_source_only,at_or_above_map,All-Wall,https://www.all-wall.com/Columbia-12in-Automatic-Assist-Flat-Box
14FFB,"Columbia Flat Finisher Box - 14""",Columbia Tools,421.79,421.79,1,1,421.79,421.79,421.79,421.79,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-14-drywall-flat-finishing-box/
14FFBA,"Columbia Automatic Flat Box - 14""",Columbia Tools,438.01,438.01,2,2,438.01,438.99,438.50,438.50,0.22,-0.49,-0.11,market_aligned,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-14-automatic-assist-drywall-flat-box/
2.5AH,"Columbia Angle Head - 2.5""",Columbia Tools,421.79,421.79,1,1,421.79,421.79,421.79,421.79,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-2-5-angle-head-w-wheels/
2.5CSF,"Columbia Combo Flusher - 2.5""",Columbia Tools,167.16,163.31,1,1,163.99,163.99,163.99,163.99,0.00,3.17,1.93,single_source_only,at_or_above_map,All-Wall,https://www.all-wall.com/Columbia-Combo-Flusher-25
2.5DF,"Columbia Direct Flusher - 2.5""",Columbia Tools,127.62,127.62,1,1,127.62,127.62,127.62,127.62,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-taping-tools-2-5-direct-drywall-corner-flusher/
2.5SF,"Columbia Standard Flusher - 2.5""",Columbia Tools,116.80,116.80,1,1,116.80,116.80,116.80,116.80,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-taping-tools-2-5-standard-drywall-corner-flusher-with-wheels/
2AH,"Columbia Angle Head - 2""",Columbia Tools,410.97,410.97,1,1,410.97,410.97,410.97,410.97,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-2-angle-head-w-wheels/
2NS,"Columbia Nail Spotter - 2""",Columbia Tools,324.00,297.41,1,1,297.41,297.41,297.41,297.41,0.00,26.59,8.94,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-taping-tools-2-nail-spotter/
3.5AH,"Columbia Angle Head - 3.5""",Columbia Tools,457.35,454.23,1,1,454.23,454.23,454.23,454.23,0.00,3.12,0.69,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-3-5-angle-head-w-wheels/
3.5CSF,"Columbia Combo Flusher - 3.5""",Columbia Tools,181.99,181.69,0,0,,,,,,,,no_market_data,at_or_above_map,,
3.5DF,"Columbia Direct Flusher - 3.5""",Columbia Tools,146.00,146.00,1,1,146.00,146.00,146.00,146.00,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-taping-tools-3-5-direct-drywall-corner-flusher-with-wheels/
3.5SF,"Columbia Standard Flusher - 3.5""",Columbia Tools,133.02,133.02,1,1,133.02,133.02,133.02,133.02,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-taping-tools-3-5-standard-drywall-corner-flusher-with-wheels/
3AH,"Columbia Angle Head - 3""",Columbia Tools,443.42,443.42,1,1,443.42,443.42,443.42,443.42,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-3-angle-head-w-wheels/
3BH,Columbia 180° Grip Flat Box Handle - 3',Columbia Tools,189.26,189.26,1,1,189.26,189.26,189.26,189.26,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-36-180-grip-featherweight-flat-box-handle/
3CSF,"Columbia Combo Flusher - 3""",Columbia Tools,172.42,168.71,1,1,163.31,163.31,163.31,163.31,0.00,9.11,5.58,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-combo-flusher/
3DF,"Columbia Direct Flusher - 3""",Columbia Tools,133.02,133.02,2,2,130.99,133.02,132.00,132.00,1.55,1.02,0.77,market_aligned,at_or_above_map,All-Wall,https://www.all-wall.com/Columbia-DirectFlusher-3DF
3NS,"Columbia Nail Spotter - 3""",Columbia Tools,324.00,308.23,1,1,308.23,308.23,308.23,308.23,0.00,15.77,5.12,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-taping-tools-3-hinged-nail-spotter/
3SF,"Columbia Standard Flusher - 3""",Columbia Tools,122.21,122.21,3,2,122.21,133.99,126.40,122.99,9.64,-0.78,-0.63,market_aligned,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-taping-tools-3-standard-drywall-corner-flusher-with-wheels/
3WTCSF,"Columbia Combo Flusher - 3"" Widetrack",Columbia Tools,122.51,,0,0,,,,,,,,no_market_data,no_map,,
3WTDF,"Columbia Direct Flusher - 3"" Widetrack",Columbia Tools,140.60,140.60,1,1,115.00,115.00,115.00,115.00,0.00,25.60,22.26,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-taping-tools-3-widetrack-direct-drywall-corner-flusher/
3WTSF,"Columbia Standard Flusher - 3"" Widetrack",Columbia Tools,127.62,127.62,0,0,,,,,,,,no_market_data,at_or_above_map,,
42BH,"Columbia 180° Grip Flat Box Handle - 42""",Columbia Tools,205.49,205.49,1,1,205.49,205.49,205.49,205.49,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-42-180-grip-featherweight-flat-box-handle/
4BH,Columbia 180° Grip Flat Box Handle - 4',Columbia Tools,210.89,210.89,1,1,210.89,210.89,210.89,210.89,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-48-180-grip-featherweight-flat-box-handle/
4DF,"Columbia Direct Flusher - 4""",Columbia Tools,151.41,151.41,0,0,,,,,,,,no_market_data,at_or_above_map,,
4SF,"Columbia Standard Flusher - 4""",Columbia Tools,140.60,140.60,1,1,140.60,140.60,140.60,140.60,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-taping-tools-4-standard-drywall-corner-flusher-with-wheels/
5.5FBB,"Columbia Fat Boy Flat Box - 5.5""",Columbia Tools,189.95,,0,0,,,,,,,,no_market_data,no_map,,
5.5FFB,"Columbia Flat Finisher Box - 5.5""",Columbia Tools,367.71,367.71,1,1,367.71,367.71,367.71,367.71,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-5-5-drywall-flat-finisher-box/
5BH,Columbia 180° Grip Flat Box Handle - 5',Columbia Tools,221.71,221.71,1,1,221.71,221.71,221.71,221.71,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-60-180-grip-featherweight-flat-box-handle/
