dtb_sku,dtb_name,dtb_brand,dtb_price,dtb_map_price,competitor_site,competitor_title,competitor_brand,competitor_sku,competitor_mpn,competitor_gtin,competitor_url,competitor_price,competitor_regular_price,competitor_sale_price,currency,availability,variant,match_method,match_score,price_delta,price_delta_pct
10FBB,"Columbia Fat Boy Flat Box - 10""",Columbia Tools,454.23,454.23,Al's Taping Tools,"Columbia 10"" Fat Boy Drywall Flat Finishing Box",Columbia Taping Tools,10FBB,,,https://www.alstapingtools.com/columbia-10-fat-boy-drywall-flat-finishing-box/,454.23,454.23,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
12FBB,"Columbia Fat Boy Flat Box - 12""",Columbia Tools,465.05,465.05,Al's Taping Tools,"Columbia 12"" Fat Boy Drywall Flat Finishing Box",Columbia Taping Tools,12FBB,,,https://www.alstapingtools.com/columbia-12-fat-boy-drywall-flat-finishing-box/,465.05,465.05,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
12FBBA,"Columbia Automatic Fat Boy Box - 12""",Columbia Tools,502.90,502.90,Al's Taping Tools,"Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box",Columbia Taping Tools,12FBBA,,,https://www.alstapingtools.com/columbia-12-fat-boy-automatic-assist-drywall-flat-box/,502.90,502.90,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
2.5AH,"Columbia Angle Head - 2.5""",Columbia Tools,421.79,421.79,Al's Taping Tools,"Columbia 2.5"" Angle Head w/ Wheels",Columbia Taping Tools,2.5AH,,,https://www.alstapingtools.com/columbia-2-5-angle-head-w-wheels/,421.79,421.79,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
2.5DF,"Columbia Direct Flusher - 2.5""",Columbia Tools,127.62,127.62,Al's Taping Tools,"Columbia Taping Tools 2.5"" Direct Drywall Corner Flusher",Columbia Taping Tools,2.5DF,,,https://www.alstapingtools.com/columbia-taping-tools-2-5-direct-drywall-corner-flusher/,127.62,127.62,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
2AH,"Columbia Angle Head - 2""",Columbia Tools,410.97,410.97,Al's Taping Tools,"Columbia 2"" Angle Head w/ Wheels",Columbia Taping Tools,2AH,,,https://www.alstapingtools.com/columbia-2-angle-head-w-wheels/,410.97,410.97,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
3.5AH,"Columbia Angle Head - 3.5""",Columbia Tools,457.35,454.23,Al's Taping Tools,"Columbia 3.5"" Angle Head w/ Wheels",Columbia Taping Tools,3.5AH,,,https://www.alstapingtools.com/columbia-3-5-angle-head-w-wheels/,454.23,454.23,,USD,,,competitor_sku_to_mpn_exact,98.0,-3.12,-0.68
3.5DF,"Columbia Direct Flusher - 3.5""",Columbia Tools,146.00,146.00,Al's Taping Tools,"Columbia Taping Tools 3.5"" Direct Drywall Corner Flusher with Wheels",Columbia Taping Tools,3.5DF,,,https://www.alstapingtools.com/columbia-taping-tools-3-5-direct-drywall-corner-flusher-with-wheels/,146.00,146.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
3AH,"Columbia Angle Head - 3""",Columbia Tools,443.42,443.42,Al's Taping Tools,"Columbia 3"" Angle Head w/ Wheels",Columbia Taping Tools,3AH,,,https://www.alstapingtools.com/columbia-3-angle-head-w-wheels/,443.42,443.42,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
3BH,Columbia 180° Grip Flat Box Handle - 3',Columbia Tools,189.26,189.26,Al's Taping Tools,"Columbia 36"" 180-Grip Featherweight Flat Box Handle",Columbia Taping Tools,3BH,,,https://www.alstapingtools.com/columbia-36-180-grip-featherweight-flat-box-handle/,189.26,189.26,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
