sku,name,type,brand,categories,regular_price,sale_price,effective_price,cogs,map_price,gross_profit,current_gross_margin_pct,regular_gross_margin_pct,current_markup_pct,map_gross_margin_pct,comparison_target_margin_pct,target_margin_price,allowable_cost_at_current_price,cost_gap_vs_target,map_violation
3BH,Columbia 180° Grip Flat Box Handle - 3',variation,Columbia Tools,(Uncategorized),189.26,,189.26,127.21,189.26,62.05,32.79,32.79,48.78,32.79,30.00,181.73,132.48,-5.27,0
42BH,"Columbia 180° Grip Flat Box Handle - 42""",variation,Columbia Tools,(Uncategorized),205.49,,205.49,128.92,205.49,76.57,37.26,37.26,59.39,37.26,30.00,184.18,143.84,-14.92,0
4BH,Columbia 180° Grip Flat Box Handle - 4',variation,Columbia Tools,(Uncategorized),210.89,,210.89,130.59,210.89,80.30,38.08,38.08,61.49,38.08,30.00,186.56,147.62,-17.03,0
5BH,Columbia 180° Grip Flat Box Handle - 5',variation,Columbia Tools,(Uncategorized),221.71,,221.71,132.32,221.71,89.39,40.32,40.32,67.56,40.32,30.00,189.03,155.20,-22.88,0
6BH,Columbia 180° Grip Flat Box Handle - 6',variation,Columbia Tools,(Uncategorized),232.52,,232.52,134.04,232.52,98.48,42.35,42.35,73.47,42.35,30.00,191.49,162.76,-28.72,0
2AH,"Columbia Angle Head - 2""",variation,Columbia Tools,(Uncategorized),410.97,,410.97,268.93,410.97,142.04,34.56,34.56,52.82,34.56,30.00,384.19,287.68,-18.75,0
2.5AH,"Columbia Angle Head - 2.5""",variation,Columbia Tools,(Uncategorized),421.79,,421.79,277.45,421.79,144.34,34.22,34.22,52.02,34.22,30.00,396.36,295.25,-17.80,0
3AH,"Columbia Angle Head - 3""",variation,Columbia Tools,(Uncategorized),443.42,,443.42,285.99,443.42,157.43,35.50,35.50,55.05,35.50,30.00,408.56,310.39,-24.40,0
3.5AH,"Columbia Angle Head - 3.5""",variation,Columbia Tools,(Uncategorized),457.35,,457.35,320.14,454.23,137.21,30.00,30.00,42.86,29.52,30.00,457.35,320.14,0.00,0
8FBBA,"Columbia Automatic Fat Boy Box - 8""",variation,Columbia Tools,(Uncategorized),481.27,,481.27,313.52,481.27,167.75,34.86,34.86,53.51,34.86,30.00,447.89,336.89,-23.37,0
10FBBA,"Columbia Automatic Fat Boy Box - 10""",variation,Columbia Tools,(Uncategorized),492.08,,492.08,317.93,492.08,174.15,35.39,35.39,54.78,35.39,30.00,454.19,344.46,-26.53,0
12FBBA,"Columbia Automatic Fat Boy Box - 12""",variation,Columbia Tools,(Uncategorized),502.90,,502.90,324.25,502.90,178.65,35.52,35.52,55.10,35.52,30.00,463.22,352.03,-27.78,0
8FFBA,"Columbia Automatic Flat Box - 8""",variation,Columbia Tools,(Uncategorized),421.79,,421.79,281.39,421.79,140.40,33.29,33.29,49.90,33.29,30.00,401.99,295.25,-13.86,0
10FFBA,"Columbia Automatic Flat Box - 10""",variation,Columbia Tools,(Uncategorized),427.19,,427.19,283.00,427.19,144.19,33.75,33.75,50.95,33.75,30.00,404.29,299.03,-16.03,0
12FFBA,"Columbia Automatic Flat Box - 12""",variation,Columbia Tools,(Uncategorized),432.60,,432.60,287.07,432.60,145.53,33.64,33.64,50.69,33.64,30.00,410.10,302.82,-15.75,0
14FFBA,"Columbia Automatic Flat Box - 14""",variation,Columbia Tools,(Uncategorized),438.01,,438.01,289.14,438.01,148.87,33.99,33.99,51.49,33.99,30.00,413.06,306.61,-17.47,0
STAPER,Columbia Automatic Taper - Sawed Off 39 in.,variation,Columbia Tools,(Uncategorized),1683.00,,1683.00,1166.49,1649.29,516.51,30.69,30.69,44.28,29.27,30.00,1666.42,1178.10,-11.61,0
TAPER,Columbia Automatic Taper - Standard 53 in.,variation,Columbia Tools,(Uncategorized),1683.00,,1683.00,1166.49,1649.29,516.51,30.69,30.69,44.28,29.27,30.00,1666.42,1178.10,-11.61,0
PTAPER,Columbia One Predator Taper,simple,Columbia Tools,Drywall Finishing Tools > Automatic Taping Tools > Automatic Tapers,1838.55,,1838.55,1458.91,,379.64,20.65,20.65,26.02,,30.00,2084.16,1286.98,171.93,0
ICA2-1,"Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""",variation,Columbia Tools,(Uncategorized),68.13,,68.13,39.41,68.13,28.72,42.15,42.15,72.87,42.15,30.00,56.30,47.69,-8.28,0
ICA4-1,"Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1""",variation,Columbia Tools,(Uncategorized),85.44,,85.44,50.51,85.44,34.93,40.88,40.88,69.15,40.88,30.00,72.16,59.81,-9.30,0
ICATW,Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,variation,Columbia Tools,(Uncategorized),116.80,,116.80,66.51,116.80,50.29,43.06,43.06,75.61,43.06,30.00,95.02,81.76,-15.25,0
CEXT90,Columbia Billet Mud Applicator - External 90,variation,Columbia Tools,(Uncategorized),127.62,,127.62,78.82,127.62,48.80,38.24,38.24,61.91,38.24,30.00,112.60,89.33,-10.51,0
CFLT,Columbia Billet Mud Applicator - Flat,variation,Columbia Tools,(Uncategorized),91.93,,91.93,48.04,91.93,43.89,47.74,47.74,91.36,47.74,30.00,68.63,64.35,-16.31,0
BF,Columbia Box Filler - Standard,variation,Columbia Tools,(Uncategorized),75.71,,75.71,41.82,75.71,33.89,44.76,44.76,81.04,44.76,30.00,59.75,53.00,-11.18,0
TBBF,Columbia Box Filler - Tall Boy,variation,Columbia Tools,(Uncategorized),75.71,,75.71,41.82,75.71,33.89,44.76,44.76,81.04,44.76,30.00,59.75,53.00,-11.18,0
CLT24,"Columbia Cam Lock Tube - 24""",variation,Columbia Tools,(Uncategorized),270.95,,270.95,189.66,257.40,81.29,30.00,30.00,42.86,26.32,30.00,270.95,189.66,0.00,0
CLT32,"Columbia Cam Lock Tube - 32""",variation,Columbia Tools,(Uncategorized),279.72,,279.72,195.80,268.21,83.92,30.00,30.00,42.86,27.00,30.00,279.72,195.80,0.00,0
CLT42,"Columbia Cam Lock Tube - 42""",variation,Columbia Tools,(Uncategorized),297.33,,297.33,208.13,280.11,89.20,30.00,30.00,42.86,25.70,30.00,297.33,208.13,0.00,0
CLT55,"Columbia Cam Lock Tube - 55""",variation,Columbia Tools,(Uncategorized),307.89,,307.89,215.52,278.10,92.37,30.00,30.00,42.86,22.50,30.00,307.89,215.52,0.00,0
2.5CSF,"Columbia Combo Flusher - 2.5""",variation,Columbia Tools,(Uncategorized),167.16,,167.16,117.01,163.31,50.15,30.00,30.00,42.86,28.35,30.00,167.16,117.01,0.00,0
