match_status,match_basis,confidence,supplier_brand,supplier_sku,supplier_source_sku,supplier_name,supplier_category,supplier_weight,supplier_length,supplier_width,supplier_height,catalog_type,catalog_sku,catalog_name,catalog_brand,catalog_categories,catalog_parent,catalog_weight,catalog_length,catalog_width,catalog_height,matched_identifier,candidate_count,name_score,name_score_gap,numeric_tokens_match,category_compatible,dimension_score,review_notes
unmatched,,none,Columbia Tools,13HS,CTT13HS,"COLUMBIA 13"" X 13"" HAWK","TROWEL, FINISHING",1.924,13.5,13,2,,,,,,,,,,,,180,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,2KCMR,CTT2KCMR,"CTT 1.5"" MUD ROLLER W/ 2K QUICK CONNECT FRAME",ROLLER FRAMES/COVERS,0.4305,12,5,2,,,,,,,,,,,,209,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,2KMR12,CTT2KMR12,"COLUMBIA 12""X18MM ROLLER W/ QUICK CONNECT FRAME",ROLLER FRAMES/COVERS,1.098,14,12,4,,,,,,,,,,,,189,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,2KMR4,CTT2KMR4,"CTT 4"" MUD ROLLER W/ 2K QUICK CONNECT FRAME",ROLLER FRAMES/COVERS,0.575,12,5,4,,,,,,,,,,,,222,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,2KMR9,CTT2KMR9,"CTT 9"" MUD ROLLER W/ 2K QUICK CONNECT FRAME",ROLLER FRAMES/COVERS,0.911,13,10,4,,,,,,,,,,,,209,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,3BBH,CTT3BBH,"36"" 180-GRIP BENT FLAT BOX HANDLE COLUMBIA",AUTOMATIC TAPING TOOLS,2,,,,,,,,,,,,,,,234,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,42BBH,CTT42BBH,"42"" 180-GRIP BENT FLAT BOX HANDLE COLUMBIA",AUTOMATIC TAPING TOOLS,4,,,,,,,,,,,,,,,234,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,5BBH,CTT5BBH,"60"" 180-GRIP BENT FLAT BOX HANDLE COLUMBIA",AUTOMATIC TAPING TOOLS,8,,,,,,,,,,,,,,,234,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,6BBH,CTT6BBH,"72"" 180-GRIP BENT FLAT BOX HANDLE COLUMBIA",AUTOMATIC TAPING TOOLS,10,,,,,,,,,,,,,,,234,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,AH21,CTTAH21,O-RING FOR ANGLE HEAD WHEELS COLUMBIA,AUTOMATIC TT PARTS,0.0035,0.1,0.5,0.5,,,,,,,,,,,,33,,,,,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,AH225R,CTTAH225R,"2.5"" WING ASSEMBLY RIGHT COLUMBIA",AUTOMATIC TT PARTS,0,,,,,,,,,,,,,,,185,,,,,,No credible brand-compatible identifier or name candidate
