match_status,match_basis,confidence,supplier_brand,supplier_sku,supplier_name,supplier_cost,catalog_type,catalog_sku,catalog_name,catalog_brand,matched_identifier,candidate_count,name_score,review_notes
approved_manual_match,explicit reviewed mapping,confirmed,TapeTech,90TT,TapeTech Filler Adapter,54.28,simple,90T,TapeTech Filler Adapter,TapeTech,90T,1,1.0000,User-approved exact product-name match; supplier and catalog identifiers intentionally differ.
matched_identifier,SKU,confirmed,Columbia Tools,10FBB,"Columbia 10"" Fat Boy Flat Box",294.51,variation,10FBB,"Columbia Fat Boy Flat Box - 10""",Columbia Tools,10FBB,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,10FBBA,"Columbia 10"" Fat Boy Automatic Assist Drywall Flat Box",317.93,variation,10FBBA,"Columbia Automatic Fat Boy Box - 10""",Columbia Tools,10FBBA,1,0.7059,
matched_identifier,SKU,confirmed,Columbia Tools,10FFB,"Columbia 10"" Flat Finishing Box",257.82,variation,10FFB,"Columbia Flat Finisher Box - 10""",Columbia Tools,10FFB,1,0.8780,
matched_identifier,SKU,confirmed,Columbia Tools,10FFBA,"Columbia 10"" Automatic Flat Box",283.00,variation,10FFBA,"Columbia Automatic Flat Box - 10""",Columbia Tools,10FFBA,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,12FBB,"Columbia 12"" Fat Boy Flat Box",303.46,variation,12FBB,"Columbia Fat Boy Flat Box - 12""",Columbia Tools,12FBB,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,12FBBA,"Columbia 12"" Fat Boy Automatic Assist Drywall Flat Box",324.25,variation,12FBBA,"Columbia Automatic Fat Boy Box - 12""",Columbia Tools,12FBBA,1,0.7059,
matched_identifier,SKU,confirmed,Columbia Tools,12FFB,"Columbia 12"" Flat Finishing Box",262.08,variation,12FFB,"Columbia Flat Finisher Box - 12""",Columbia Tools,12FFB,1,0.8780,
matched_identifier,SKU,confirmed,Columbia Tools,12FFBA,"Columbia 12"" Automatic Flat Box",287.07,variation,12FFBA,"Columbia Automatic Flat Box - 12""",Columbia Tools,12FFBA,1,1.0000,
matched_identifier,SKU,confirmed,Columbia Tools,14FFB,"Columbia 14"" Flat Box",264.05,variation,14FFB,"Columbia Flat Finisher Box - 14""",Columbia Tools,14FFB,1,0.7097,
