match_status,match_basis,confidence,supplier_brand,supplier_sku,supplier_name,supplier_cost,catalog_type,catalog_sku,catalog_name,catalog_brand,matched_identifier,candidate_count,name_score,review_notes
unmatched,,none,Columbia Tools,3BBH,"Columbia 36"" 180-Grip Bent Flat Box Handle",153.00,,,,,,97,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,42BBH,"Columbia 42"" 180-Grip Bent Flat Box Handle",154.70,,,,,,101,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,4BBH,"Columbia 48"" 180-Grip Bent Flat Box Handle",156.41,,,,,,97,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,5BBH,"Columbia 60"" 180-Grip Bent Flat Box Handle",158.12,,,,,,97,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,6BBH,"Columbia 72"" 180-Grip Bent Flat Box Handle",159.84,,,,,,97,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,BH07,Columbia Box Handle Cam Follower,8.05,,,,,,83,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CF4L,Columbia Ball Spring Long Flusher,4.24,,,,,,50,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CFB1A,Columbia Hinge Seal,2.32,,,,,,12,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CFB28,"Columbia 8"" Roll Face",27.15,,,,,,52,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CFB8A,Columbia ONE Angle Box Door Adaptor,27.15,,,,,,84,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CLTHA,Columbia Tomalock,57.33,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT106,Columbia Taper Bearing Shaft,6.68,,,,,,22,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT11,Columbia Taper Mud Guard Plate,5.43,,,,,,44,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT113,Columbia Taper Lock Block,1.93,,,,,,14,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT115A,Columbia Taper Gasket New Style End Ring,1.16,,,,,,34,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT118A,Columbia Retaining Quick Release Spring Clip,3.49,,,,,,46,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT12,Columbia Taper Tape Advance Release Bracket,4.27,,,,,,26,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT122A,Columbia Taper Strap,11.64,,,,,,16,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT123,Columbia Retaining Quick Release Spring Shaft,6.21,,,,,,43,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT128A,Columbia Taper Shaft Guide Roller Bushing,15.51,,,,,,53,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT129B,Columbia Taper Plastic Roller Sleeve,3.09,,,,,,27,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT17,Columbia Taper Separation Plate,10.85,,,,,,20,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT22,Columbia Taper Brass Bracket,12.41,,,,,,19,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT34R,Columbia Removable Cover Plate Attachment Block,3.39,,,,,,14,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT37,Columbia Taper Tube Holding Bracket Upper,15.51,,,,,,31,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT38,Columbia Taper Tube Holding Bracket Lower,13.19,,,,,,32,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT41,Columbia Taper Cutter Block,0.97,,,,,,8,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT48,Columbia Taper Crimping Arm Left,34.88,,,,,,16,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT49,Columbia Taper Crimping Arm Right,34.88,,,,,,15,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT51,Columbia Taper Spacer Bar,2.32,,,,,,8,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT6,Columbia Taper Side Plate Right,18.63,,,,,,25,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT7,Columbia Taper Side Plate Support Left,35.29,,,,,,25,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT8,Columbia Taper Side Plate Support Right,35.29,,,,,,25,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT93,Columbia Taper Mud Shut Off Lever Arm,31.03,,,,,,34,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT94,Columbia Taper Mud Shut Off Upper Plate,2.72,,,,,,44,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CT95,Columbia Taper Control Valve,4.67,,,,,,11,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CTA107,Columbia Piston Assembly for Taper,39.15,,,,,,23,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CTA41,Columbia Taper Cutter Block Assembly,70.18,,,,,,11,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CTA59,Columbia Taper Magnet,11.64,,,,,,7,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CTA84,Columbia Cable Pulley Guide,7.76,,,,,,8,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,CTA99,Columbia Removable Cover Plate Pin,8.21,,,,,,31,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA201,"Columbia 1/16"" X 3/8"" Split Pin",0.32,,,,,,136,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA222,"Columbia 5-40 X 3/8"" Bind Head Screw",0.32,,,,,,146,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA266,"Columbia 8-32 X 1"" Flat Head Screw",0.13,,,,,,149,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA278,Columbia #8 Belleville Washer,0.33,,,,,,68,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA279,Columbia 10-24 X 1-1/4in Hex Bolt,0.80,,,,,,96,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA281,Columbia 10-32 X Nyloc Jam Nut-2 per pack,0.89,,,,,,112,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA285,"Columbia 1/4"" Plastic Washer",0.77,,,,,,86,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA289,"Columbia Split Pin 1/4"" X 2""",1.21,,,,,,115,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,FA314,Columbia 10-24 X 1-1/2 Pan Slot,0.31,,,,,,110,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,MH9,CTTMH9,10.31,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,PHA,Columbia Aluminum Coarse Thread Adapter,6.98,,,,,,1,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,SB212,"Columbia Replacement 12"" Blade for Tomahawk",19.09,,,,,,31,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,SB214,"Columbia Replacement 14"" Blade for Tomahawk",23.35,,,,,,27,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,SB218,"Columbia Replacement 18"" Blade for Tomahawk",27.59,,,,,,26,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,SB224,"Columbia Replacement 24"" Blade for Tomahawk",31.83,,,,,,33,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,SB232,"Columbia Replacement 32"" Blade for Tomahawk",36.07,,,,,,55,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,SB27,"Columbia Replacement 7"" Blade for Tomahawk",10.61,,,,,,34,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,SBSET,Columbia Sabre Set,239.99,,,,,,12,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,TBPTAPER,Columbia Tall Boy Predator Automatic Taper,1561.91,,,,,,36,,No credible brand-compatible identifier or name candidate
unmatched,,none,Columbia Tools,TL38,Columbia Twist Lock Extendable Handle 3' - 8',56.68,,,,,,130,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,1,Dura-Stilts Leg Band w/ Pads,7.17,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,10,Dura-Stilts Adjustable Heel Piece,5.58,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,1000,Dura-Stilt Strap-on Adapters - Exterior,32.63,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,11,Dura Stilt Replacement Nylon Leg Bearing,0.40,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,1127,Dura-Stilts Bolt Nut Washer & Leg Bearing Dura-Pack,16.88,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,12,"Dura Stilt Replacement 1/4"" Flat Washer",0.18,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,13,"Dura Stilt Replacement 1/4"" - 20 Locknut",0.34,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,14,"Dura Stilt Replacement 1/4"" - 20 Hexnut",0.18,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,1422US,"Dura-Stilts Dura-III Stilts Uni-Strut - 14""- 22""",281.25,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,15,Dura Stilt Spring Adjuster,2.67,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,16,Dura-Stilts Replacement Spring w/ Bearings,2.60,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,161,Dura-Stilt 2440 Upper Coil Spring w/ Green Bearings,2.62,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,1644,Dura-Stilts Coil Spring Part Pack,9.15,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,18,Dura Stilt Replacement Nylon Spring Bearing,0.45,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,1830US,"Dura-Stilts Dura-III Stilts Uni-Strut - 18""- 30""",298.75,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,19,"Dura Stilt Replacement #8 Self Threading Screw - 3/8""",0.26,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,2,Dura-Stilts Leg Band Spacer,1.58,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,20,Spring Divider #20,2.65,,,,,,0,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,201,Dura-Stilts Leg Band w/ Pads & Screws Part Pack,15.15,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,204,Dura-Stilts Leg Strap and Buckle,13.53,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,21,Dura Stilt Replacement Large Leg Band Support Washer,0.37,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,210,Dura-Stilts Adjustable Heel Bracket w/ Screws Part Pack,11.67,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,22,Dura Stilt Replacement 1/4x7 1/8 Stud Bolt Threaded Both Ends,2.34,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,23A,"Dura Stilt 1"" O.D. Lower Strut Tube for DS1422 Stilts",8.73,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,23B,Dura-Stilts Lower Strut Tube - 1 in O.D.,9.81,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,23C,Dura-Stilts Lower Strut Tube - 1 in O.D.,10.01,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,24,"Dura Stilt Replacement 1/4-20x1/2"" Mach Bolt",0.56,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,2440US,"Dura-Stilts Dura-III Stilts Uni-Strut - 24""- 40""",315.00,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,245,Dura-Stilts Complete Spring Assembly Part Pack,28.13,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,26A,Dura-Stilts Replacement Floor Plate,13.30,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,26B,Dura-Stilt Floor Plate w/ Soles,22.25,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,27,"Dura Stilt Replacement 1/4-20""x3 1/8 Cap Screw",0.80,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,278,Dura-Stilts Arch Strap & Toe Strap Buckle Part Pack,27.36,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,28,Dura Stilt Replacement 1/4-20x1 1/2 Cap Screw With Square Nut,0.59,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,29,Dura-Stilts Tube Clamp,2.43,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,3,2 in Dura-Stilts Flat Head Machine Screw w/ Nut,0.41,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,30,Dura-Stilts Large Tube Clamp,2.76,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,31,Dura-Stilts Clamp Bracket,2.47,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,32,Dura Stilt Replacement 1/4-20x1 1/2 Cap Screw With Hex Nut,0.58,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,33,Dura Stilt Replacement Strut Tube Cap/Plug,1.30,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,35,Dura-Stilts Strap Mounting Screw w/ Nylon Washer,0.25,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,37,"Dura Stilt Replacement No. 8x3/8"" Screws For Soles",0.25,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,4,Dura-Stilts Leg Strap & Buckle,7.13,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,42,Dura-Stilts Replacement Wing Bolt,1.92,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,44,Dura-Stilts Lower Coil Spring,2.23,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,441,Dura-Stilts 2440 Lower Coil Spring Bearing,2.53,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,442,Dura-Stilts Wing Bolt Part Pack,7.24,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,446,Dura-Stilts Replacement Sole w/ Screws,20.27,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,45,Dura-Stilts Entire Spring Assembly,14.81,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,46A,Dura-Stilts Replacement Sole w/ Screw,5.35,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,47B,Dura Stilt Replacement Adjustable Forward leg for DS 1830,24.98,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,47C,Dura-Stilts D24 Forward Leg,28.16,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,48,Dura-Stilts Large Nylon Extension Tube Sleeve,5.00,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,4849,Dura-Stilts Nylon Extension Tube Sleeve Part Pack,32.03,,,,,,5,,No credible brand-compatible identifier or name candidate
unmatched,,none,Dura-Stilts,49,Dura-Stilts Small Nylon Extension Tube Sleeve,3.45,,,,,,5,,No credible brand-compatible identifier or name candidate
